Taxpayer Number,Taxpayer Name,Taxpayer Address,Taxpayer City,Taxpayer State,Taxpayer Zip,Taxpayer County,Location Number,Location Name,Location Address,Location City,Location State,Location Zip,Location County,Inside/Outside City Limits,TABC Permit Number,Responsibility Begin Date,Responsibility End Date,Obligation End Date,Liquor Receipts,Wine Receipts,Beer Receipts,Cover Charge Receipts,Total Receipts
32060200949,"CHRISTOPHER BEVERAGES, LLC",PO BOX 92709,AUSTIN,TX,78709,227,1,SKY,214 BARTON SPRINGS RD STE 1922,AUSTIN,TX,78704,227,Y,MB948893,06/23/2016,,03/31/2019,16297,6792,3913,0,27002
17519330587,"CHILI'S BEVERAGE COMPANY, INC.",3000 OLYMPUS BLVD C/O TAX DEPARTMENT,COPPELL,TX,75019,57,172,CHILI'S GRILL & BAR,12901 N INTERSTATE 35,AUSTIN,TX,78753,227,Y,MB543115,09/02/2003,,03/31/2019,23914,904,7828,0,32646
17527348464,MAGGIANO'S BEVERAGE COMPANY,3000 OLYMPUS BLVD ATTN: TAX DEPT.,COPPELL,TX,75019,57,10,MAGGIANO'S LITTLE ITALY,10910 DOMAIN DR BLDG W UNIT 100,AUSTIN,TX,78758,227,Y,MB740206,01/12/2010,,03/31/2019,22158,50346,9523,0,82027
32056912358,"KEMURI, LLC",PO BOX 4679,AUSTIN,TX,78765,227,1,KEMURI,2713 S 2ND ST,AUSTIN,TX,78704,227,Y,MB941036,04/13/2016,,03/31/2019,76837,22997,38442,0,138276
17429548047,"COCINA PARTNERS, L.P.",800 S LAMAR BLVD,AUSTIN,TX,78704,227,1,MAUDIE'S NORTH LAMAR,10205 N LAMAR BLVD,AUSTIN,TX,78753,227,Y,MB480664,10/12/2000,,03/31/2019,19474,289,2219,0,21982
32055178019,"FUN HOLDINGS, LLC",9510 TIOGA DR STE 102,SAN ANTONIO,TX,78230,15,1,PERFECT 10 CABARET,404 E HIGHLAND MALL BLVD,AUSTIN,TX,78752,227,Y,MB936852,03/04/2016,,03/31/2019,70646,5389,25312,0,101347
17519330587,"CHILI'S BEVERAGE COMPANY, INC.",3000 OLYMPUS BLVD C/O TAX DEPARTMENT,COPPELL,TX,75019,57,137,CHILI'S GRILL & BAR,701 E STASSNEY LN STE A,AUSTIN,TX,78745,227,Y,MB492405,05/09/2001,,03/31/2019,27895,1203,11505,0,40603
32050076705,"MAUDIE'S TRIANGEL, LLC",800 S LAMAR BLVD,AUSTIN,TX,78704,227,1,"MAUDIE'S TRIANGEL, LLC",4600 W GUADALUPE ST STE B5,AUSTIN,TX,78751,227,Y,MB855700,10/25/2013,,03/31/2019,49705,2134,6627,0,58466
17425732561,"HRA SYSTEMS, INC.",PO BOX 150788,AUSTIN,TX,78715,227,1,THE SAXON PUB,1320 S LAMAR BLVD,AUSTIN,TX,78704,227,Y,MB216320,12/01/1993,,03/31/2019,42789,5197,44062,0,92048
32065210349,401 E 6TH BAR LLC,2111 RIDDLE RD # A,AUSTIN,TX,78748,227,1,POUR CHOICES,401 E 6TH ST,AUSTIN,TX,78701,227,Y,MB1005222,01/24/2018,,03/31/2019,208616,2926,62063,0,273605
