CAMPUS,CAMPNAME,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLRTF,C_RATING,C_UPDATE,DISTNAME,DISTRICT,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE
"001908041","WESTWOOD J H"," ","N","N","N","N","N","N","N","N","M"," ","WESTWOOD ISD","001908","08","07","07 - 08","M"
"001908101","WESTWOOD EL"," ","N","N","N","N","N","N","N","N","M"," ","WESTWOOD ISD","001908","06","03","03 - 06","E"
"001908102","WESTWOOD PRI"," ","N","N","N","N","N","N","N","N","M"," ","WESTWOOD ISD","001908","02","EE","EE - 02","E"
"001909001","SLOCUM H S"," ","N","N","N","N","N","N","N","N","M"," ","SLOCUM ISD","001909","12","09","09 - 12","S"
"001909002","SLOCUM DAEP INSTRUCTIONAL"," ","N","N","N","Y","N","N","Y","N","X"," ","SLOCUM ISD","001909","10","10","10 - 10","S"
"001909101","SLOCUM PK - 8"," ","N","N","N","N","N","N","N","N","M"," ","SLOCUM ISD","001909","08","PK","PK - 08","E"
"002901001","ANDREWS H S"," ","N","N","N","N","N","N","N","N","M"," ","ANDREWS ISD","002901","12","09","09 - 12","S"
"002901002","ANDREWS EDUCATION CENTER","AEC OF CHOICE - DRS","Y","Y","N","N","N","N","N","N","A"," ","ANDREWS ISD","002901","12","09","09 - 12","S"
"002901041","ANDREWS MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","ANDREWS ISD","002901","08","06","06 - 08","M"
"002901101","DEVONIAN EL"," ","N","N","N","N","N","N","N","N","M"," ","ANDREWS ISD","002901","03","02","02 - 03","E"
"002901104","UNDERWOOD EL"," ","N","N","N","N","N","N","N","N","M"," ","ANDREWS ISD","002901","05","04","04 - 05","E"
"002901105","CLEARFORK EL"," ","N","N","N","N","N","N","N","N","M"," ","ANDREWS ISD","002901","01","EE","EE - 01","E"
"003801001","PINEYWOODS COMMUNITY ACADEMY H S"," ","N","N","Y","N","N","N","N","N","M"," ","PINEYWOODS COMMUNITY ACADEMY","003801","12","09","09 - 12","S"
"003801042","DR TERRY ROBBINS MIDDLE"," ","N","N","Y","N","N","N","Y","N","M"," ","PINEYWOODS COMMUNITY ACADEMY","003801","08","06","06 - 08","M"
"003801103","SARAH STRINDEN EL"," ","N","N","Y","N","N","N","N","N","M"," ","PINEYWOODS COMMUNITY ACADEMY","003801","05","PK","PK - 05","E"
"003902001","HUDSON H S"," ","N","N","N","N","N","N","N","N","M"," ","HUDSON ISD","003902","12","09","09 - 12","S"
"003902004","STUBBLEFIELD LRN CTR","AEC OF CHOICE - DRS","Y","Y","N","N","N","N","N","N","A"," ","HUDSON ISD","003902","12","11","11 - 12","S"
"003902041","HUDSON MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","HUDSON ISD","003902","08","06","06 - 08","M"
"003902101","W F PEAVY PRI"," ","N","N","N","N","N","N","N","N","M"," ","HUDSON ISD","003902","02","EE","EE - 02","E"
"003902102","W H BONNER EL"," ","N","N","N","N","N","N","N","N","M"," ","HUDSON ISD","003902","05","03","03 - 05","E"
"003903001","LUFKIN H S"," ","N","N","N","N","N","N","N","N","M"," ","LUFKIN ISD","003903","12","09","09 - 12","S"
"003903004","STUBBLEFIELD LRN CTR","AEC OF CHOICE - DRS","Y","Y","N","N","N","N","N","N","A"," ","LUFKIN ISD","003903","12","09","09 - 12","S"
"003903044","LUFKIN MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","LUFKIN ISD","003903","08","06","06 - 08","M"
"003903120","ANDERSON EL"," ","N","N","N","N","N","N","N","N","M"," ","LUFKIN ISD","003903","05","03","03 - 05","E"
"003903121","BRANDON EL"," ","N","N","N","N","N","N","N","N","M"," ","LUFKIN ISD","003903","05","03","03 - 05","E"
