DISTNAME,CAMPNAME,District_ID,Campus_ID,REGION,CFLALTED,C_RATING,CI1,CI1_CUT,CI1_MET,CI2,CI2_CUT,CI2_MET,CI3,CI3_CUT,CI3_MET,CI4,CI4_CUT,CI4_MET
DUNCANVILLE ISD,GRACE R BRANDENBURG INT,057907,057907110,10,False,M,70,60,Y,39,30,Y,38,26,Y,24,13,Y
DUNCANVILLE ISD,CJ & ANNE HYMAN EL,057907,057907111,10,False,M,74,60,Y,40,32,Y,41,28,Y,37,12,Y
DUNCANVILLE ISD,JAMES R BILHARTZ JR EL,057907,057907112,10,False,M,70,60,Y,41,32,Y,39,28,Y,32,12,Y
GARLAND ISD,GARLAND H S,057909,057909002,10,False,M,70,60,Y,26,17,Y,42,30,Y,82,60,Y
GARLAND ISD,S GARLAND H S,057909,057909003,10,False,M,61,60,Y,21,17,Y,36,30,Y,70,60,Y
GARLAND ISD,N GARLAND H S,057909,057909004,10,False,M,77,60,Y,25,17,Y,47,30,Y,85,60,Y
GARLAND ISD,LAKEVIEW CENTENNIAL H S,057909,057909005,10,False,M,78,60,Y,26,17,Y,48,30,Y,83,60,Y
GARLAND ISD,MEMORIAL PATHWAY ACADEMY H S,057909,057909006,10,True,A,41,35,Y,27,8,Y,21,13,Y,99,33,Y
GARLAND ISD,P A S S LEARNING CTR,057909,057909007,10,False,X,,60,X,,17,X,,30,X,,,X
GARLAND ISD,NAAMAN FOREST H S,057909,057909008,10,False,M,70,60,Y,23,17,Y,41,30,Y,76,60,Y
GARLAND ISD,ROWLETT H S,057909,057909009,10,False,M,78,60,Y,27,17,Y,45,30,Y,79,60,Y
GARLAND ISD,SACHSE H S,057909,057909010,10,False,M,83,60,Y,30,17,Y,51,30,Y,82,60,Y
GARLAND ISD,AUSTIN ACAD FOR EXCELL,057909,057909041,10,False,M,89,60,Y,41,30,Y,54,26,Y,70,13,Y
GARLAND ISD,BUSSEY MIDDLE,057909,057909042,10,False,M,64,60,Y,39,30,Y,33,26,Y,25,13,Y
GARLAND ISD,SAM HOUSTON MIDDLE,057909,057909043,10,False,M,60,60,Y,34,30,Y,32,26,Y,19,13,Y
GARLAND ISD,JACKSON TECHNOLOGY CENTER,057909,057909045,10,False,M,83,60,Y,38,30,Y,50,26,Y,62,13,Y
GARLAND ISD,O'BANION MIDDLE,057909,057909046,10,False,M,69,60,Y,35,30,Y,35,26,Y,25,13,Y
GARLAND ISD,CLASSICAL CENTER AT BRANDENBURG MI,057909,057909047,10,False,M,87,60,Y,40,30,Y,50,26,Y,61,13,Y
GARLAND ISD,SELLERS MIDDLE,057909,057909048,10,False,M,65,60,Y,36,30,Y,33,26,Y,27,13,Y
GARLAND ISD,WEBB MIDDLE,057909,057909049,10,False,M,73,60,Y,37,30,Y,36,26,Y,37,13,Y
GARLAND ISD,COYLE MIDDLE,057909,057909050,10,False,M,73,60,Y,36,30,Y,36,26,Y,35,13,Y
GARLAND ISD,LYLES MIDDLE,057909,057909051,10,False,M,62,60,Y,35,30,Y,30,26,Y,28,13,Y
GARLAND ISD,B G HUDSON MIDDLE,057909,057909052,10,False,M,84,60,Y,36,30,Y,45,26,Y,48,13,Y
GARLAND ISD,GARLAND AEC,057909,057909053,10,False,X,,60,X,,17,X,,30,X,,,X
GARLAND ISD,VERNON SCHRADE MIDDLE,057909,057909054,10,False,M,75,60,Y,36,30,Y,37,26,Y,40,13,Y
GARLAND ISD,BEAVER TECHNOLOGY CENTER,057909,057909101,10,False,M,89,60,Y,52,32,Y,59,28,Y,66,12,Y
GARLAND ISD,BULLOCK EL,057909,057909102,10,False,M,74,60,Y,44,32,Y,45,28,Y,39,12,Y
GARLAND ISD,CALDWELL EL,057909,057909103,10,False,M,59,60,N,43,32,Y,33,28,Y,24,12,Y
GARLAND ISD,CENTERVILLE EL,057909,057909105,10,False,M,69,60,Y,43,32,Y,38,28,Y,30,12,Y
GARLAND ISD,COOPER EL,057909,057909107,10,False,M,74,60,Y,51,32,Y,42,28,Y,35,12,Y
GARLAND ISD,DAUGHERTY EL,057909,057909108,10,False,M,69,60,Y,41,32,Y,40,28,Y,36,12,Y
GARLAND ISD,FREEMAN EL,057909,057909109,10,False,M,62,60,Y,38,32,Y,34,28,Y,24,12,Y
GARLAND ISD,HANDLEY EL,057909,057909110,10,False,I,58,60,N,39,32,Y,27,28,N,22,12,Y
GARLAND ISD,KIMBERLIN ACAD FOR EXCEL,057909,057909111,10,False,M,95,60,Y,58,32,Y,67,28,Y,86,12,Y
GARLAND ISD,PARK CREST EL,057909,057909112,10,False,M,71,60,Y,40,32,Y,39,28,Y,37,12,Y
GARLAND ISD,SOUTHGATE EL,057909,057909113,10,False,M,78,60,Y,50,32,Y,45,28,Y,41,12,Y
GARLAND ISD,WATSON TECHNOLOGY CENTER,057909,057909115,10,False,M,89,60,Y,50,32,Y,55,28,Y,69,12,Y
GARLAND ISD,WEAVER EL,057909,057909116,10,False,M,67,60,Y,40,32,Y,38,28,Y,24,12,Y
GARLAND ISD,WILLIAMS EL,057909,057909117,10,False,M,63,60,Y,39,32,Y,40,28,Y,34,12,Y
GARLAND ISD,BRADFIELD EL,057909,057909119,10,False,M,74,60,Y,45,32,Y,44,28,Y,41,12,Y
GARLAND ISD,SHOREHAVEN EL,057909,057909120,10,False,M,65,60,Y,40,32,Y,36,28,Y,28,12,Y
GARLAND ISD,MONTCLAIR EL,057909,057909121,10,False,M,66,60,Y,42,32,Y,37,28,Y,26,12,Y
GARLAND ISD,WALNUT GLEN ACAD FOR EXCEL,057909,057909122,10,False,M,88,60,Y,60,32,Y,61,28,Y,78,12,Y
GARLAND ISD,GOLDEN MEADOWS EL,057909,057909123,10,False,M,72,60,Y,37,32,Y,41,28,Y,37,12,Y
GARLAND ISD,HEATHER GLEN EL,057909,057909124,10,False,M,64,60,Y,42,32,Y,33,28,Y,24,12,Y
GARLAND ISD,HILLSIDE ACAD FOR EXCEL,057909,057909125,10,False,M,95,60,Y,59,32,Y,69,28,Y,82,12,Y
GARLAND ISD,DAVIS EL,057909,057909126,10,False,M,74,60,Y,51,32,Y,42,28,Y,32,12,Y
GARLAND ISD,ROACH EL,057909,057909127,10,False,M,91,60,Y,49,32,Y,60,28,Y,60,12,Y
GARLAND ISD,ETHRIDGE EL,057909,057909128,10,False,M,71,60,Y,47,32,Y,40,28,Y,43,12,Y
GARLAND ISD,CLASSICAL CENTER AT VIAL EL,057909,057909129,10,False,M,87,60,Y,50,32,Y,52,28,Y,60,12,Y
GARLAND ISD,CLUB HILL EL,057909,057909132,10,False,M,68,60,Y,39,32,Y,36,28,Y,32,12,Y
GARLAND ISD,HICKMAN EL,057909,057909133,10,False,M,68,60,Y,45,32,Y,37,28,Y,42,12,Y
GARLAND ISD,NORTHLAKE EL,057909,057909134,10,False,M,85,60,Y,53,32,Y,53,28,Y,53,12,Y
GARLAND ISD,PATHFINDER ACHIEVEMENT CENTER,057909,057909135,10,False,I,28,60,N,9,17,N,8,30,N,13,21,N
GARLAND ISD,TOLER EL,057909,057909136,10,False,M,72,60,Y,40,32,Y,41,28,Y,33,12,Y
GARLAND ISD,ROWLETT EL,057909,057909137,10,False,M,76,60,Y,44,32,Y,41,28,Y,41,12,Y
GARLAND ISD,SPRING CREEK EL,057909,057909138,10,False,M,82,60,Y,54,32,Y,50,28,Y,53,12,Y
GARLAND ISD,LUNA EL,057909,057909139,10,False,M,73,60,Y,46,32,Y,37,28,Y,40,12,Y
GARLAND ISD,BACK EL,057909,057909140,10,False,M,81,60,Y,40,32,Y,51,28,Y,40,12,Y
GARLAND ISD,SHUGART EL,057909,057909141,10,False,M,73,60,Y,52,32,Y,41,28,Y,30,12,Y
GARLAND ISD,HERFURTH EL,057909,057909142,10,False,M,71,60,Y,33,32,Y,38,28,Y,31,12,Y
GARLAND ISD,ABBETT EL,057909,057909143,10,False,M,81,60,Y,50,32,Y,43,28,Y,52,12,Y
GARLAND ISD,KEELEY EL,057909,057909144,10,False,M,92,60,Y,52,32,Y,59,28,Y,58,12,Y
GARLAND ISD,ROBERT B SEWELL EL,057909,057909145,10,False,M,87,60,Y,53,32,Y,53,28,Y,56,12,Y
GARLAND ISD,KATHERINE STEPHENS EL,057909,057909146,10,False,M,75,60,Y,47,32,Y,41,28,Y,38,12,Y
GARLAND ISD,VERNAL LISTER EL,057909,057909147,10,False,M,81,60,Y,45,32,Y,48,28,Y,43,12,Y
GARLAND ISD,NORMA DORSEY EL,057909,057909148,10,False,M,80,60,Y,49,32,Y,44,28,Y,48,12,Y
GARLAND ISD,STEADHAM EL,057909,057909154,10,False,M,72,60,Y,39,32,Y,35,28,Y,35,12,Y
GARLAND ISD,JOHN W ARMSTRONG EL,057909,057909155,10,False,M,91,60,Y,47,32,Y,56,28,Y,63,12,Y
GARLAND ISD,NITA PEARSON EL,057909,057909156,10,False,M,83,60,Y,44,32,Y,47,28,Y,50,12,Y
GARLAND ISD,GLEN COUCH EL,057909,057909157,10,False,M,66,60,Y,42,32,Y,35,28,Y,21,12,Y
GARLAND ISD,LIBERTY GROVE EL,057909,057909158,10,False,M,70,60,Y,50,32,Y,36,28,Y,36,12,Y
GARLAND ISD,GEORGE WASHINGTON CARVER EL,057909,057909159,10,False,M,70,60,Y,41,32,Y,39,28,Y,29,12,Y
GARLAND ISD,CISNEROS PRE-K CTR,057909,057909180,10,False,M,,,P,,,P,,,P,,,P
GARLAND ISD,PARSONS PRE-K CTR,057909,057909181,10,False,M,,,P,,,P,,,P,,,P
GRAND PRAIRIE ISD,GRAND PRAIRIE FINE ARTS ACADEMY,057910,057910001,10,False,M,97,60,Y,47,17,Y,66,30,Y,96,60,Y
GRAND PRAIRIE ISD,GRAND PRAIRIE H S,057910,057910002,10,False,M,61,60,Y,19,17,Y,38,30,Y,66,60,Y
GRAND PRAIRIE ISD,SOUTH GRAND PRAIRIE H S,057910,057910003,10,False,M,76,60,Y,31,17,Y,49,30,Y,77,60,Y
GRAND PRAIRIE ISD,LYNDON B JOHNSON DAEP,057910,057910004,10,False,X,,60,X,,17,X,,30,X,,,X
GRAND PRAIRIE ISD,P A S S LEARNING CTR,057910,057910007,10,False,X,,60,X,,17,X,,30,X,,,X
GRAND PRAIRIE ISD,CROSSWINDS H S,057910,057910009,10,True,A,45,35,Y,19,8,Y,22,13,Y,92,33,Y
GRAND PRAIRIE ISD,JOHN A DUBISKI CAREER H S,057910,057910010,10,False,M,90,60,Y,39,17,Y,60,30,Y,95,60,Y
GRAND PRAIRIE ISD,GRAND PRAIRIE COLLEGIATE INSTITUTE,057910,057910011,10,False,M,96,60,Y,39,17,Y,60,30,Y,73,21,Y
GRAND PRAIRIE ISD,JOHN ADAMS MIDDLE,057910,057910041,10,False,M,61,60,Y,31,30,Y,32,26,Y,20,13,Y
GRAND PRAIRIE ISD,ANDREW JACKSON MIDDLE,057910,057910045,10,False,M,71,60,Y,39,30,Y,39,26,Y,41,13,Y
GRAND PRAIRIE ISD,HARRY S TRUMAN MIDDLE,057910,057910047,10,False,M,69,60,Y,37,30,Y,37,26,Y,39,13,Y
GRAND PRAIRIE ISD,RONALD W REAGAN MIDDLE,057910,057910050,10,False,M,82,60,Y,38,30,Y,47,26,Y,54,13,Y
GRAND PRAIRIE ISD,JAMES FANNIN MIDDLE,057910,057910051,10,False,M,60,60,Y,37,30,Y,32,26,Y,21,13,Y
GRAND PRAIRIE ISD,YMLA AT JOHN F KENNEDY MIDDLE,057910,057910052,10,False,M,65,60,Y,34,30,Y,34,26,Y,29,13,Y
GRAND PRAIRIE ISD,YWLA AT BILL ARNOLD,057910,057910053,10,False,M,74,60,Y,39,17,Y,41,30,Y,46,21,Y
GRAND PRAIRIE ISD,HOPE (HELPFUL OPPORTUNITIES TO PUR,057910,057910054,10,True,A,49,35,Y,51,8,Y,23,13,Y,,,Z
GRAND PRAIRIE ISD,STEPHEN F AUSTIN EL,057910,057910101,10,False,M,80,60,Y,53,32,Y,51,28,Y,48,12,Y
GRAND PRAIRIE ISD,JAMES BOWIE EL,057910,057910102,10,False,M,66,60,Y,36,32,Y,37,28,Y,30,12,Y
GRAND PRAIRIE ISD,DAVID DANIELS EL ACADEMY OF SCIENC,057910,057910104,10,False,M,61,60,Y,47,32,Y,30,28,Y,21,12,Y
GRAND PRAIRIE ISD,FLORENCE HILL EL,057910,057910106,10,False,M,79,60,Y,49,32,Y,43,28,Y,47,12,Y
GRAND PRAIRIE ISD,ELLEN OCHOA STEM ACADEMY AT BEN MI,057910,057910109,10,False,M,63,60,Y,40,32,Y,34,28,Y,26,12,Y
GRAND PRAIRIE ISD,DWIGHT D EISENHOWER EL,057910,057910113,10,False,M,78,60,Y,46,32,Y,49,28,Y,41,12,Y
GRAND PRAIRIE ISD,SAM RAYBURN EL STEAM ACADEMY,057910,057910118,10,False,M,64,60,Y,43,32,Y,39,28,Y,29,12,Y
GRAND PRAIRIE ISD,LORENZO DE ZAVALA ENVIRONMENTAL SC,057910,057910119,10,False,M,75,60,Y,46,32,Y,46,28,Y,37,12,Y
GRAND PRAIRIE ISD,SUZANNA DICKINSON EL,057910,057910120,10,False,M,60,60,Y,32,32,Y,32,28,Y,23,12,Y
GRAND PRAIRIE ISD,GARNER FINE ARTS ACADEMY,057910,057910121,10,False,M,86,60,Y,46,32,Y,52,28,Y,53,12,Y
GRAND PRAIRIE ISD,BARBARA BUSH EL,057910,057910122,10,False,M,61,60,Y,44,32,Y,33,28,Y,25,12,Y
GRAND PRAIRIE ISD,COLIN POWELL EL,057910,057910123,10,False,M,92,60,Y,55,32,Y,60,28,Y,70,12,Y
GRAND PRAIRIE ISD,HECTOR P GARCIA EL,057910,057910124,10,False,M,60,60,Y,39,32,Y,33,28,Y,24,12,Y
GRAND PRAIRIE ISD,SALLYE R MOORE EL,057910,057910125,10,False,M,69,60,Y,45,32,Y,36,28,Y,30,12,Y
GRAND PRAIRIE ISD,ERVIN C WHITT EL,057910,057910126,10,False,M,76,60,Y,46,32,Y,44,28,Y,38,12,Y
GRAND PRAIRIE ISD,JUAN N SEGUIN EL,057910,057910128,10,False,M,58,60,N,37,32,Y,32,28,Y,25,12,Y
GRAND PRAIRIE ISD,THURGOOD MARSHALL LEADERSHIP ACADE,057910,057910129,10,False,M,80,60,Y,55,32,Y,49,28,Y,38,12,Y
GRAND PRAIRIE ISD,MIKE MOSELEY EL,057910,057910130,10,False,M,78,60,Y,53,32,Y,44,28,Y,37,12,Y
GRAND PRAIRIE ISD,HOBBS WILLIAMS EL,057910,057910131,10,False,M,71,60,Y,42,32,Y,39,28,Y,28,12,Y
GRAND PRAIRIE ISD,ROBERT E LEE EL,057910,057910132,10,False,M,64,60,Y,41,32,Y,36,28,Y,27,12,Y
GRAND PRAIRIE ISD,BONHAM EES,057910,057910134,10,False,M,,,P,,,P,,,P,,,P
GRAND PRAIRIE ISD,SCHOOL FOR THE HIGHLY GIFTED,057910,057910135,10,False,M,99,60,Y,57,32,Y,76,28,Y,98,12,Y
GRAND PRAIRIE ISD,UPLIFT LEE,057910,057910136,10,False,M,88,60,Y,36,32,Y,62,28,Y,50,12,Y
GRAND PRAIRIE ISD,WILLIAM B TRAVIS WORLD LANGUAGE AC,057910,057910137,10,False,I,55,60,N,30,32,N,31,28,Y,19,12,Y
GRAND PRAIRIE ISD,CROCKETT EARLY EDUCATION SCHOOL,057910,057910138,10,False,M,,,P,,,P,,,P,,,P
HIGHLAND PARK ISD,HIGHLAND PARK H S,057911,057911001,10,False,M,98,60,Y,44,17,Y,,30,Z,97,60,Y
HIGHLAND PARK ISD,HIGHLAND PARK MIDDLE,057911,057911041,10,False,M,97,60,Y,53,30,Y,67,26,Y,87,13,Y
HIGHLAND PARK ISD,ARMSTRONG ELEMENTARY,057911,057911101,10,False,M,94,60,Y,52,32,Y,,28,Z,75,12,Y
HIGHLAND PARK ISD,BRADFIELD ELEMENTARY,057911,057911102,10,False,M,98,60,Y,53,32,Y,,28,Z,84,12,Y
HIGHLAND PARK ISD,HYER EL,057911,057911103,10,False,M,96,60,Y,63,32,Y,,28,Z,82,12,Y
HIGHLAND PARK ISD,UNIVERSITY PARK ELEMENTARY,057911,057911104,10,False,M,97,60,Y,55,32,Y,,28,Z,87,12,Y
HIGHLAND PARK ISD,MCCULLOCH INTERMEDIATE SCHOOL,057911,057911105,10,False,M,96,60,Y,51,30,Y,66,26,Y,73,13,Y
IRVING ISD,IRVING H S,057912,057912002,10,False,M,69,60,Y,25,17,Y,43,30,Y,76,60,Y
IRVING ISD,MACARTHUR H S,057912,057912003,10,False,M,76,60,Y,27,17,Y,49,30,Y,81,60,Y
IRVING ISD,NIMITZ H S,057912,057912004,10,False,M,70,60,Y,21,17,Y,43,30,Y,77,60,Y
IRVING ISD,BARBARA CARDWELL CAREER PREPARATOR,057912,057912005,10,True,A,68,35,Y,35,8,Y,43,13,Y,100,33,Y
IRVING ISD,JACK E SINGLEY ACADEMY,057912,057912006,10,False,M,76,60,Y,23,17,Y,45,30,Y,88,60,Y
IRVING ISD,DALLAS CO SCHOOL FOR ACCELERATED L,057912,057912007,10,False,X,,60,X,,17,X,,30,X,,,X
IRVING ISD,BOWIE MIDDLE,057912,057912041,10,False,M,61,60,Y,32,30,Y,33,26,Y,24,13,Y
IRVING ISD,CROCKETT MIDDLE,057912,057912042,10,False,M,67,60,Y,36,30,Y,36,26,Y,31,13,Y
IRVING ISD,TRAVIS MIDDLE,057912,057912043,10,False,M,70,60,Y,42,30,Y,37,26,Y,46,13,Y
IRVING ISD,LAMAR MIDDLE,057912,057912044,10,False,M,66,60,Y,38,30,Y,35,26,Y,26,13,Y
IRVING ISD,AUSTIN MIDDLE,057912,057912045,10,False,M,63,60,Y,35,30,Y,37,26,Y,30,13,Y
IRVING ISD,HOUSTON MIDDLE,057912,057912046,10,False,M,70,60,Y,37,30,Y,38,26,Y,33,13,Y
IRVING ISD,LORENZO DE ZAVALA MIDDLE,057912,057912048,10,False,M,70,60,Y,37,30,Y,40,26,Y,33,13,Y
IRVING ISD,LADY BIRD JOHNSON MIDDLE,057912,057912050,10,False,M,64,60,Y,37,30,Y,32,26,Y,33,13,Y
IRVING ISD,BARTON EL,057912,057912101,10,False,M,62,60,Y,34,32,Y,36,28,Y,28,12,Y
IRVING ISD,BROWN EL,057912,057912102,10,False,M,65,60,Y,35,32,Y,40,28,Y,36,12,Y
IRVING ISD,BRITAIN EL,057912,057912103,10,False,M,66,60,Y,41,32,Y,37,28,Y,23,12,Y
IRVING ISD,GOOD EL,057912,057912105,10,False,M,65,60,Y,36,32,Y,37,28,Y,29,12,Y
IRVING ISD,HALEY J EL,057912,057912106,10,False,M,78,60,Y,47,32,Y,48,28,Y,42,12,Y
IRVING ISD,HALEY T EL,057912,057912107,10,False,M,68,60,Y,44,32,Y,38,28,Y,35,12,Y
IRVING ISD,JOHNSTON EL,057912,057912108,10,False,M,73,60,Y,44,32,Y,41,28,Y,35,12,Y
IRVING ISD,KEYES EL,057912,057912109,10,False,M,62,60,Y,32,32,Y,36,28,Y,35,12,Y
IRVING ISD,LEE EL,057912,057912111,10,False,M,71,60,Y,46,32,Y,42,28,Y,38,12,Y
IRVING ISD,LIVELY EL,057912,057912112,10,False,M,60,60,Y,35,32,Y,37,28,Y,31,12,Y
IRVING ISD,FARINE EL,057912,057912113,10,False,M,72,60,Y,45,32,Y,42,28,Y,46,12,Y
IRVING ISD,SCHULZE EL,057912,057912114,10,False,M,66,60,Y,36,32,Y,38,28,Y,37,12,Y
IRVING ISD,BRANDENBURG EL,057912,057912116,10,False,M,71,60,Y,46,32,Y,43,28,Y,46,12,Y
IRVING ISD,ELLIOTT EL,057912,057912118,10,False,M,73,60,Y,38,32,Y,42,28,Y,44,12,Y
IRVING ISD,HANES EL,057912,057912119,10,False,M,71,60,Y,42,32,Y,40,28,Y,34,12,Y
IRVING ISD,TOWNLEY EL,057912,057912120,10,False,M,72,60,Y,44,32,Y,42,28,Y,39,12,Y
IRVING ISD,DAVIS EL,057912,057912121,10,False,M,65,60,Y,33,32,Y,33,28,Y,28,12,Y
IRVING ISD,GILBERT F M EL,057912,057912122,10,False,M,68,60,Y,37,32,Y,43,28,Y,42,12,Y
IRVING ISD,JACKIE MAE TOWNSELL EL,057912,057912123,10,False,M,68,60,Y,41,32,Y,35,28,Y,35,12,Y
IRVING ISD,JOHN W AND MARGIE STIPES EL,057912,057912124,10,False,M,74,60,Y,44,32,Y,40,28,Y,50,12,Y
IRVING ISD,CLIFTON EARLY CHILDHOOD,057912,057912161,10,False,M,,,P,,,P,,,P,,,P
IRVING ISD,PIERCE EARLY CHILDHOOD,057912,057912162,10,False,M,,,P,,,P,,,P,,,P
IRVING ISD,KINKEADE EARLY CHILDHOOD,057912,057912163,10,False,M,,,P,,,P,,,P,,,P
LANCASTER ISD,LANCASTER H S,057913,057913001,10,False,M,66,60,Y,24,17,Y,39,30,Y,75,60,Y
LANCASTER ISD,LANCASTER MIDDLE,057913,057913041,10,False,M,71,60,Y,42,30,Y,39,26,Y,36,13,Y
LANCASTER ISD,G W CARVER 6TH GRADE STEM LEARNING,057913,057913042,10,False,M,69,60,Y,27,30,N,39,26,Y,22,13,Y
LANCASTER ISD,PLEASANT RUN EL,057913,057913101,10,False,M,77,60,Y,47,32,Y,44,28,Y,38,12,Y
LANCASTER ISD,HOUSTON EL,057913,057913102,10,False,M,76,60,Y,62,32,Y,44,28,Y,46,12,Y
LANCASTER ISD,WEST MAIN EL,057913,057913103,10,False,M,74,60,Y,60,32,Y,43,28,Y,34,12,Y
LANCASTER ISD,ROSA PARKS/MILLBROOK EL,057913,057913106,10,False,M,71,60,Y,41,32,Y,42,28,Y,36,12,Y
LANCASTER ISD,ROLLING HILLS EL,057913,057913107,10,False,M,75,60,Y,55,32,Y,46,28,Y,33,12,Y
LANCASTER ISD,BELT LINE EL,057913,057913109,10,False,M,68,60,Y,53,32,Y,39,28,Y,31,12,Y
LANCASTER ISD,LANCASTER EL,057913,057913110,10,False,M,83,60,Y,50,32,Y,53,28,Y,48,12,Y
LANCASTER ISD,L ISD J J A E P,057913,057913111,10,False,X,,60,X,,17,X,,30,X,,,X
MESQUITE ISD,MESQUITE H S,057914,057914001,10,False,M,72,60,Y,24,17,Y,45,30,Y,73,60,Y
MESQUITE ISD,NORTH MESQUITE H S,057914,057914002,10,False,M,73,60,Y,24,17,Y,44,30,Y,70,60,Y
MESQUITE ISD,WEST MESQUITE H S,057914,057914003,10,False,M,70,60,Y,22,17,Y,40,30,Y,71,60,Y
MESQUITE ISD,POTEET H S,057914,057914004,10,False,M,80,60,Y,22,17,Y,47,30,Y,83,60,Y
MESQUITE ISD,HORN H S,057914,057914005,10,False,M,76,60,Y,29,17,Y,48,30,Y,77,60,Y
MESQUITE ISD,P A S S LEARNING CTR,057914,057914007,10,False,X,,60,X,,17,X,,30,X,,,X
MESQUITE ISD,AGNEW MIDDLE,057914,057914041,10,False,M,69,60,Y,40,30,Y,37,26,Y,39,13,Y
MESQUITE ISD,VANSTON MIDDLE,057914,057914042,10,False,M,70,60,Y,40,30,Y,38,26,Y,39,13,Y
MESQUITE ISD,WILKINSON MIDDLE,057914,057914043,10,False,M,72,60,Y,42,30,Y,41,26,Y,41,13,Y
MESQUITE ISD,MCDONALD MIDDLE,057914,057914044,10,False,M,69,60,Y,38,30,Y,36,26,Y,37,13,Y
MESQUITE ISD,NEW MIDDLE,057914,057914045,10,False,M,69,60,Y,41,30,Y,38,26,Y,36,13,Y
MESQUITE ISD,KIMBROUGH MIDDLE,057914,057914046,10,False,M,78,60,Y,48,30,Y,44,26,Y,56,13,Y
MESQUITE ISD,BERRY MIDDLE,057914,057914047,10,False,M,73,60,Y,37,30,Y,40,26,Y,38,13,Y
MESQUITE ISD,TERRY MIDDLE,057914,057914048,10,False,M,76,60,Y,37,30,Y,45,26,Y,49,13,Y
MESQUITE ISD,BLACK EL,057914,057914101,10,False,M,65,60,Y,36,32,Y,36,28,Y,23,12,Y
MESQUITE ISD,FLORENCE EL,057914,057914102,10,False,M,78,60,Y,43,32,Y,47,28,Y,35,12,Y
MESQUITE ISD,GALLOWAY EL,057914,057914103,10,False,M,71,60,Y,48,32,Y,41,28,Y,31,12,Y
MESQUITE ISD,HANBY EL,057914,057914104,10,False,M,71,60,Y,47,32,Y,40,28,Y,32,12,Y
MESQUITE ISD,HODGES EL,057914,057914105,10,False,M,65,60,Y,37,32,Y,34,28,Y,22,12,Y
MESQUITE ISD,MCWHORTER EL,057914,057914106,10,False,M,59,60,N,37,32,Y,31,28,Y,20,12,Y
MESQUITE ISD,MOTLEY EL,057914,057914107,10,False,M,74,60,Y,43,32,Y,41,28,Y,36,12,Y
MESQUITE ISD,RANGE EL,057914,057914108,10,False,M,73,60,Y,38,32,Y,41,28,Y,34,12,Y
MESQUITE ISD,RUGEL EL,057914,057914109,10,False,M,66,60,Y,36,32,Y,37,28,Y,28,12,Y
MESQUITE ISD,RUTHERFORD EL,057914,057914110,10,False,M,73,60,Y,41,32,Y,42,28,Y,33,12,Y
MESQUITE ISD,SHANDS EL,057914,057914111,10,False,M,68,60,Y,39,32,Y,36,28,Y,25,12,Y
MESQUITE ISD,TISINGER EL,057914,057914112,10,False,M,63,60,Y,39,32,Y,38,28,Y,29,12,Y
MESQUITE ISD,TOSCH EL,057914,057914113,10,False,M,67,60,Y,40,32,Y,37,28,Y,28,12,Y
MESQUITE ISD,SEABOURN EL,057914,057914114,10,False,M,71,60,Y,40,32,Y,41,28,Y,28,12,Y
MESQUITE ISD,LAWRENCE EL,057914,057914115,10,False,M,69,60,Y,34,32,Y,38,28,Y,27,12,Y
MESQUITE ISD,FLOYD EL,057914,057914116,10,False,M,61,60,Y,38,32,Y,31,28,Y,18,12,Y
MESQUITE ISD,PORTER EL,057914,057914117,10,False,M,79,60,Y,37,32,Y,46,28,Y,33,12,Y
MESQUITE ISD,MCKENZIE EL,057914,057914118,10,False,M,68,60,Y,38,32,Y,36,28,Y,27,12,Y
MESQUITE ISD,BEASLEY EL,057914,057914119,10,False,M,73,60,Y,44,32,Y,41,28,Y,34,12,Y
MESQUITE ISD,PRICE EL,057914,057914120,10,False,M,58,60,N,35,32,Y,31,28,Y,18,12,Y
MESQUITE ISD,SHAW EL,057914,057914121,10,False,M,64,60,Y,39,32,Y,34,28,Y,30,12,Y
MESQUITE ISD,KIMBALL EL,057914,057914122,10,False,M,81,60,Y,50,32,Y,45,28,Y,38,12,Y
MESQUITE ISD,PIRRUNG EL,057914,057914123,10,False,M,64,60,Y,33,32,Y,33,28,Y,27,12,Y
MESQUITE ISD,CANNADAY EL,057914,057914124,10,False,M,73,60,Y,45,32,Y,43,28,Y,38,12,Y
MESQUITE ISD,AUSTIN EL,057914,057914125,10,False,M,69,60,Y,37,32,Y,35,28,Y,30,12,Y
MESQUITE ISD,MOSS EL,057914,057914126,10,False,M,74,60,Y,47,32,Y,40,28,Y,35,12,Y
MESQUITE ISD,THOMPSON EL,057914,057914127,10,False,M,64,60,Y,37,32,Y,33,28,Y,28,12,Y
MESQUITE ISD,GRAY EL,057914,057914128,10,False,M,68,60,Y,38,32,Y,36,28,Y,26,12,Y
MESQUITE ISD,SMITH EL,057914,057914129,10,False,M,67,60,Y,40,32,Y,37,28,Y,32,12,Y
MESQUITE ISD,GENTRY EL,057914,057914130,10,False,M,84,60,Y,49,32,Y,51,28,Y,45,12,Y
MESQUITE ISD,MACKEY EL,057914,057914131,10,False,M,64,60,Y,39,32,Y,38,28,Y,24,12,Y
MESQUITE ISD,ACHZIGER EL,057914,057914132,10,False,M,72,60,Y,46,32,Y,40,28,Y,33,12,Y
MESQUITE ISD,DR LINDA HENRIE EL,057914,057914133,10,False,M,76,60,Y,44,32,Y,45,28,Y,34,12,Y
