DISTNAME,CAMPNAME,District_ID,Campus_ID,REGION,CFLALTED,C_RATING,CI1,CI1_CUT,CI1_MET,CI2,CI2_CUT,CI2_MET,CI3,CI3_CUT,CI3_MET,CI4,CI4_CUT,CI4_MET
LUFKIN ISD,LUFKIN MIDDLE,003903,003903044,7,False,M,70,60,Y,38,30,Y,34,26,Y,39,13,Y
LUFKIN ISD,ANDERSON EL,003903,003903120,7,False,M,73,60,Y,43,32,Y,40,28,Y,41,12,Y
LUFKIN ISD,BRANDON EL,003903,003903121,7,False,M,73,60,Y,41,32,Y,39,28,Y,49,12,Y
LUFKIN ISD,BROOKHOLLOW EL,003903,003903122,7,False,M,65,60,Y,41,32,Y,35,28,Y,27,12,Y
LUFKIN ISD,COSTON EL,003903,003903123,7,False,M,67,60,Y,52,32,Y,38,28,Y,30,12,Y
LUFKIN ISD,DUNBAR PRI,003903,003903124,7,False,M,,,P,,,P,,,P,,,P
LUFKIN ISD,GARRETT PRI,003903,003903125,7,False,M,,,P,,,P,,,P,,,P
LUFKIN ISD,HACKNEY PRI,003903,003903126,7,False,M,,,P,,,P,,,P,,,P
LUFKIN ISD,HERTY PRI,003903,003903127,7,False,M,,,P,,,P,,,P,,,P
LUFKIN ISD,KURTH PRI,003903,003903128,7,False,M,,,P,,,P,,,P,,,P
LUFKIN ISD,SLACK EL,003903,003903129,7,False,M,71,60,Y,37,32,Y,37,28,Y,36,12,Y
LUFKIN ISD,TROUT PRI,003903,003903130,7,False,M,,,P,,,P,,,P,,,P
LUFKIN ISD,BURLEY PRI,003903,003903131,7,False,M,,,P,,,P,,,P,,,P
LUFKIN ISD,SPECIAL SERVICES,003903,003903141,7,False,Z,,60,Z,,32,Z,,28,Z,,,Z
LUFKIN ISD,JUVENILE DETENT CTR,003903,003903201,7,False,Z,,60,Z,,17,Z,,30,Z,,,Z
HUNTINGTON ISD,HUNTINGTON H S,003904,003904001,7,False,M,77,60,Y,28,17,Y,43,30,Y,79,60,Y
HUNTINGTON ISD,PRIDE ALTER SCH,003904,003904005,7,True,A,44,35,Y,,8,Z,28,13,Y,76,33,Y
HUNTINGTON ISD,HUNTINGTON MIDDLE,003904,003904041,7,False,M,72,60,Y,35,30,Y,37,26,Y,37,13,Y
HUNTINGTON ISD,HUNTINGTON EL,003904,003904101,7,False,M,70,60,Y,,32,Z,41,28,Y,22,12,Y
HUNTINGTON ISD,HUNTINGTON INT,003904,003904102,7,False,M,79,60,Y,49,32,Y,43,28,Y,41,12,Y
DIBOLL ISD,DIBOLL H S,003905,003905001,7,False,M,72,60,Y,28,17,Y,43,30,Y,73,60,Y
DIBOLL ISD,STUBBLEFIELD LRN CTR,003905,003905004,7,True,Z,,35,Z,,8,Z,,13,Z,94,45,Z
DIBOLL ISD,DIBOLL J H,003905,003905041,7,False,M,69,60,Y,40,30,Y,36,26,Y,38,13,Y
