GEO.id,GEO.id2,GEO.display-label,HD01_S113,HD01_S114,HD01_S122,HD01_S123,HD01_S124,HD01_S125,HD01_S126,HD01_S127,HD01_S128,HD01_S129
Id,Id2,Geography,Number; Total population,Number; Total population - Hispanic or Latino,Number; Total population - Not Hispanic or Latino,Number; Total population - Not Hispanic or Latino - White alone,Number; Total population - Not Hispanic or Latino - Black or African American alone,Number; Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Number; Total population - Not Hispanic or Latino - Asian alone,Number; Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Number; Total population - Not Hispanic or Latino - Some Other Race alone,Number; Total population - Not Hispanic or Latino - Two or More Races
0500000US48125,48125,"Dickens County, Texas",2444,708,1736,1590,92,21,18,0,0,15
0500000US48127,48127,"Dimmit County, Texas",9996,8616,1380,1217,81,7,51,0,10,14
0500000US48129,48129,"Donley County, Texas",3677,309,3368,3136,163,15,9,2,0,43
0500000US48131,48131,"Duval County, Texas",11782,10424,1358,1206,86,18,17,5,6,20
0500000US48133,48133,"Eastland County, Texas",18583,2673,15910,15271,318,92,62,8,8,151
0500000US48135,48135,"Ector County, Texas",137130,72331,64799,56306,5596,623,1004,106,68,1096
0500000US48137,48137,"Edwards County, Texas",2002,1027,975,947,10,11,3,0,0,4
0500000US48139,48139,"Ellis County, Texas",149610,35161,114449,97987,13161,565,811,87,155,1683
0500000US48141,48141,"El Paso County, Texas",800647,658134,142513,105246,20649,2269,7551,805,602,5391
0500000US48143,48143,"Erath County, Texas",37890,7279,30611,29382,431,170,240,12,18,358
0500000US48145,48145,"Falls County, Texas",17866,3716,14150,9381,4463,60,46,10,24,166
0500000US48147,48147,"Fannin County, Texas",33915,3226,30689,27433,2273,294,122,6,23,538
0500000US48149,48149,"Fayette County, Texas",24554,4585,19969,18038,1599,69,61,6,25,171
0500000US48151,48151,"Fisher County, Texas",3974,999,2975,2797,124,12,7,0,7,28
0500000US48153,48153,"Floyd County, Texas",6446,3410,3036,2777,211,16,11,1,1,19
0500000US48155,48155,"Foard County, Texas",1336,187,1149,1087,53,1,4,0,0,4
0500000US48157,48157,"Fort Bend County, Texas",585375,138967,446408,211680,123267,1159,98762,174,1341,10025
0500000US48159,48159,"Franklin County, Texas",10605,1333,9272,8601,411,65,49,0,9,137
0500000US48161,48161,"Freestone County, Texas",19816,2694,17122,13656,3164,77,50,5,8,162
0500000US48163,48163,"Frio County, Texas",17217,13401,3816,2796,524,38,362,1,29,66
0500000US48165,48165,"Gaines County, Texas",17526,6413,11113,10628,261,46,37,0,17,124
0500000US48167,48167,"Galveston County, Texas",291309,65270,226039,172652,39229,1052,8515,128,426,4037
0500000US48169,48169,"Garza County, Texas",6461,3046,3415,2962,392,25,8,3,1,24
0500000US48171,48171,"Gillespie County, Texas",24837,4969,19868,19472,47,68,88,11,28,154
0500000US48173,48173,"Glasscock County, Texas",1226,378,848,825,15,3,1,2,0,2
0500000US48175,48175,"Goliad County, Texas",7210,2462,4748,4337,310,29,11,0,6,55
0500000US48177,48177,"Gonzales County, Texas",19807,9353,10454,8836,1353,41,73,5,17,129
0500000US48179,48179,"Gray County, Texas",22535,5365,17170,15564,1055,152,83,1,11,304
0500000US48181,48181,"Grayson County, Texas",120877,13688,107189,95103,6938,1603,1034,38,77,2396
0500000US48183,48183,"Gregg County, Texas",121730,20018,101712,74005,24068,497,1316,35,119,1672
0500000US48185,48185,"Grimes County, Texas",26604,5652,20952,16133,4348,82,61,7,16,305
0500000US48187,48187,"Guadalupe County, Texas",131533,46889,84644,72086,7963,436,1748,146,177,2088
0500000US48189,48189,"Hale County, Texas",36273,20269,16004,13647,1803,103,133,19,32,267
0500000US48191,48191,"Hall County, Texas",3353,1087,2266,1998,235,13,2,0,2,16
0500000US48193,48193,"Hamilton County, Texas",8517,863,7654,7495,38,31,31,1,3,55
0500000US48195,48195,"Hansford County, Texas",5613,2430,3183,3088,31,11,16,0,6,31
0500000US48197,48197,"Hardeman County, Texas",4139,889,3250,2938,217,15,12,0,1,67
0500000US48199,48199,"Hardin County, Texas",54635,2384,52251,48088,3181,182,269,6,19,506
0500000US48201,48201,"Harris County, Texas",4092459,1671540,2420919,1349646,754258,8150,249853,2260,7914,48838
0500000US48203,48203,"Harrison County, Texas",65631,7254,58377,42654,14303,277,331,26,52,734
0500000US48205,48205,"Hartley County, Texas",6062,1448,4614,4111,416,18,29,3,8,29
0500000US48207,48207,"Haskell County, Texas",5899,1414,4485,4148,203,25,31,0,3,75
0500000US48209,48209,"Hays County, Texas",157107,55401,101706,92062,4970,502,1699,104,226,2143
0500000US48211,48211,"Hemphill County, Texas",3807,1086,2721,2656,4,12,18,3,0,28
0500000US48213,48213,"Henderson County, Texas",78532,8490,70042,63494,4813,349,318,27,76,965
0500000US48215,48215,"Hidalgo County, Texas",774769(r48754),702206,72563,60553,2777,524,7122,49,348,1190
0500000US48217,48217,"Hill County, Texas",35089,6427,28662,25836,2161,118,105,20,19,403
0500000US48219,48219,"Hockley County, Texas",22935,9993,12942,11795,801,83,60,3,39,161
0500000US48221,48221,"Hood County, Texas",51182,5234,45948,44588,225,288,296,32,34,485
0500000US48223,48223,"Hopkins County, Texas",35161,5368,29793,26501,2448,162,172,14,18,478
0500000US48225,48225,"Houston County, Texas",23732,2364,21368,14811,6129,75,95,1,25,232
0500000US48227,48227,"Howard County, Texas",35012,13255,21757,18801,2079,220,256,13,76,312
0500000US48229,48229,"Hudspeth County, Texas",3476,2768,708,628,30,11,13,0,1,25
0500000US48231,48231,"Hunt County, Texas",86129,11751,74378,64393,6976,600,897,130,58,1324
0500000US48233,48233,"Hutchinson County, Texas",22150,4386,17764,16482,512,300,91,3,23,353
0500000US48235,48235,"Irion County, Texas",1599,407,1192,1153,11,7,3,0,0,18
0500000US48237,48237,"Jack County, Texas",9044,1283,7761,7289,340,38,30,3,6,55
0500000US48239,48239,"Jackson County, Texas",14075,4079,9996,8855,942,35,50,1,8,105
0500000US48241,48241,"Jasper County, Texas",35710,2017,33693,26939,5931,168,200,12,21,422
0500000US48243,48243,"Jeff Davis County, Texas",2342,790,1552,1490,10,8,7,1,1,35
0500000US48245,48245,"Jefferson County, Texas",252273,42899,209374,112503,84500,747,8525,64,255,2780
0500000US48247,48247,"Jim Hogg County, Texas",5300,4907,393,334,18,14,14,0,0,13
0500000US48249,48249,"Jim Wells County, Texas",40838,32254,8584,8062,156,97,134,4,28,103
0500000US48251,48251,"Johnson County, Texas",150934,27319,123615,115545,3797,741,951,475,164,1942
0500000US48253,48253,"Jones County, Texas",20202,5009,15193,12549,2292,62,76,1,27,186
0500000US48255,48255,"Karnes County, Texas",14824,7376,7448,5956,1351,37,25,2,18,59
0500000US48257,48257,"Kaufman County, Texas",103350,17548,85802,72328,10571,551,869,32,69,1382
0500000US48259,48259,"Kendall County, Texas",33410,6829,26581,25746,138,129,202,13,26,327
0500000US48261,48261,"Kenedy County, Texas",416,319,97,86,1,6,1,0,2,1
0500000US48263,48263,"Kent County, Texas",808,120,688,669,6,5,0,0,0,8
