CAMPUS,CALL_UPDATE,CAMPNAME,CDALLS,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLRTF,CNTYNAME,COUNTY,C_APPEAL_DECISION,C_RATING,C_YRS_IR,DISTNAME,DISTRICT,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE
"001908101"," ","WESTWOOD EL",58," ","N","N","N","N","N","N","N","N","ANDERSON","001"," ","F",2,"WESTWOOD ISD","001908","06","02","02 - 06","E"
"001908102"," ","WESTWOOD PRI",58," ","N","N","N","N","N","N","N","N","ANDERSON","001"," ","F",2,"WESTWOOD ISD","001908","02","EE","EE - 02","E"
"001909001"," ","SLOCUM H S",91," ","N","N","N","N","N","N","N","N","ANDERSON","001"," ","A",.,"SLOCUM ISD","001909","12","09","09 - 12","S"
"001909101"," ","SLOCUM PK - 8",82," ","N","N","N","N","N","N","N","N","ANDERSON","001"," ","B",.,"SLOCUM ISD","001909","08","PK","PK - 08","E"
"002901001"," ","ANDREWS H S",83," ","N","N","N","N","N","N","N","N","ANDREWS","002"," ","B",.,"ANDREWS ISD","002901","12","08","08 - 12","S"
"002901002"," ","ANDREWS EDUCATION CENTER",74,"AEC OF CHOICE - DRS","Y","Y","N","N","N","N","N","N","ANDREWS","002"," ","C",.,"ANDREWS ISD","002901","12","09","09 - 12","S"
"002901041"," ","ANDREWS MIDDLE",70," ","N","N","N","N","N","N","N","N","ANDREWS","002"," ","C",.,"ANDREWS ISD","002901","08","06","06 - 08","M"
"002901101"," ","DEVONIAN EL",78," ","N","N","N","N","N","N","N","N","ANDREWS","002"," ","C",.,"ANDREWS ISD","002901","03","02","02 - 03","E"
"002901104"," ","UNDERWOOD EL",68," ","N","N","N","N","N","N","N","N","ANDREWS","002"," ","D",.,"ANDREWS ISD","002901","05","04","04 - 05","E"
"002901105"," ","CLEARFORK EL",78," ","N","N","N","N","N","N","N","N","ANDREWS","002"," ","C",.,"ANDREWS ISD","002901","01","EE","EE - 01","E"
"003801001"," ","PINEYWOODS COMMUNITY ACADEMY H S",93," ","N","N","Y","N","N","N","N","N","ANGELINA","003"," ","A",.,"PINEYWOODS COMMUNITY ACADEMY","003801","12","09","09 - 12","S"
"003801042"," ","DR TERRY ROBBINS MIDDLE",79," ","N","N","Y","N","N","N","N","N","ANGELINA","003"," ","C",.,"PINEYWOODS COMMUNITY ACADEMY","003801","08","06","06 - 08","M"
"003801103"," ","SARAH STRINDEN EL",90," ","N","N","Y","N","N","N","N","N","ANGELINA","003"," ","A",.,"PINEYWOODS COMMUNITY ACADEMY","003801","05","PK","PK - 05","E"
"003902001"," ","HUDSON H S",92," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","A",.,"HUDSON ISD","003902","12","09","09 - 12","S"
"003902004"," ","STUBBLEFIELD LRN CTR",64,"AEC OF CHOICE - DRS","Y","Y","N","N","N","N","N","N","ANGELINA","003"," ","D",.,"HUDSON ISD","003902","12","10","10 - 12","S"
"003902041"," ","HUDSON MIDDLE",89," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","B",.,"HUDSON ISD","003902","08","06","06 - 08","M"
"003902101"," ","W F PEAVY PRI",81," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","B",.,"HUDSON ISD","003902","02","EE","EE - 02","E"
"003902102"," ","W H BONNER EL",81," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","B",.,"HUDSON ISD","003902","05","03","03 - 05","E"
"003903001"," ","LUFKIN H S",87," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","B",.,"LUFKIN ISD","003903","12","08","08 - 12","S"
"003903004"," ","STUBBLEFIELD LRN CTR",73,"AEC OF CHOICE - DRS","Y","Y","N","N","N","N","N","N","ANGELINA","003"," ","C",.,"LUFKIN ISD","003903","12","09","09 - 12","S"
"003903044"," ","LUFKIN MIDDLE",83," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","B",.,"LUFKIN ISD","003903","08","06","06 - 08","M"
"003903120"," ","ANDERSON EL",84," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","B",.,"LUFKIN ISD","003903","05","03","03 - 05","E"
"003903121"," ","BRANDON EL",87," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","B",.,"LUFKIN ISD","003903","05","03","03 - 05","E"
"003903122"," ","BROOKHOLLOW EL",73," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","C",.,"LUFKIN ISD","003903","05","03","03 - 05","E"
"003903123"," ","COSTON EL",86," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","B",.,"LUFKIN ISD","003903","05","03","03 - 05","E"
"003903124"," ","DUNBAR PRI",87," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","B",.,"LUFKIN ISD","003903","02","KG","KG - 02","E"
"003903125"," ","GARRETT PRI",89," ","N","N","N","N","Y","N","N","N","ANGELINA","003"," ","B",.,"LUFKIN ISD","003903","PK","PK","PK - PK","E"
