CAMPUS,CALL_UPDATE,CAMPNAME,CDALLS,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLRTF,CNTYNAME,COUNTY,CPEMALLC,CPEMALLP,CPEMALLT,CPETALLC,CPETECHC,CPETECHP,CPETECOC,CPETECOP,CPETLEPC,CPETLEPP,CPETSPEC,CPETSPEP,C_RATING,C_YRS_IR,DISTNAME,DISTRICT,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE
"014803101"," ","TEMPLE CHARTER ACADEMY",54," ","N","N","Y","N","N","N","N","N","BELL","014",104,35.7,291,357,0,0,215,60.2,19,5.3,45,12.6,"Improvement Required",1,"PRIORITY CHARTER SCHOOLS","014803","12","PK","PK - 12","B"
"014804002"," ","NEW HORIZONS",.,"RESIDENTIAL FACILITY","N","Y","Y","N","N","N","N","Y","BELL","014",53,54.6,97,66,0,0,66,100,0,0,34,51.5,"Not Rated",.,"ORENDA CHARTER SCHOOL","014804","11","01","01 - 11","B"
"014804005"," ","GATEWAY TECH H S",92,"AEC OF CHOICE","Y","Y","Y","N","N","N","N","N","BELL","014",79,54.1,146,102,0,0,20,19.6,0,0,9,8.8,"Met Alternative Standard",.,"ORENDA CHARTER SCHOOL","014804","12","09","09 - 12","S"
"014804006"," ","GATEWAY COLLEGE PREPARATORY SCHOOL",95," ","N","N","Y","N","N","N","N","N","BELL","014",138,11.3,1224,1256,0,0,83,6.6,18,1.4,70,5.6,"Met Standard",.,"ORENDA CHARTER SCHOOL","014804","12","KG","KG - 12","B"
"014804007"," ","NOLAN CREEK SCHOOL",74," ","N","N","Y","N","N","N","N","N","BELL","014",3,60,5,84,0,0,31,36.9,0,0,11,13.1,"Met Standard",.,"ORENDA CHARTER SCHOOL","014804","05","KG","KG - 05","E"
"014804008"," ","KINGSLAND SCHOOL",77," ","N","N","Y","N","N","N","N","N","BELL","014",27,31,87,151,0,0,69,45.7,0,0,26,17.2,"Met Standard",.,"ORENDA CHARTER SCHOOL","014804","07","KG","KG - 07","E"
"014901001"," ","ACADEMY H S",82," ","N","N","N","N","N","N","N","N","BELL","014",45,9.5,476,453,0,0,146,32.2,3,0.7,49,10.8,"Met Standard",.,"ACADEMY ISD","014901","12","09","09 - 12","S"
"014901041"," ","ACADEMY J H",82," ","N","N","N","N","N","N","N","N","BELL","014",33,9.5,348,343,.,0,137,39.9,18,5.2,24,7,"Met Standard",.,"ACADEMY ISD","014901","08","06","06 - 08","M"
"014901101"," ","ACADEMY INT",90," ","N","N","N","N","N","N","N","N","BELL","014",35,9.8,356,375,.,0,165,44,23,6.1,22,5.9,"Met Standard",.,"ACADEMY ISD","014901","05","03","03 - 05","E"
"014901102"," ","ACADEMY EL",90," ","N","N","N","N","N","N","N","N","BELL","014",30,11,273,383,.,0,163,42.6,25,6.5,27,7,"Met Standard",.,"ACADEMY ISD","014901","02","EE","EE - 02","E"
"014902001"," ","BARTLETT SCHOOLS",77," ","N","N","N","N","N","N","N","N","BELL","014",45,12.9,348,342,0,0,285,83.3,41,12,30,8.8,"Met Standard",.,"BARTLETT ISD","014902","12","PK","PK - 12","B"
"014903001"," ","BELTON H S",78," ","N","N","N","N","N","N","N","N","BELL","014",416,14.4,2879,2839,.,0,1170,41.2,143,5,371,13.1,"Met Standard",.,"BELTON ISD","014903","12","09","09 - 12","S"
