CAMPUS,CALL_UPDATE,CAMPNAME,CDALLS,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLRTF,CNTYNAME,COUNTY,CPEMALLC,CPEMALLP,CPEMALLT,CPETALLC,CPETECHC,CPETECHP,CPETECOC,CPETECOP,CPETLEPC,CPETLEPP,CPETSPEC,CPETSPEP,C_RATING,C_YRS_IR,DISTNAME,DISTRICT,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE
"057803047"," ","UPLIFT SUMMIT INTERNATIONAL MIDDLE",80," ","N","N","Y","N","N","N","N","N","DALLAS","057",33,6.4,515,476,0,0,355,74.6,96,20.2,32,6.7,"Met Standard",.,"UPLIFT EDUCATION","057803","08","06","06 - 08","M"
"057803048"," ","UPLIFT PEAK PREPARATORY MIDDLE",77," ","N","N","Y","N","N","N","N","N","DALLAS","057",18,4.2,429,425,0,0,379,89.2,167,39.3,40,9.4,"Met Standard",.,"UPLIFT EDUCATION","057803","08","06","06 - 08","M"
"057803049"," ","UPLIFT MIGHTY MIDDLE",62," ","N","N","Y","N","N","N","N","N","DALLAS","057",13,2.9,441,485,0,0,408,84.1,194,40,52,10.7,"Met Standard",.,"UPLIFT EDUCATION","057803","08","06","06 - 08","M"
"057803101"," ","UPLIFT EDUCATIION-NORTH HILLS PREP",92," ","N","N","Y","N","N","N","N","N","DALLAS","057",10,2,488,558,.,0,91,16.3,151,27.1,28,5,"Met Standard",.,"UPLIFT EDUCATION","057803","05","KG","KG - 05","E"
"057803102"," ","UPLIFT EDUCATION - INFINITY PREPAR",80," ","N","N","Y","N","N","N","N","N","DALLAS","057",19,5,383,486,.,0,334,68.7,213,43.8,21,4.3,"Met Standard",.,"UPLIFT EDUCATION","057803","05","PK","PK - 05","E"
"057803103"," ","UPLIFT GRADUS PREPARATORY",78," ","N","N","Y","N","N","N","N","N","DALLAS","057",28,10.9,257,486,.,0,380,78.2,55,11.3,23,4.7,"Met Standard",.,"UPLIFT EDUCATION","057803","04","PK","PK - 04","E"
"057803104"," ","UPLIFT HEIGHTS PREPARATORY PRI",69," ","N","N","Y","N","N","N","N","N","DALLAS","057",38,5,761,991,.,0,917,92.5,404,40.8,59,6,"Met Standard",.,"UPLIFT EDUCATION","057803","05","PK","PK - 05","E"
"057803105"," ","UPLIFT PINNACLE PREPARATORY PRI",72," ","N","N","Y","N","N","N","N","N","DALLAS","057",36,6.3,575,583,.,0,499,85.6,182,31.2,35,6,"Met Standard",.,"UPLIFT EDUCATION","057803","05","KG","KG - 05","E"
"057803106"," ","UPLIFT TRIUMPH PREPARATORY SCHOOL",79," ","N","N","Y","N","N","N","N","N","DALLAS","057",23,5,463,542,.,0,488,90,346,63.8,30,5.5,"Met Standard",.,"UPLIFT EDUCATION","057803","05","KG","KG - 05","E"
"057803107"," ","UPLIFT LUNA PREPARATORY PRI",86," ","N","N","Y","N","N","N","N","N","DALLAS","057",34,8.7,393,478,.,0,402,84.1,137,28.7,31,6.5,"Met Standard",.,"UPLIFT EDUCATION","057803","05","PK","PK - 05","E"
"057803108"," ","UPLIFT MERIDIAN SCHOOL",72," ","N","N","Y","N","N","N","N","N","DALLAS","057",28,6.1,459,647,.,0,567,87.6,228,35.2,51,7.9,"Met Standard",.,"UPLIFT EDUCATION","057803","05","PK","PK - 05","E"
"057803109"," ","UPLIFT SUMMIT INTERNATIONAL PRI",84," ","N","N","Y","N","N","N","N","N","DALLAS","057",20,3.9,513,608,.,0,464,76.3,216,35.5,53,8.7,"Met Standard",.,"UPLIFT EDUCATION","057803","05","KG","KG - 05","E"
"057803110"," ","UPLIFT PEAK PREPARATORY PRI",80," ","N","N","Y","N","N","N","N","N","DALLAS","057",7,1.4,502,600,.,0,506,84.3,267,44.5,48,8,"Met Standard",.,"UPLIFT EDUCATION","057803","05","KG","KG - 05","E"
"057803111"," ","UPLIFT HAMPTON PREPARATORY PRI",79," ","N","N","Y","N","N","N","N","N","DALLAS","057",36,7,513,579,.,0,472,81.5,72,12.4,36,6.2,"Met Standard",.,"UPLIFT EDUCATION","057803","05","KG","KG - 05","E"
"057803112"," ","UPLIFT WILLIAMS PREPARATORY PRI",79," ","N","N","Y","N","N","N","N","N","DALLAS","057",11,2.4,463,573,.,0,512,89.4,348,60.7,35,6.1,"Met Standard",.,"UPLIFT EDUCATION","057803","05","KG","KG - 05","E"
"057803113"," ","UPLIFT PEAK PRE-K",.," ","N","N","Y","N","Y","N","N","N","DALLAS","057",.,.,.,70,.,0,67,95.7,20,28.6,1,1.4,"Not Rated",.,"UPLIFT EDUCATION","057803","PK","PK","PK - PK","E"
"057803114"," ","UPLIFT WHITE ROCK HILLS PREP",.," ","N","N","Y","N","N","N","Y","N","DALLAS","057",.,.,.,315,.,0,263,83.5,65,20.6,10,3.2,"Not Rated",.,"UPLIFT EDUCATION","057803","02","PK","PK - 02","E"
"057804001"," ","DALLAS CAN ACADEMY CHARTER",72,"AEC OF CHOICE - DRS","Y","Y","Y","N","N","N","N","N","DALLAS","057",1142,85.9,1329,503,0,0,426,84.7,133,26.4,30,6,"Met Alternative Standard",.,"TEXANS CAN ACADEMIES","057804","12","09","09 - 12","S"
"057804002"," ","DALLAS CAN ACADEMY CHARTER-OAK CLI",63,"AEC OF CHOICE - DRS","Y","Y","Y","N","N","N","N","N","DALLAS","057",939,73.2,1282,689,0,0,689,100,163,23.7,55,8,"Met Alternative Standard",.,"TEXANS CAN ACADEMIES","057804","12","09","09 - 12","S"
"057804003"," ","DALLAS CAN ACADEMY AT CARROLLTON-F",78,"AEC OF CHOICE - DRS","Y","Y","Y","N","N","N","N","N","DALLAS","057",656,78.6,835,444,0,0,430,96.8,201,45.3,39,8.8,"Met Alternative Standard",.,"TEXANS CAN ACADEMIES","057804","12","09","09 - 12","S"
"057804004"," ","DALLAS CAN ACADEMY AT PLEASANT GRO",76,"AEC OF CHOICE - DRS","Y","Y","Y","N","N","N","N","N","DALLAS","057",740,70.5,1050,568,0,0,498,87.7,70,12.3,60,10.6,"Met Alternative Standard",.,"TEXANS CAN ACADEMIES","057804","12","09","09 - 12","S"
"057804005"," ","DALLAS CAN ACADEMY - GRANT EAST",61,"AEC OF CHOICE - DRS","Y","Y","Y","N","N","N","N","N","DALLAS","057",669,81.6,820,369,0,0,355,96.2,14,3.8,41,11.1,"Met Alternative Standard",.,"TEXANS CAN ACADEMIES","057804","12","09","09 - 12","S"
"057804006"," ","AUSTIN CAN ACADEMY",66,"AEC OF CHOICE - DRS","Y","Y","Y","N","N","N","N","N","DALLAS","057",1103,85.5,1290,485,0,0,444,91.5,135,27.8,49,10.1,"Met Alternative Standard",.,"TEXANS CAN ACADEMIES","057804","12","09","09 - 12","S"
"057804007"," ","FORT WORTH CAN ACADEMY WESTCREEK",66,"AEC OF CHOICE - DRS","Y","Y","Y","N","N","N","N","N","DALLAS","057",559,79,708,402,0,0,333,82.8,19,4.7,16,4,"Met Alternative Standard",.,"TEXANS CAN ACADEMIES","057804","12","09","09 - 12","S"
"057804008"," ","FORT WORTH CAN ACADEMY LANCASTER A",58,"AEC OF CHOICE - DRS","Y","Y","Y","N","N","N","N","N","DALLAS","057",716,80.9,885,449,0,0,413,92,56,12.5,18,4,"Improvement Required",1,"TEXANS CAN ACADEMIES","057804","12","09","09 - 12","S"
"057804009"," ","HOUSTON CAN ACADEMY - NORTH",69,"AEC OF CHOICE - DRS","Y","Y","Y","N","N","N","N","N","DALLAS","057",563,67.7,832,443,0,0,338,76.3,31,7,31,7,"Met Alternative Standard",.,"TEXANS CAN ACADEMIES","057804","12","09","09 - 12","S"
"057804010"," ","HOUSTON CAN ACADEMY - HOBBY",55,"AEC OF CHOICE - DRS","Y","Y","Y","N","N","N","N","N","DALLAS","057",413,67.3,614,412,0,0,261,63.3,53,12.9,20,4.9,"Improvement Required",1,"TEXANS CAN ACADEMIES","057804","12","09","09 - 12","S"
"057804011"," ","SAN ANTONIO CAN ACADEMY",60,"AEC OF CHOICE - DRS","Y","Y","Y","N","N","N","N","N","DALLAS","057",761,84.6,899,402,0,0,225,56,41,10.2,36,9,"Met Alternative Standard",.,"TEXANS CAN ACADEMIES","057804","12","09","09 - 12","S"
"057804012"," ","HOUSTON CAN ACADEMY - SOUTHWEST",57,"AEC OF CHOICE - DRS","Y","Y","Y","N","N","N","N","N","DALLAS","057",338,73.8,458,378,0,0,326,86.2,41,10.8,13,3.4,"Improvement Required",1,"TEXANS CAN ACADEMIES","057804","12","09","09 - 12","S"
"057804013"," ","GARLAND CAN ACADEMY",61,"AEC OF CHOICE - DRS","Y","Y","Y","N","N","N","N","N","DALLAS","057",354,88.7,399,265,0,0,204,77,16,6,21,7.9,"Met Alternative Standard",.,"TEXANS CAN ACADEMIES","057804","12","09","09 - 12","S"
"057805101"," ","LUMIN LINDSLEY PARK COMMUNITY SCHO",54," ","N","N","Y","N","N","N","N","N","DALLAS","057",9,7.5,120,313,.,0,187,59.7,119,38,36,11.5,"Improvement Required",1,"LUMIN EDUCATION","057805","03","PK","PK - 03","E"
"057806101"," ","ADVANTAGE ACADEMY",80," ","N","N","Y","N","N","N","N","N","DALLAS","057",258,17,1522,1666,0,0,1263,75.8,391,23.5,74,4.4,"Met Standard",.,"ADVANTAGE ACADEMY","057806","12","PK","PK - 12","B"
"057807001"," ","LIFE SCHOOL OAK CLIFF",73," ","N","N","Y","N","N","N","N","N","DALLAS","057",75,4.9,1544,1537,0,0,1248,81.2,280,18.2,142,9.2,"Met Standard",.,"LIFE SCHOOL","057807","12","KG","KG - 12","B"
"057807002"," ","LIFE H S WAXAHACHIE",83," ","N","N","Y","N","N","N","N","N","DALLAS","057",61,6.9,878,931,0,0,411,44.1,30,3.2,101,10.8,"Met Standard",.,"LIFE SCHOOL","057807","12","09","09 - 12","S"
"057807041"," ","LIFE MIDDLE WAXAHACHIE",86," ","N","N","Y","N","N","N","N","N","DALLAS","057",20,3.9,517,488,0,0,246,50.4,22,4.5,55,11.3,"Met Standard",.,"LIFE SCHOOL","057807","08","07","07 - 08","M"
"057807101"," ","LIFE SCHOOL RED OAK",74," ","N","N","Y","N","N","N","N","N","DALLAS","057",78,8.2,950,1030,0,0,470,45.6,54,5.2,72,7,"Met Standard",.,"LIFE SCHOOL","057807","06","KG","KG - 06","E"
"057807102"," ","LIFE SCHOOL LANCASTER",51," ","N","N","Y","N","N","N","N","N","DALLAS","057",63,10.6,596,598,0,0,404,67.6,33,5.5,38,6.4,"Improvement Required",1,"LIFE SCHOOL","057807","06","KG","KG - 06","E"
"057807104"," ","LIFE SCHOOL CEDAR HILL",70," ","N","N","Y","N","N","N","N","N","DALLAS","057",78,12.8,608,634,0,0,379,59.8,48,7.6,36,5.7,"Met Standard",.,"LIFE SCHOOL","057807","06","KG","KG - 06","E"
"057807105"," ","LIFE SCHOOL MOUNTAIN CREEK",56," ","N","N","Y","N","N","N","N","N","DALLAS","057",25,7.9,316,444,0,0,287,64.6,40,9,45,10.1,"Improvement Required",1,"LIFE SCHOOL","057807","05","KG","KG - 05","E"
"057808101"," ","UNIVERSAL ACADEMY",80," ","N","N","Y","N","N","N","N","N","DALLAS","057",81,12.4,652,775,0,0,663,85.5,306,39.5,21,2.7,"Met Standard",.,"UNIVERSAL ACADEMY","057808","12","PK","PK - 12","B"
"057808102"," ","UNIVERSAL ACADEMY - COPPELL",95," ","N","N","Y","N","N","N","N","N","DALLAS","057",146,12.7,1151,1385,0,0,20,1.4,292,21.1,25,1.8,"Met Standard",.,"UNIVERSAL ACADEMY","057808","12","KG","KG - 12","B"
"057809101"," ","NOVA ACADEMY",58," ","N","N","Y","N","N","N","N","N","DALLAS","057",7,8,87,182,0,0,144,79.1,69,37.9,2,1.1,"Improvement Required",1,"NOVA ACADEMY","057809","04","PK","PK - 04","E"
"057810101"," ","ACADEMY OF DALLAS",67," ","N","N","Y","N","N","N","N","N","DALLAS","057",53,17.4,305,432,.,0,421,97.5,65,15,41,9.5,"Met Standard",.,"ACADEMY OF DALLAS","057810","08","PK","PK - 08","E"
"057813101"," ","TRINITY BASIN PREPARATORY",79," ","N","N","Y","N","N","N","N","N","DALLAS","057",162,7.8,2082,3151,.,0,2494,79.1,1918,60.9,238,7.6,"Met Standard",.,"TRINITY BASIN PREPARATORY","057813","08","PK","PK - 08","E"
"057814001"," ","DALLAS COUNTY JUVENILE JUSTICE",.,"RESIDENTIAL FACILITY","N","Y","Y","N","N","N","N","Y","DALLAS","057",1185,99.2,1194,290,0,0,290,100,64,22.1,73,25.2,"Not Rated",.,"ACADEMY FOR ACADEMIC EXCELLENCE","057814","12","05","05 - 12","B"
"057814002"," ","DRC CAMPUS",.,"RESIDENTIAL FACILITY","N","Y","Y","N","N","N","N","Y","DALLAS","057",128,99.2,129,39,0,0,39,100,8,20.5,7,17.9,"Not Rated",.,"ACADEMY FOR ACADEMIC EXCELLENCE","057814","12","06","06 - 12","B"
"057814003"," ","MEDLOCK YOUTH VILLAGE",.,"RESIDENTIAL FACILITY","N","Y","Y","N","N","N","N","Y","DALLAS","057",241,89.9,268,125,0,0,125,100,24,19.2,35,28,"Not Rated",.,"ACADEMY FOR ACADEMIC EXCELLENCE","057814","12","05","05 - 12","B"
"057814004"," ","SAU CAMPUS",.,"RESIDENTIAL FACILITY","N","Y","Y","N","N","N","N","Y","DALLAS","057",173,100,173,28,0,0,28,100,10,35.7,5,17.9,"Not Rated",.,"ACADEMY FOR ACADEMIC EXCELLENCE","057814","12","07","07 - 12","S"
"057814005"," ","LETOT CAMPUS",.,"RESIDENTIAL FACILITY","N","Y","Y","N","N","N","N","Y","DALLAS","057",221,100,221,39,0,0,39,100,5,12.8,6,15.4,"Not Rated",.,"ACADEMY FOR ACADEMIC EXCELLENCE","057814","12","06","06 - 12","B"
"057816101"," ","AW BROWN-F L A INT CAMPUS",73," ","N","N","Y","N","N","N","N","N","DALLAS","057",126,11.6,1082,984,0,0,831,84.5,15,1.5,63,6.4,"Met Standard",.,"A W BROWN LEADERSHIP ACADEMY","057816","08","KG","KG - 08","E"
"057816102"," ","A W BROWN - F L A EARLY CHILDHOOD",70," ","N","N","Y","N","N","N","N","N","DALLAS","057",57,10.9,523,1160,.,0,1070,92.2,8,0.7,27,2.3,"Met Standard",.,"A W BROWN LEADERSHIP ACADEMY","057816","05","PK","PK - 05","E"
"057819001"," ","JEAN MASSIEU ACADEMY",76," ","N","N","Y","N","N","N","N","N","DALLAS","057",23,14.3,161,196,0,0,191,97.4,111,56.6,16,8.2,"Met Standard",.,"JEAN MASSIEU ACADEMY","057819","11","PK","PK - 11","B"
"057827101"," ","NOVA ACADEMY CEDAR HILL",79," ","N","N","Y","N","N","N","N","N","DALLAS","057",19,13.1,145,62,0,0,62,100,2,3.2,1,1.6,"Met Standard",.,"NOVA ACADEMY (SOUTHEAST)","057827","06","PK","PK - 06","E"
"057827102"," ","NOVA ACADEMY PRICHARD",76," ","N","N","Y","N","N","N","N","N","DALLAS","057",43,8.8,491,481,0,0,384,79.8,168,34.9,29,6,"Met Standard",.,"NOVA ACADEMY (SOUTHEAST)","057827","08","PK","PK - 08","E"
"057828001"," ","WINFREE ACADEMY CHARTER SCHOOL (IR",62,"AEC OF CHOICE - DRS","Y","Y","Y","N","N","N","N","N","DALLAS","057",309,81.7,378,199,.,0,124,62.3,40,20.1,20,10.1,"Met Alternative Standard",.,"WINFREE ACADEMY CHARTER SCHOOLS","057828","12","09","09 - 12","S"
"057828002"," ","WINFREE ACADEMY CHARTER SCHOOL (LE",59,"AEC OF CHOICE - DRS","Y","Y","Y","N","N","N","N","N","DALLAS","057",208,77.9,267,139,.,0,81,58.3,17,12.2,20,14.4,"Improvement Required",1,"WINFREE ACADEMY CHARTER SCHOOLS","057828","12","09","09 - 12","S"
"057828003"," ","WINFREE ACADEMY CHARTER SCHOOL (RI",78,"AEC OF CHOICE - DRS","Y","Y","Y","N","N","N","N","N","DALLAS","057",370,77.2,479,240,.,0,94,39.2,18,7.5,20,8.3,"Met Alternative Standard",.,"WINFREE ACADEMY CHARTER SCHOOLS","057828","12","09","09 - 12","S"
"057828004"," ","WINFREE ACADEMY CHARTER SCHOOL - G",72,"AEC OF CHOICE - DRS","Y","Y","Y","N","N","N","N","N","DALLAS","057",466,76,613,329,.,0,208,63.2,45,13.7,36,10.9,"Met Alternative Standard",.,"WINFREE ACADEMY CHARTER SCHOOLS","057828","12","09","09 - 12","S"
"057828005"," ","WINFREE ACADEMY NORTH RICHLAND HIL",66,"AEC OF CHOICE - DRS","Y","Y","Y","N","N","N","N","N","DALLAS","057",439,79.4,553,260,.,0,157,60.4,11,4.2,20,7.7,"Met Alternative Standard",.,"WINFREE ACADEMY CHARTER SCHOOLS","057828","12","09","09 - 12","S"
"057828006"," ","WINFREE ACADEMY CHARTER SCHOOL DAL",62,"AEC OF CHOICE - DRS","Y","Y","Y","N","N","N","N","N","DALLAS","057",238,77.3,308,128,.,0,93,72.7,14,10.9,14,10.9,"Met Alternative Standard",.,"WINFREE ACADEMY CHARTER SCHOOLS","057828","12","09","09 - 12","S"
"057829001"," ","A+ ACADEMY EL",52," ","N","N","Y","N","N","N","N","N","DALLAS","057",62,6.3,988,794,.,0,677,85.3,500,63,48,6,"Improvement Required",1,"A+ ACADEMY","057829","06","PK","PK - 06","E"
"057829002"," ","A+ SECONDARY SCHOOL",79," ","N","N","Y","N","N","N","Y","N","DALLAS","057",.,.,.,554,0,0,446,80.5,146,26.4,62,11.2,"Met Standard",.,"A+ ACADEMY","057829","12","07","07 - 12","S"
"057830001"," ","INSPIRED VISION ACADEMY EL",63," ","N","N","Y","N","N","N","N","N","DALLAS","057",16,3.7,427,742,.,0,694,93.5,357,48.1,35,4.7,"Met Standard",.,"INSPIRED VISION ACADEMY","057830","06","PK","PK - 06","E"
"057830002"," ","INSPIRED VISION ACADEMY MIDDLE",67," ","N","N","Y","N","N","N","N","N","DALLAS","057",51,8.5,602,580,0,0,558,96.2,189,32.6,71,12.2,"Met Standard",.,"INSPIRED VISION ACADEMY","057830","12","07","07 - 12","S"
"057831001"," ","GATEWAY CHARTER ACADEMY -EL",71," ","N","N","Y","N","N","N","N","N","DALLAS","057",50,23.1,216,457,0,0,457,100,1,0.2,8,1.8,"Met Standard",.,"GATEWAY CHARTER ACADEMY","057831","05","PK","PK - 05","E"
"057831002"," ","GATEWAY CHARTER ACADEMY - MIDDLE -",66," ","N","N","Y","N","N","N","N","N","DALLAS","057",48,17.4,276,296,0,0,296,100,1,0.3,31,10.5,"Met Standard",.,"GATEWAY CHARTER ACADEMY","057831","12","06","06 - 12","B"
"057833001"," ","EDUCATION CENTER INTERNATIONAL ACA",73," ","N","N","Y","N","N","N","N","N","DALLAS","057",49,20.1,244,257,.,0,129,50.2,24,9.3,21,8.2,"Met Standard",.,"EDUCATION CENTER INTERNATIONAL ACA","057833","08","KG","KG - 08","E"
"057833002"," ","EDUCATION CENTER INTERNATIONAL ACA",75," ","N","N","Y","N","N","N","N","N","DALLAS","057",38,28.8,132,169,.,0,88,52.1,9,5.3,14,8.3,"Met Standard",.,"EDUCATION CENTER INTERNATIONAL ACA","057833","08","PK","PK - 08","E"
"057833003"," ","EDUCATION CENTER INTERNATIONAL ACA",74," ","N","N","Y","N","N","N","N","N","DALLAS","057",32,32,100,117,.,0,18,15.4,2,1.7,11,9.4,"Met Standard",.,"EDUCATION CENTER INTERNATIONAL ACA","057833","08","KG","KG - 08","E"
"057834001"," ","EVOLUTION ACADEMY CHARTER SCHOOL",58,"AEC OF CHOICE - DRS","Y","Y","Y","N","N","N","N","N","DALLAS","057",660,84.1,785,349,0,0,258,73.9,29,8.3,46,13.2,"Not Rated: Harvey Provision",.,"EVOLUTION ACADEMY CHARTER SCHOOL","057834","12","09","09 - 12","S"
"057834003"," ","EVOLUTION ACADEMY BEAUMONT",58,"AEC OF CHOICE - DRS","Y","Y","Y","N","N","N","N","N","DALLAS","057",258,76.8,336,171,0,0,137,80.1,8,4.7,17,9.9,"Not Rated: Harvey Provision",.,"EVOLUTION ACADEMY CHARTER SCHOOL","057834","12","09","09 - 12","S"
"057834004"," ","EVOLUTION ACADEMY HOUSTON",60,"AEC OF CHOICE - DRS","Y","Y","Y","N","N","N","N","N","DALLAS","057",395,77.5,510,289,0,0,171,59.2,14,4.8,26,9,"Met Alternative Standard",.,"EVOLUTION ACADEMY CHARTER SCHOOL","057834","12","09","09 - 12","S"
"057835001"," ","GOLDEN RULE CHARTER SCHOOL",78," ","N","N","Y","N","N","N","N","N","DALLAS","057",26,4.4,595,710,.,0,688,96.9,405,57,50,7,"Met Standard",.,"GOLDEN RULE CHARTER SCHOOL","057835","08","PK","PK - 08","E"
"057835101"," ","GOLDEN RULE",95," ","N","N","Y","N","N","N","N","N","DALLAS","057",2,2.2,92,142,.,0,137,96.5,110,77.5,2,1.4,"Met Standard",.,"GOLDEN RULE CHARTER SCHOOL","057835","04","PK","PK - 04","E"
"057835102"," ","GOLDEN RULE DESOTO",88," ","N","N","Y","N","N","N","N","N","DALLAS","057",9,8.5,106,215,.,0,212,98.6,88,40.9,10,4.7,"Met Standard",.,"GOLDEN RULE CHARTER SCHOOL","057835","05","PK","PK - 05","E"
"057835103"," ","GOLDEN RULE SOUTHWEST",90," ","N","N","Y","N","N","N","N","N","DALLAS","057",15,12.2,123,276,.,0,269,97.5,204,73.9,11,4,"Met Standard",.,"GOLDEN RULE CHARTER SCHOOL","057835","04","PK","PK - 04","E"
"057835104"," ","GOLDEN RULE GRAND PRAIRIE",.," ","N","N","Y","N","N","N","N","N","DALLAS","057",3,27.3,11,87,.,0,87,100,50,57.5,2,2.3,"Not Rated",.,"GOLDEN RULE CHARTER SCHOOL","057835","02","PK","PK - 02","E"
"057835105"," ","GOLDEN RULE SCHOOLS INC - WILMER",.," ","N","N","Y","N","Y","N","Y","N","DALLAS","057",.,.,.,11,.,0,11,100,4,36.4,0,0,"Not Rated",.,"GOLDEN RULE CHARTER SCHOOL","057835","PK","PK","PK - PK","E"
"057836041"," ","ST ANTHONY SCHOOL",79," ","N","N","Y","N","N","N","N","N","DALLAS","057",4,3.6,110,112,0,0,67,59.8,0,0,7,6.3,"Met Standard",.,"ST ANTHONY SCHOOL","057836","08","06","06 - 08","M"
"057836101"," ","ST ANTHONY ACADEMY",77," ","N","N","Y","N","N","N","N","N","DALLAS","057",8,4.5,177,222,0,0,161,72.5,0,0,14,6.3,"Met Standard",.,"ST ANTHONY SCHOOL","057836","05","KG","KG - 05","E"
"057837041"," ","KIPP TRUTH ACADEMY",79," ","N","N","Y","N","N","N","N","N","DALLAS","057",56,11,510,477,0,0,274,57.4,184,38.6,21,4.4,"Met Standard",.,"KIPP DALLAS-FORT WORTH","057837","08","05","05 - 08","M"
"057837042"," ","KIPP DESTINY MIDDLE",70," ","N","N","Y","N","N","N","N","N","DALLAS","057",34,13.3,255,335,0,0,304,90.7,52,15.5,41,12.2,"Met Standard",.,"KIPP DALLAS-FORT WORTH","057837","08","06","06 - 08","M"
"057837043"," ","KIPP PLEASANT GROVE MIDDLE",87," ","N","N","Y","N","N","N","Y","N","DALLAS","057",.,.,.,116,.,0,104,89.7,35,30.2,9,7.8,"Met Standard",.,"KIPP DALLAS-FORT WORTH","057837","05","05","05 - 05","E"
"057837101"," ","KIPP DESTINY EL",63," ","N","N","Y","N","N","N","N","N","DALLAS","057",60,15.3,391,589,.,0,539,91.5,59,10,29,4.9,"Met Standard",.,"KIPP DALLAS-FORT WORTH","057837","04","KG","KG - 04","E"
"057837102"," ","KIPP TRUTH EL",48," ","N","N","Y","N","N","N","N","N","DALLAS","057",45,16.7,270,465,.,0,446,95.9,153,32.9,31,6.7,"Improvement Required",1,"KIPP DALLAS-FORT WORTH","057837","03","KG","KG - 03","E"
"057837103"," ","KIPP PLEASANT GROVE PRI",.," ","N","N","Y","N","N","N","N","N","DALLAS","057",21,25.6,82,355,.,0,299,84.2,55,15.5,14,3.9,"Not Rated",.,"KIPP DALLAS-FORT WORTH","057837","02","KG","KG - 02","E"
"057839101"," ","LA ACADEMIA DE ESTRELLAS",73," ","N","N","Y","N","N","N","N","N","DALLAS","057",23,3.1,741,1088,.,0,961,88.3,670,61.6,95,8.7,"Met Standard",.,"LA ACADEMIA DE ESTRELLAS","057839","08","PK","PK - 08","E"
"057840001"," ","RICHLAND COLLEGIATE H S OF MATH SC",97," ","N","N","Y","N","N","N","N","N","DALLAS","057",108,16.8,643,581,0,0,124,21.3,0,0,2,0.3,"Met Standard",.,"RICHLAND COLLEGIATE HIGH SCHOOL","057840","12","11","11 - 12","S"
"057841001"," ","EAST GRAND PREPARATORY ACADEMY",66," ","N","N","Y","N","N","N","N","N","DALLAS","057",36,10,359,740,0,0,662,89.5,394,53.2,41,5.5,"Met Standard",.,"CITYSCAPE SCHOOLS","057841","08","PK","PK - 08","E"
"057844001"," ","MANARA LEADERSHIP ACADEMY",74," ","N","N","Y","N","N","N","N","N","DALLAS","057",45,24.2,186,149,0,0,87,58.4,57,38.3,15,10.1,"Met Standard",.,"MANARA ACADEMY","057844","11","07","07 - 11","S"
"057844101"," ","MANARA ACADEMY",76," ","N","N","Y","N","N","N","N","N","DALLAS","057",99,19.5,508,486,.,0,224,46.1,157,32.3,40,8.2,"Met Standard",.,"MANARA ACADEMY","057844","06","KG","KG - 06","E"
"057844102"," ","MANARA STEM ACADEMY - ARLINGTON",72," ","N","N","Y","N","N","N","N","N","DALLAS","057",69,28.5,242,243,.,0,118,48.6,66,27.2,12,4.9,"Met Standard",.,"MANARA ACADEMY","057844","07","KG","KG - 07","E"
"057845001"," ","UME PREPARATORY ACADEMY",95," ","N","N","Y","N","N","N","N","N","DALLAS","057",42,8.7,481,570,.,0,111,19.5,20,3.5,25,4.4,"Met Standard",.,"UME PREPARATORY ACADEMY","057845","12","KG","KG - 12","B"
"057845002"," ","UME PREPARATORY ACADEMY - DUNCANVI",73," ","N","N","Y","N","N","N","N","N","DALLAS","057",43,30.5,141,220,.,0,46,20.9,8,3.6,9,4.1,"Met Standard",.,"UME PREPARATORY ACADEMY","057845","06","KG","KG - 06","E"
"057846001"," ","LEGACY PREPARATORY CHARTER ACADEMY",59," ","N","N","Y","N","N","N","N","N","DALLAS","057",73,15.3,476,1052,.,0,725,68.9,436,41.4,69,6.6,"Improvement Required",2,"LEGACY PREPARATORY","057846","12","KG","KG - 12","B"
"057846003"," ","LEGACY PREPARATORY CHARTER ACADEMY",69," ","N","N","Y","N","N","N","N","N","DALLAS","057",138,33.3,414,341,.,0,155,45.5,54,15.8,36,10.6,"Met Standard",.,"LEGACY PREPARATORY","057846","12","KG","KG - 12","B"
"057847001"," ","VILLAGE TECH SCHOOLS",63," ","N","N","Y","N","N","N","N","N","DALLAS","057",63,8.2,770,920,.,0,371,40.3,17,1.8,43,4.7,"Met Standard",.,"VILLAGE TECH SCHOOLS","057847","12","PK","PK - 12","B"
"057848001"," ","INTERNATIONAL LEADERSHIP OF TEXAS",71," ","N","N","Y","N","N","N","N","N","DALLAS","057",83,9.9,836,955,.,0,549,57.5,381,39.9,43,4.5,"Met Standard",.,"INTERNATIONAL LEADERSHIP OF TEXAS","057848","05","KG","KG - 05","E"
"057848002"," ","INTERNATIONAL LEADERSHIP OF TEXAS",79," ","N","N","Y","N","N","N","N","N","DALLAS","057",53,10.7,495,469,.,0,272,58,124,26.4,24,5.1,"Met Standard",.,"INTERNATIONAL LEADERSHIP OF TEXAS","057848","08","06","06 - 08","M"
"057848003"," ","INTERNATIONAL LEADERSHIP OF TEXAS",86," ","N","N","Y","N","N","N","N","N","DALLAS","057",78,13.2,591,621,.,0,334,53.8,90,14.5,35,5.6,"Met Standard",.,"INTERNATIONAL LEADERSHIP OF TEXAS","057848","12","09","09 - 12","S"
