County,School year,Exemption rate,Year
Burleson,2013-2014,0,2014-06-01
Burnet,2013-2014,4.3,2014-06-01
Burnet,2017-2018,3.48,2018-06-01
Burnet,2014-2015,3.5,2015-06-01
Burnet,2010-2011,2.38,2011-06-01
Burnet,2018-2019,3.33,2019-06-01
Burnet,2015-2016,1.43,2016-06-01
Burnet,2019-2020,5.01,2020-06-01
Burnet,2011-2012,1.3,2012-06-01
Burnet,2016-2017,1.95,2017-06-01
Burnet,2012-2013,2.3,2013-06-01
Caldwell,2016-2017,2.44,2017-06-01
Caldwell,2012-2013,0.8,2013-06-01
Caldwell,2019-2020,2.2,2020-06-01
Caldwell,2011-2012,1.49,2012-06-01
Caldwell,2010-2011,0.2,2011-06-01
Caldwell,2015-2016,1.72,2016-06-01
Caldwell,2018-2019,3.17,2019-06-01
Caldwell,2014-2015,1.6,2015-06-01
Caldwell,2017-2018,1.44,2018-06-01
Caldwell,2013-2014,2.41,2014-06-01
Calhoun,2015-2016,0.29,2016-06-01
Calhoun,2012-2013,1.73,2013-06-01
Calhoun,2019-2020,0.65,2020-06-01
Calhoun,2010-2011,0,2011-06-01
Calhoun,2017-2018,1.07,2018-06-01
Calhoun,2016-2017,0.66,2017-06-01
Calhoun,2014-2015,0.66,2015-06-01
Calhoun,2013-2014,0.61,2014-06-01
Calhoun,2018-2019,0.7,2019-06-01
Calhoun,2011-2012,0.31,2012-06-01
Callahan,2016-2017,2.25,2017-06-01
Callahan,2014-2015,3.22,2015-06-01
Callahan,2013-2014,1.66,2014-06-01
Callahan,2010-2011,1.14,2011-06-01
Callahan,2011-2012,1.5,2012-06-01
Callahan,2018-2019,2.94,2019-06-01
Callahan,2015-2016,1.8,2016-06-01
Callahan,2012-2013,1.07,2013-06-01
Callahan,2019-2020,3.52,2020-06-01
Callahan,2017-2018,2.2,2018-06-01
Cameron,2019-2020,0.65,2020-06-01
Cameron,2013-2014,0.25,2014-06-01
Cameron,2014-2015,0.11,2015-06-01
Cameron,2015-2016,0.26,2016-06-01
Cameron,2012-2013,0.16,2013-06-01
Cameron,2016-2017,0.27,2017-06-01
Cameron,2011-2012,0.28,2012-06-01
Cameron,2017-2018,0.38,2018-06-01
Cameron,2010-2011,0.09,2011-06-01
Cameron,2018-2019,0.77,2019-06-01
Camp,2018-2019,0.53,2019-06-01
Camp,2011-2012,0,2012-06-01
Camp,2017-2018,0,2018-06-01
Camp,2019-2020,0,2020-06-01
Camp,2012-2013,0.51,2013-06-01
Camp,2014-2015,0,2015-06-01
Camp,2010-2011,0,2011-06-01
Camp,2016-2017,0,2017-06-01
Camp,2015-2016,0,2016-06-01
Camp,2013-2014,0,2014-06-01
