County,School year,Exemption rate,Year
Bexar,2014-2015,0.0052,2015-08-01
Bexar,2011-2012,0.0032,2012-08-01
Bexar,2013-2014,0.0045,2014-08-01
Bexar,2017-2018,0.008,2018-08-01
Bexar,2010-2011,0.0026,2011-08-01
Bexar,2012-2013,0.0036,2013-08-01
Bexar,2018-2019,0.0088,2019-08-01
Blanco,2010-2011,0.0183,2011-08-01
Blanco,2013-2014,0.0361,2014-08-01
Blanco,2016-2017,0.0346,2017-08-01
Blanco,2015-2016,0.0306,2016-08-01
Blanco,2012-2013,0.0289,2013-08-01
Blanco,2017-2018,0.0352,2018-08-01
Blanco,2011-2012,0.0208,2012-08-01
Blanco,2014-2015,0.0457,2015-08-01
Blanco,2018-2019,0.0317,2019-08-01
Borden,2012-2013,0.0084,2013-08-01
Borden,2015-2016,0.0204,2016-08-01
Borden,2011-2012,0.0095,2012-08-01
Borden,2014-2015,0.0163,2015-08-01
Borden,2016-2017,0.0315,2017-08-01
Borden,2018-2019,0.0512,2019-08-01
Borden,2017-2018,0.0424,2018-08-01
Borden,2013-2014,0.0117,2014-08-01
Borden,2010-2011,0,2011-08-01
Bosque,2010-2011,0.005,2011-08-01
Bosque,2012-2013,0.005,2013-08-01
Bosque,2017-2018,0.0078,2018-08-01
Bosque,2013-2014,0.0049,2014-08-01
Bosque,2016-2017,0.0093,2017-08-01
Bosque,2014-2015,0.0058,2015-08-01
Bosque,2015-2016,0.0068,2016-08-01
Bosque,2011-2012,0.0057,2012-08-01
Bosque,2018-2019,0.0148,2019-08-01
Bowie,2016-2017,0.013,2017-08-01
Bowie,2011-2012,0.0066,2012-08-01
Bowie,2013-2014,0.0112,2014-08-01
Bowie,2018-2019,0.0139,2019-08-01
Bowie,2015-2016,0.0117,2016-08-01
Bowie,2010-2011,0.0075,2011-08-01
Bowie,2014-2015,0.0117,2015-08-01
Bowie,2017-2018,0.0128,2018-08-01
Bowie,2012-2013,0.0097,2013-08-01
Brazoria,2013-2014,0.006,2014-08-01
Brazoria,2018-2019,0.0097,2019-08-01
Brazoria,2010-2011,0.003,2011-08-01
Brazoria,2011-2012,0.0043,2012-08-01
Brazoria,2012-2013,0.0046,2013-08-01
Brazoria,2017-2018,0.0093,2018-08-01
Brazoria,2016-2017,0.0079,2017-08-01
Brazoria,2015-2016,0.008,2016-08-01
Brazoria,2014-2015,0.007,2015-08-01
Brazos,2011-2012,0.0038,2012-08-01
Brazos,2018-2019,0.0089,2019-08-01
Brazos,2015-2016,0.0076,2016-08-01
Brazos,2017-2018,0.0076,2018-08-01
Brazos,2016-2017,0.0076,2017-08-01
Brazos,2012-2013,0.0048,2013-08-01
Brazos,2014-2015,0.0063,2015-08-01
Brazos,2010-2011,0.0043,2011-08-01
Brazos,2013-2014,0.0049,2014-08-01
Brewster,2013-2014,0.0146,2014-08-01
Brewster,2010-2011,0.0083,2011-08-01
Brewster,2018-2019,0.0134,2019-08-01
Brewster,2014-2015,0.0054,2015-08-01
Brewster,2011-2012,0.0049,2012-08-01
Brewster,2017-2018,0.0172,2018-08-01
Brewster,2015-2016,0.0136,2016-08-01
Brewster,2012-2013,0.0168,2013-08-01
Brewster,2016-2017,0.0156,2017-08-01
Briscoe,2018-2019,0.0168,2019-08-01
Briscoe,2011-2012,0.0412,2012-08-01
Briscoe,2014-2015,0.0216,2015-08-01
Briscoe,2015-2016,0.0355,2016-08-01
Briscoe,2010-2011,0.0323,2011-08-01
Briscoe,2013-2014,0.0286,2014-08-01
Briscoe,2012-2013,0.0256,2013-08-01
Briscoe,2017-2018,0.0202,2018-08-01
Briscoe,2016-2017,0.0326,2017-08-01
Brooks,2011-2012,0.0013,2012-08-01
Brooks,2012-2013,0,2013-08-01
Brooks,2013-2014,0,2014-08-01
Brooks,2016-2017,0.0006,2017-08-01
Brooks,2014-2015,0,2015-08-01
Brooks,2010-2011,0.0006,2011-08-01
Brooks,2015-2016,0,2016-08-01
Brooks,2018-2019,0.0033,2019-08-01
Brooks,2017-2018,0.0019,2018-08-01
Brown,2018-2019,0.0159,2019-08-01
Brown,2011-2012,0.0107,2012-08-01
Brown,2014-2015,0.007,2015-08-01
Brown,2010-2011,0.0121,2011-08-01
Brown,2012-2013,0.0143,2013-08-01
Brown,2013-2014,0.006,2014-08-01
Brown,2016-2017,0.0099,2017-08-01
Brown,2015-2016,0.0062,2016-08-01
Brown,2017-2018,0.0115,2018-08-01
Burleson,2012-2013,0.0019,2013-08-01
Burleson,2017-2018,0.004,2018-08-01
Burleson,2014-2015,0.0019,2015-08-01
Burleson,2013-2014,0.0011,2014-08-01
Burleson,2016-2017,0.0019,2017-08-01
Burleson,2018-2019,0.0076,2019-08-01
Burleson,2015-2016,0.0019,2016-08-01
Burleson,2011-2012,0.0022,2012-08-01
Burleson,2010-2011,0.0018,2011-08-01
Burnet,2012-2013,0.0155,2013-08-01
Burnet,2017-2018,0.0264,2018-08-01
Burnet,2011-2012,0.0125,2012-08-01
Burnet,2014-2015,0.0237,2015-08-01
Burnet,2016-2017,0.0244,2017-08-01
Burnet,2013-2014,0.0175,2014-08-01
Burnet,2015-2016,0.0221,2016-08-01
Burnet,2018-2019,0.0328,2019-08-01
Burnet,2010-2011,0.0411,2011-08-01
Caldwell,2014-2015,0.0076,2015-08-01
Caldwell,2016-2017,0.0126,2017-08-01
Caldwell,2017-2018,0.0135,2018-08-01
Caldwell,2012-2013,0.0049,2013-08-01
Caldwell,2015-2016,0.0107,2016-08-01
Caldwell,2018-2019,0.0119,2019-08-01
Caldwell,2013-2014,0.0066,2014-08-01
Caldwell,2010-2011,0.0035,2011-08-01
Caldwell,2011-2012,0.0035,2012-08-01
Calhoun,2010-2011,0.0047,2011-08-01
Calhoun,2017-2018,0.0059,2018-08-01
Calhoun,2016-2017,0.0047,2017-08-01
Calhoun,2013-2014,0.0051,2014-08-01
Calhoun,2014-2015,0.0047,2015-08-01
Calhoun,2015-2016,0.0039,2016-08-01
Calhoun,2018-2019,0.0063,2019-08-01
Calhoun,2012-2013,0.0056,2013-08-01
Calhoun,2011-2012,0.0046,2012-08-01
Callahan,2011-2012,0.0138,2012-08-01
Callahan,2010-2011,0.0104,2011-08-01
Callahan,2014-2015,0.0175,2015-08-01
Callahan,2012-2013,0.0124,2013-08-01
Callahan,2018-2019,0.0119,2019-08-01
Callahan,2016-2017,0.0181,2017-08-01
Callahan,2017-2018,0.0146,2018-08-01
Callahan,2015-2016,0.0139,2016-08-01
Callahan,2013-2014,0.0112,2014-08-01
Cameron,2013-2014,0.0054,2014-08-01
Cameron,2012-2013,0.001,2013-08-01
Cameron,2016-2017,0.0013,2017-08-01
Cameron,2017-2018,0.0013,2018-08-01
Cameron,2011-2012,0.0008,2012-08-01
Cameron,2018-2019,0.0021,2019-08-01
Cameron,2010-2011,0.0005,2011-08-01
Cameron,2015-2016,0.0012,2016-08-01
Cameron,2014-2015,0.001,2015-08-01
Camp,2018-2019,0,2019-08-01
Camp,2010-2011,0.0004,2011-08-01
Camp,2012-2013,0.0013,2013-08-01
Camp,2013-2014,0.0008,2014-08-01
Camp,2016-2017,0.0004,2017-08-01
Camp,2014-2015,0.0004,2015-08-01
Camp,2011-2012,0.0004,2012-08-01
Camp,2017-2018,0.0004,2018-08-01
Camp,2015-2016,0,2016-08-01
Carson,2011-2012,0.0048,2012-08-01
Carson,2018-2019,0.0211,2019-08-01
Carson,2015-2016,0.0126,2016-08-01
Carson,2014-2015,0.012,2015-08-01
Carson,2010-2011,0.0045,2011-08-01
Carson,2016-2017,0.0144,2017-08-01
Carson,2017-2018,0.0194,2018-08-01
Carson,2012-2013,0.0077,2013-08-01
Carson,2013-2014,0.0095,2014-08-01
Cass,2017-2018,0.0074,2018-08-01
Cass,2010-2011,0.0033,2011-08-01
Cass,2018-2019,0.0065,2019-08-01
Cass,2012-2013,0.0023,2013-08-01
Cass,2016-2017,0.0056,2017-08-01
Cass,2011-2012,0.0032,2012-08-01
Cass,2015-2016,0.0057,2016-08-01
Cass,2013-2014,0.0032,2014-08-01
Cass,2014-2015,0.0023,2015-08-01
Castro,2015-2016,0,2016-08-01
Castro,2017-2018,0.0044,2018-08-01
Castro,2011-2012,0,2012-08-01
Castro,2013-2014,0.0022,2014-08-01
Castro,2010-2011,0,2011-08-01
Castro,2018-2019,0.0064,2019-08-01
Castro,2016-2017,0.0038,2017-08-01
Castro,2014-2015,0.0007,2015-08-01
Castro,2012-2013,0,2013-08-01
Chambers,2013-2014,0.0044,2014-08-01
Chambers,2015-2016,0.008,2016-08-01
Chambers,2017-2018,0.0116,2018-08-01
Chambers,2016-2017,0.0107,2017-08-01
Chambers,2014-2015,0.0057,2015-08-01
Chambers,2010-2011,0.0025,2011-08-01
Chambers,2012-2013,0.0048,2013-08-01
Chambers,2018-2019,0.0145,2019-08-01
Chambers,2011-2012,0.0019,2012-08-01
Cherokee,2014-2015,0.003,2015-08-01
Cherokee,2012-2013,0.0026,2013-08-01
Cherokee,2016-2017,0.0039,2017-08-01
Cherokee,2015-2016,0.0036,2016-08-01
Cherokee,2011-2012,0.0018,2012-08-01
Cherokee,2010-2011,0.0031,2011-08-01
Cherokee,2017-2018,0.0049,2018-08-01
Cherokee,2013-2014,0.0024,2014-08-01
Cherokee,2018-2019,0.0052,2019-08-01
Childress,2012-2013,0.0009,2013-08-01
Childress,2013-2014,0,2014-08-01
Childress,2011-2012,0.0018,2012-08-01
Childress,2016-2017,0.0018,2017-08-01
Childress,2010-2011,0.0009,2011-08-01
Childress,2018-2019,0.0048,2019-08-01
Childress,2017-2018,0.0019,2018-08-01
Childress,2015-2016,0.0009,2016-08-01
Childress,2014-2015,0.0009,2015-08-01
Clay,2012-2013,0.0038,2013-08-01
Clay,2016-2017,0.0033,2017-08-01
Clay,2018-2019,0.0083,2019-08-01
Clay,2013-2014,0.0037,2014-08-01
Clay,2017-2018,0.0073,2018-08-01
Clay,2010-2011,0.0034,2011-08-01
Clay,2011-2012,0.0024,2012-08-01
Clay,2015-2016,0.0052,2016-08-01
Clay,2014-2015,0.0042,2015-08-01
Cochran,2015-2016,0.0029,2016-08-01
Cochran,2018-2019,0.0031,2019-08-01
Cochran,2011-2012,0.0044,2012-08-01
Cochran,2014-2015,0.0039,2015-08-01
Cochran,2012-2013,0.009,2013-08-01
Cochran,2013-2014,0.0038,2014-08-01
Cochran,2016-2017,0.0029,2017-08-01
Cochran,2017-2018,0.003,2018-08-01
Cochran,2010-2011,0.0028,2011-08-01
Coke,2011-2012,0,2012-08-01
Coke,2014-2015,0.0137,2015-08-01
Coke,2013-2014,0.0124,2014-08-01
Coke,2015-2016,0.0079,2016-08-01
Coke,2018-2019,0.0296,2019-08-01
Coke,2016-2017,0.0193,2017-08-01
Coke,2012-2013,0.0041,2013-08-01
Coke,2017-2018,0.0272,2018-08-01
Coke,2010-2011,0,2011-08-01
Coleman,2014-2015,0.0016,2015-08-01
Coleman,2017-2018,0.0066,2018-08-01
Coleman,2012-2013,0,2013-08-01
Coleman,2010-2011,0.0022,2011-08-01
Coleman,2015-2016,0.0028,2016-08-01
Coleman,2016-2017,0.0116,2017-08-01
Coleman,2011-2012,0.0023,2012-08-01
Coleman,2013-2014,0,2014-08-01
Coleman,2018-2019,0.0075,2019-08-01
Collin,2016-2017,0.0208,2017-08-01
Collin,2015-2016,0.0192,2016-08-01
Collin,2011-2012,0.0117,2012-08-01
Collin,2012-2013,0.0139,2013-08-01
Collin,2014-2015,0.0174,2015-08-01
Collin,2017-2018,0.0221,2018-08-01
Collin,2018-2019,0.0248,2019-08-01
Collin,2010-2011,0.0106,2011-08-01
Collin,2013-2014,0.0161,2014-08-01
Collingsworth,2018-2019,0.0264,2019-08-01
Collingsworth,2017-2018,0.0199,2018-08-01
Collingsworth,2014-2015,0.0289,2015-08-01
Collingsworth,2010-2011,0.0177,2011-08-01
Collingsworth,2011-2012,0.0205,2012-08-01
Collingsworth,2015-2016,0.0116,2016-08-01
Collingsworth,2013-2014,0.0231,2014-08-01
Collingsworth,2012-2013,0.0202,2013-08-01
Collingsworth,2016-2017,0.0132,2017-08-01
Colorado,2018-2019,0.0046,2019-08-01
Colorado,2016-2017,0.0006,2017-08-01
Colorado,2017-2018,0.0035,2018-08-01
Colorado,2011-2012,0.0043,2012-08-01
Colorado,2010-2011,0.003,2011-08-01
Colorado,2015-2016,0.0039,2016-08-01
Colorado,2012-2013,0.003,2013-08-01
Colorado,2013-2014,0.003,2014-08-01
Colorado,2014-2015,0.0034,2015-08-01
Comal,2013-2014,0.0156,2014-08-01
Comal,2012-2013,0.0109,2013-08-01
Comal,2017-2018,0.0207,2018-08-01
Comal,2010-2011,0.0087,2011-08-01
Comal,2016-2017,0.0177,2017-08-01
Comal,2011-2012,0.0098,2012-08-01
Comal,2015-2016,0.016,2016-08-01
Comal,2018-2019,0.024,2019-08-01
Comal,2014-2015,0.014,2015-08-01
Comanche,2010-2011,0.0038,2011-08-01
Comanche,2014-2015,0.0103,2015-08-01
Comanche,2013-2014,0.0128,2014-08-01
Comanche,2011-2012,0.004,2012-08-01
Comanche,2012-2013,0.0057,2013-08-01
Comanche,2017-2018,0.0093,2018-08-01
Comanche,2016-2017,0.0101,2017-08-01
Comanche,2018-2019,0.006,2019-08-01
Comanche,2015-2016,0.0073,2016-08-01
Concho,2016-2017,0.014,2017-08-01
Concho,2017-2018,0.0066,2018-08-01
Concho,2011-2012,0,2012-08-01
Concho,2013-2014,0,2014-08-01
Concho,2015-2016,0,2016-08-01
Concho,2014-2015,0.0051,2015-08-01
Concho,2010-2011,0.0051,2011-08-01
Concho,2018-2019,0.0068,2019-08-01
Concho,2012-2013,0,2013-08-01
Cooke,2017-2018,0.0102,2018-08-01
Cooke,2013-2014,0.0068,2014-08-01
Cooke,2011-2012,0.0089,2012-08-01
Cooke,2014-2015,0.0082,2015-08-01
Cooke,2010-2011,0.0052,2011-08-01
Cooke,2015-2016,0.0087,2016-08-01
Cooke,2012-2013,0.0078,2013-08-01
Cooke,2016-2017,0.0104,2017-08-01
Cooke,2018-2019,0.016,2019-08-01
Coryell,2013-2014,0.0121,2014-08-01
Coryell,2012-2013,0.0041,2013-08-01
Coryell,2015-2016,0.0074,2016-08-01
Coryell,2017-2018,0.0101,2018-08-01
Coryell,2014-2015,0.0096,2015-08-01
Coryell,2010-2011,0.0036,2011-08-01
Coryell,2011-2012,0.0036,2012-08-01
Coryell,2016-2017,0.0047,2017-08-01
Coryell,2018-2019,0.0125,2019-08-01
Cottle,2018-2019,0,2019-08-01
Cottle,2013-2014,,2014-08-01
Cottle,2010-2011,0,2011-08-01
Cottle,2014-2015,0,2015-08-01
Cottle,2016-2017,0,2017-08-01
Cottle,2012-2013,0,2013-08-01
Cottle,2011-2012,0,2012-08-01
Cottle,2017-2018,0,2018-08-01
Cottle,2015-2016,0,2016-08-01
Crane,2011-2012,0.001,2012-08-01
Crane,2013-2014,0.0035,2014-08-01
Crane,2012-2013,0.0009,2013-08-01
Crane,2015-2016,0.0044,2016-08-01
Crane,2017-2018,0.0037,2018-08-01
Crane,2016-2017,0.0029,2017-08-01
Crane,2018-2019,0.0083,2019-08-01
Crane,2014-2015,0.0052,2015-08-01
Crane,2010-2011,0.001,2011-08-01
Crockett,2011-2012,0.0042,2012-08-01
Crockett,2013-2014,0.0065,2014-08-01
Crockett,2018-2019,0.0041,2019-08-01
Crockett,2010-2011,0.0014,2011-08-01
Crockett,2012-2013,0.004,2013-08-01
Crockett,2017-2018,0.0042,2018-08-01
Crockett,2014-2015,0.0125,2015-08-01
Crockett,2016-2017,0.0054,2017-08-01
Crockett,2015-2016,0.0052,2016-08-01
Crosby,2011-2012,0.0069,2012-08-01
Crosby,2014-2015,0.0107,2015-08-01
Crosby,2015-2016,0.0099,2016-08-01
Crosby,2012-2013,0.007,2013-08-01
Crosby,2017-2018,0.0102,2018-08-01
Crosby,2013-2014,0.006,2014-08-01
Crosby,2018-2019,0.0095,2019-08-01
Crosby,2010-2011,0.0056,2011-08-01
Crosby,2016-2017,0.0072,2017-08-01
Culberson,2014-2015,,2015-08-01
Culberson,2017-2018,0.0051,2018-08-01
Culberson,2015-2016,0,2016-08-01
Culberson,2018-2019,0,2019-08-01
Culberson,2011-2012,0,2012-08-01
Culberson,2012-2013,,2013-08-01
Culberson,2013-2014,0,2014-08-01
Culberson,2010-2011,0,2011-08-01
Culberson,2016-2017,0,2017-08-01
Dallam,2011-2012,0.0043,2012-08-01
Dallam,2014-2015,0.0068,2015-08-01
Dallam,2012-2013,0.0021,2013-08-01
Dallam,2016-2017,0.0113,2017-08-01
Dallam,2010-2011,0.0048,2011-08-01
Dallam,2018-2019,0.0096,2019-08-01
Dallam,2013-2014,0.0075,2014-08-01
Dallam,2017-2018,0.0166,2018-08-01
Dallam,2015-2016,0.0141,2016-08-01
Dallas,2010-2011,0.0032,2011-08-01
Dallas,2012-2013,0.0041,2013-08-01
Dallas,2015-2016,0.006,2016-08-01
Dallas,2016-2017,0.0064,2017-08-01
Dallas,2011-2012,0.0035,2012-08-01
Dallas,2014-2015,0.0053,2015-08-01
Dallas,2018-2019,0.0091,2019-08-01
Dallas,2017-2018,0.0074,2018-08-01
Dallas,2013-2014,0.0045,2014-08-01
Dawson,2011-2012,0.0028,2012-08-01
Dawson,2015-2016,0.0047,2016-08-01
Dawson,2014-2015,0.0063,2015-08-01
Dawson,2012-2013,0.0028,2013-08-01
Dawson,2010-2011,0.0024,2011-08-01
Dawson,2013-2014,0.0026,2014-08-01
Dawson,2018-2019,0.0156,2019-08-01
Dawson,2017-2018,0.0054,2018-08-01
Dawson,2016-2017,0.0064,2017-08-01
DeWitt,2011-2012,0.0042,2012-08-01
DeWitt,2015-2016,0.0048,2016-08-01
DeWitt,2017-2018,0.0053,2018-08-01
DeWitt,2012-2013,0.0029,2013-08-01
DeWitt,2013-2014,0.0036,2014-08-01
DeWitt,2016-2017,0.0052,2017-08-01
DeWitt,2018-2019,0.0051,2019-08-01
DeWitt,2014-2015,0.003,2015-08-01
DeWitt,2010-2011,0.0007,2011-08-01
Deaf Smith,2018-2019,0.0022,2019-08-01
Deaf Smith,2016-2017,0.0013,2017-08-01
Deaf Smith,2011-2012,0.0013,2012-08-01
Deaf Smith,2014-2015,0.0007,2015-08-01
Deaf Smith,2012-2013,0.0009,2013-08-01
Deaf Smith,2010-2011,0.0002,2011-08-01
Deaf Smith,2013-2014,0.0005,2014-08-01
Deaf Smith,2015-2016,0,2016-08-01
Deaf Smith,2017-2018,0.0019,2018-08-01
Delta,2018-2019,0.0146,2019-08-01
Delta,2017-2018,0.0117,2018-08-01
Delta,2016-2017,0.0168,2017-08-01
Delta,2015-2016,0.0161,2016-08-01
Delta,2012-2013,0.0097,2013-08-01
Delta,2010-2011,0.0039,2011-08-01
Delta,2013-2014,0.0081,2014-08-01
Delta,2011-2012,0.0081,2012-08-01
Delta,2014-2015,0.0106,2015-08-01
Denton,2017-2018,0.0222,2018-08-01
Denton,2010-2011,0.0116,2011-08-01
Denton,2015-2016,0.0205,2016-08-01
Denton,2018-2019,0.0289,2019-08-01
Denton,2014-2015,0.0207,2015-08-01
Denton,2016-2017,0.0292,2017-08-01
Denton,2011-2012,0.0317,2012-08-01
Denton,2013-2014,0.0407,2014-08-01
Denton,2012-2013,0.035,2013-08-01
Dickens,2013-2014,0.0026,2014-08-01
Dickens,2015-2016,0.0052,2016-08-01
Dickens,2014-2015,0.0069,2015-08-01
Dickens,2012-2013,0.0111,2013-08-01
Dickens,2011-2012,0,2012-08-01
Dickens,2018-2019,0,2019-08-01
Dickens,2010-2011,0,2011-08-01
Dickens,2017-2018,0,2018-08-01
Dickens,2016-2017,0,2017-08-01
Dimmit,2016-2017,0,2017-08-01
Dimmit,2013-2014,0.0004,2014-08-01
Dimmit,2015-2016,0,2016-08-01
Dimmit,2014-2015,0,2015-08-01
Dimmit,2012-2013,0.0004,2013-08-01
Dimmit,2017-2018,0,2018-08-01
Dimmit,2011-2012,0,2012-08-01
Dimmit,2018-2019,0,2019-08-01
Dimmit,2010-2011,0,2011-08-01
Donley,2011-2012,0.0018,2012-08-01
Donley,2013-2014,0.0075,2014-08-01
Donley,2015-2016,0.0052,2016-08-01
Donley,2018-2019,0.0093,2019-08-01
Donley,2014-2015,0.0136,2015-08-01
Donley,2010-2011,0,2011-08-01
Donley,2017-2018,0.0148,2018-08-01
Donley,2016-2017,0.0053,2017-08-01
Donley,2012-2013,0.0074,2013-08-01
Duval,2011-2012,0,2012-08-01
Duval,2018-2019,0.0019,2019-08-01
Duval,2017-2018,0.0008,2018-08-01
Duval,2015-2016,0.0004,2016-08-01
Duval,2013-2014,0.0005,2014-08-01
Duval,2016-2017,0.0012,2017-08-01
Duval,2012-2013,0,2013-08-01
Duval,2010-2011,0,2011-08-01
Duval,2014-2015,0.0004,2015-08-01
Eastland,2010-2011,0.0123,2011-08-01
Eastland,2017-2018,0.0209,2018-08-01
Eastland,2014-2015,0.0166,2015-08-01
Eastland,2015-2016,0.0151,2016-08-01
Eastland,2016-2017,0.0212,2017-08-01
Eastland,2018-2019,0.0242,2019-08-01
Eastland,2012-2013,0.0134,2013-08-01
Eastland,2013-2014,0.0174,2014-08-01
Eastland,2011-2012,0.0098,2012-08-01
Ector,2012-2013,0.0037,2013-08-01
Ector,2015-2016,0.0052,2016-08-01
Ector,2018-2019,0.0076,2019-08-01
Ector,2016-2017,0.0064,2017-08-01
Ector,2013-2014,0.0046,2014-08-01
Ector,2017-2018,0.0059,2018-08-01
Ector,2011-2012,0.0032,2012-08-01
Ector,2010-2011,0.0023,2011-08-01
Ector,2014-2015,0.0047,2015-08-01
Edwards,2012-2013,0.0019,2013-08-01
Edwards,2017-2018,0.0035,2018-08-01
Edwards,2018-2019,0.0055,2019-08-01
Edwards,2013-2014,0.0019,2014-08-01
Edwards,2010-2011,0.0035,2011-08-01
Edwards,2014-2015,0.0019,2015-08-01
Edwards,2011-2012,0.0035,2012-08-01
