County,School year,Exemption rate,Year
Anderson,2010-2011,0.002,2011-08-01
Anderson,2013-2014,0.0029,2014-08-01
Anderson,2016-2017,0.005,2017-08-01
Anderson,2018-2019,0.0094,2019-08-01
Anderson,2011-2012,0.0024,2012-08-01
Anderson,2017-2018,0.0075,2018-08-01
Anderson,2015-2016,0.0035,2016-08-01
Anderson,2012-2013,0.0033,2013-08-01
Anderson,2014-2015,0.0029,2015-08-01
Andrews,2015-2016,0.0075,2016-08-01
Andrews,2012-2013,0.0063,2013-08-01
Andrews,2018-2019,0.015,2019-08-01
Andrews,2014-2015,0.0082,2015-08-01
Andrews,2011-2012,0.0052,2012-08-01
Andrews,2010-2011,0.0036,2011-08-01
Andrews,2013-2014,0.0066,2014-08-01
Andrews,2017-2018,0.0107,2018-08-01
Andrews,2016-2017,0.009,2017-08-01
Angelina,2017-2018,0.0067,2018-08-01
Angelina,2013-2014,0.0055,2014-08-01
Angelina,2011-2012,0.0044,2012-08-01
Angelina,2016-2017,0.0063,2017-08-01
Angelina,2014-2015,0.0049,2015-08-01
Angelina,2018-2019,0.0082,2019-08-01
Angelina,2015-2016,0.007,2016-08-01
Angelina,2012-2013,0.0046,2013-08-01
Angelina,2010-2011,0.0033,2011-08-01
Aransas,2014-2015,0.012,2015-08-01
Aransas,2017-2018,0.0149,2018-08-01
Aransas,2015-2016,0.0122,2016-08-01
Aransas,2012-2013,0.0052,2013-08-01
Aransas,2013-2014,0.0098,2014-08-01
Aransas,2016-2017,0.0139,2017-08-01
Aransas,2018-2019,0.0171,2019-08-01
Aransas,2010-2011,0.0025,2011-08-01
Aransas,2011-2012,0.0046,2012-08-01
Archer,2013-2014,0.0033,2014-08-01
Archer,2014-2015,0.0056,2015-08-01
Archer,2010-2011,0.006,2011-08-01
Archer,2018-2019,0.0143,2019-08-01
Archer,2015-2016,0.0061,2016-08-01
Archer,2012-2013,0.0061,2013-08-01
Archer,2016-2017,0.0045,2017-08-01
Archer,2017-2018,0.0081,2018-08-01
Archer,2011-2012,0.0049,2012-08-01
Armstrong,2018-2019,0.0235,2019-08-01
Armstrong,2017-2018,0.0144,2018-08-01
Armstrong,2015-2016,0.0059,2016-08-01
Armstrong,2010-2011,0.0059,2011-08-01
Armstrong,2014-2015,0.0206,2015-08-01
Armstrong,2011-2012,0.0143,2012-08-01
Armstrong,2012-2013,0.0144,2013-08-01
Armstrong,2013-2014,0.0198,2014-08-01
Armstrong,2016-2017,0.019,2017-08-01
Atascosa,2011-2012,0.0023,2012-08-01
Atascosa,2012-2013,0.0023,2013-08-01
Atascosa,2015-2016,0.0016,2016-08-01
Atascosa,2018-2019,0.0032,2019-08-01
Atascosa,2014-2015,0.003,2015-08-01
Atascosa,2013-2014,0.0026,2014-08-01
Atascosa,2017-2018,0.0024,2018-08-01
Atascosa,2016-2017,0.002,2017-08-01
Atascosa,2010-2011,0.0018,2011-08-01
Austin,2018-2019,0.0132,2019-08-01
Austin,2017-2018,0.0105,2018-08-01
Austin,2012-2013,0.0056,2013-08-01
Austin,2016-2017,0.0085,2017-08-01
Austin,2013-2014,0.0027,2014-08-01
Austin,2014-2015,0.0053,2015-08-01
Austin,2015-2016,0.0074,2016-08-01
Austin,2011-2012,0.0028,2012-08-01
Austin,2010-2011,0.0046,2011-08-01
Bailey,2013-2014,0.0075,2014-08-01
Bailey,2018-2019,0.0098,2019-08-01
Bailey,2017-2018,0.0089,2018-08-01
Bailey,2011-2012,0.0057,2012-08-01
Bailey,2012-2013,0.0058,2013-08-01
Bailey,2014-2015,0.0068,2015-08-01
Bailey,2016-2017,0.0074,2017-08-01
Bailey,2015-2016,0.0067,2016-08-01
Bailey,2010-2011,0.0059,2011-08-01
Bandera,2011-2012,0.0035,2012-08-01
Bandera,2018-2019,0.0171,2019-08-01
Bandera,2013-2014,0.01,2014-08-01
Bandera,2016-2017,0.0224,2017-08-01
Bandera,2014-2015,0.0103,2015-08-01
Bandera,2015-2016,0.0144,2016-08-01
Bandera,2017-2018,0.0226,2018-08-01
Bandera,2012-2013,0.0067,2013-08-01
Bandera,2010-2011,0.0038,2011-08-01
Bastrop,2014-2015,0.0129,2015-08-01
Bastrop,2016-2017,0.0137,2017-08-01
Bastrop,2017-2018,0.0139,2018-08-01
Bastrop,2012-2013,0.0091,2013-08-01
Bastrop,2011-2012,0.0088,2012-08-01
Bastrop,2010-2011,0.0063,2011-08-01
Bastrop,2015-2016,0.0108,2016-08-01
Bastrop,2013-2014,0.0096,2014-08-01
Bastrop,2018-2019,0.0156,2019-08-01
Baylor,2012-2013,0.0143,2013-08-01
Baylor,2018-2019,0.0053,2019-08-01
Baylor,2015-2016,0.0123,2016-08-01
Baylor,2017-2018,0.0036,2018-08-01
Baylor,2014-2015,0.0336,2015-08-01
Baylor,2013-2014,0.0152,2014-08-01
Baylor,2010-2011,0.0092,2011-08-01
Baylor,2011-2012,0.0128,2012-08-01
Baylor,2016-2017,0.007,2017-08-01
Bee,2017-2018,0.0026,2018-08-01
Bee,2015-2016,0.0024,2016-08-01
Bee,2010-2011,0.0019,2011-08-01
Bee,2011-2012,0.0027,2012-08-01
Bee,2012-2013,0.0023,2013-08-01
Bee,2016-2017,0.0023,2017-08-01
Bee,2014-2015,0.0052,2015-08-01
Bee,2018-2019,0.0039,2019-08-01
Bee,2013-2014,0.0046,2014-08-01
Bell,2015-2016,0.0071,2016-08-01
Bell,2016-2017,0.0079,2017-08-01
Bell,2013-2014,0.0049,2014-08-01
Bell,2017-2018,0.0091,2018-08-01
Bell,2012-2013,0.0037,2013-08-01
Bell,2018-2019,0.0125,2019-08-01
Bell,2010-2011,0.0021,2011-08-01
Bell,2014-2015,0.0058,2015-08-01
Bell,2011-2012,0.0037,2012-08-01
Bexar,2015-2016,0.0067,2016-08-01
Bexar,2016-2017,0.0069,2017-08-01
