County,School year,Exemption rate
Hansford,2014-2015,2.24
Hansford,2011-2012,0.95
Hansford,2016-2017,1.14
Hansford,2012-2013,0.96
Hansford,2015-2016,0
Hansford,2013-2014,1.8
Hardeman,2018-2019,2.12
Hardeman,2012-2013,1.75
Hardeman,2014-2015,2.27
Hardeman,2019-2020,3.22
Hardeman,2017-2018,0
Hardeman,2013-2014,0
Hardeman,2016-2017,5.26
Hardeman,2011-2012,0
Hardeman,2015-2016,2.08
Hardeman,2010-2011,1.63
Hardin,2013-2014,1.23
Hardin,2014-2015,0
Hardin,2012-2013,0.85
Hardin,2011-2012,0.74
Hardin,2015-2016,1.23
Hardin,2016-2017,2.2
Hardin,2019-2020,3.03
Hardin,2018-2019,4.72
Hardin,2010-2011,1.42
Hardin,2017-2018,1.85
Harris,2016-2017,1.06
Harris,2019-2020,1.5
Harris,2012-2013,0.73
Harris,2014-2015,0.85
Harris,2018-2019,1.52
Harris,2017-2018,1.35
Harris,2011-2012,0.61
Harris,2013-2014,0.83
Harris,2015-2016,0.86
Harris,2010-2011,0.54
Harrison,2014-2015,0.76
Harrison,2011-2012,0.67
Harrison,2013-2014,1.13
Harrison,2016-2017,0.95
Harrison,2012-2013,0.56
Harrison,2015-2016,0.71
Harrison,2017-2018,1.33
Harrison,2018-2019,1.21
Harrison,2010-2011,0.47
Harrison,2019-2020,2.41
Hartley,2010-2011,4
Hartley,2014-2015,0
Hartley,2011-2012,0
Hartley,2015-2016,10.34
Hartley,2016-2017,4
Hartley,2013-2014,2.7
Hartley,2018-2019,0
Hartley,2019-2020,3.33
Hartley,2012-2013,0
Hartley,2017-2018,2.77
Haskell,2011-2012,0
Haskell,2013-2014,1.12
Haskell,2010-2011,0
Haskell,2019-2020,3.84
Haskell,2016-2017,1.44
Haskell,2012-2013,0
Haskell,2018-2019,1.78
Haskell,2015-2016,0
Haskell,2014-2015,1.42
Haskell,2017-2018,1.81
Hays,2016-2017,3.35
Hays,2011-2012,2.13
Hays,2015-2016,2.75
Hays,2017-2018,3.16
Hays,2013-2014,2.82
Hays,2010-2011,2.07
Hays,2018-2019,3.13
Hays,2012-2013,3.59
Hays,2014-2015,2.77
Hays,2019-2020,3.48
Hemphill,2014-2015,4.1
Hemphill,2015-2016,2.5
Hemphill,2018-2019,1.81
Hemphill,2010-2011,1.28
Hemphill,2012-2013,1.05
Hemphill,2019-2020,0
Hemphill,2013-2014,0
Hemphill,2017-2018,1.66
Hemphill,2011-2012,1.38
Hemphill,2016-2017,2.81
Henderson,2017-2018,2.23
Henderson,2015-2016,1.65
Henderson,2018-2019,2.57
Henderson,2011-2012,0.66
Henderson,2010-2011,1.07
Henderson,2016-2017,1.99
Henderson,2013-2014,0.79
Henderson,2014-2015,1.59
Henderson,2012-2013,0.68
Henderson,2019-2020,2.98
Hidalgo,2010-2011,0.16
Hidalgo,2013-2014,0.19
Hidalgo,2011-2012,0.12
Hidalgo,2016-2017,0.34
Hidalgo,2014-2015,0.11
Hidalgo,2015-2016,0.23
Hidalgo,2017-2018,0.41
Hidalgo,2012-2013,0.14
Hidalgo,2018-2019,0.69
Hidalgo,2019-2020,0.63
Hill,2012-2013,1.09
Hill,2013-2014,0.71
Hill,2019-2020,2.89
Hill,2014-2015,0.22
Hill,2011-2012,1.27
Hill,2016-2017,0.62
Hill,2015-2016,1.12
Hill,2018-2019,2.05
Hill,2017-2018,1.63
Hill,2010-2011,0.41
Hockley,2016-2017,0.84
Hockley,2012-2013,0.77
Hockley,2015-2016,0.51
Hockley,2018-2019,1.45
Hockley,2013-2014,0
Hockley,2017-2018,0.83
Hockley,2019-2020,1.5
Hockley,2010-2011,0.81
Hockley,2014-2015,0
Hockley,2011-2012,1.41
Hood,2019-2020,5.08
Hood,2014-2015,1.69
Hood,2012-2013,2
Hood,2010-2011,7.38
Hood,2016-2017,2.81
Hood,2017-2018,2.63
Hood,2011-2012,1.39
Hood,2018-2019,3.71
Hood,2015-2016,3.73
Hood,2013-2014,2.5
Hopkins,2017-2018,0.88
Hopkins,2014-2015,0.65
Hopkins,2018-2019,2.25
Hopkins,2016-2017,1.05
Hopkins,2019-2020,1.48
Hopkins,2012-2013,0.8
Hopkins,2010-2011,0.78
Hopkins,2015-2016,0.93
Hopkins,2011-2012,0.83
Hopkins,2013-2014,1.03
Houston,2010-2011,0.46
Houston,2015-2016,1.5
Houston,2016-2017,1.76
Houston,2017-2018,2.76
Houston,2014-2015,0
Houston,2019-2020,3.61
Houston,2011-2012,0
Houston,2013-2014,0.47
Houston,2012-2013,0
Houston,2018-2019,2.45
Howard,2013-2014,0.84
Howard,2017-2018,1.09
Howard,2018-2019,2.53
Howard,2019-2020,0.6
Howard,2010-2011,0.43
Howard,2011-2012,0.9
Howard,2012-2013,0.56
Howard,2014-2015,1.05
Howard,2015-2016,0.87
Howard,2016-2017,1.72
Hudspeth,2010-2011,0
Hudspeth,2015-2016,0
Hudspeth,2019-2020,0
Hudspeth,2012-2013,0
Hudspeth,2018-2019,0
Hudspeth,2017-2018,0
Hudspeth,2014-2015,0
Hudspeth,2016-2017,4.65
Hudspeth,2011-2012,0
Hudspeth,2013-2014,0
Hunt,2016-2017,0.95
Hunt,2018-2019,2.14
Hunt,2017-2018,1.28
Hunt,2012-2013,0.9
Hunt,2010-2011,0.55
Hunt,2013-2014,1.01
Hunt,2014-2015,0.98
Hunt,2019-2020,2.06
Hunt,2015-2016,1.05
Hunt,2011-2012,1.29
Hutchinson,2012-2013,0.92
Hutchinson,2019-2020,3.72
Hutchinson,2017-2018,3.13
Hutchinson,2015-2016,0.36
Hutchinson,2018-2019,2.06
Hutchinson,2014-2015,1.26
Hutchinson,2010-2011,0.84
Hutchinson,2016-2017,1.75
Hutchinson,2013-2014,0.97
Hutchinson,2011-2012,0.33
Irion,2011-2012,0
Irion,2017-2018,0
Irion,2019-2020,3.84
Irion,2010-2011,0
Irion,2016-2017,0
Irion,2015-2016,0
Irion,2014-2015,0
Irion,2012-2013,12.5
Irion,2018-2019,4.54
Irion,2013-2014,0
Jack,2019-2020,4.76
Jack,2015-2016,2.65
Jack,2011-2012,0
Jack,2013-2014,0
Jack,2018-2019,2.5
Jack,2017-2018,0.9
Jack,2012-2013,3.17
Jack,2016-2017,2.58
Jack,2014-2015,0
Jack,2010-2011,0
Jackson,2016-2017,1.33
Jackson,2015-2016,0.38
Jackson,2018-2019,1.52
Jackson,2014-2015,1.83
Jackson,2017-2018,0.88
Jackson,2010-2011,0.4
Jackson,2013-2014,1.03
Jackson,2019-2020,1.22
Jackson,2012-2013,0.39
Jackson,2011-2012,0.82
Jasper,2015-2016,1.41
Jasper,2018-2019,2.63
Jasper,2012-2013,1.35
Jasper,2016-2017,1.18
Jasper,2011-2012,1.96
Jasper,2013-2014,1.11
Jasper,2017-2018,3.27
Jasper,2019-2020,6.49
Jasper,2010-2011,0.83
Jasper,2014-2015,1.31
Jeff Davis,2016-2017,0
Jeff Davis,2017-2018,11.76
Jeff Davis,2010-2011,5.88
Jeff Davis,2013-2014,0
Jeff Davis,2014-2015,0
Jeff Davis,2015-2016,0
Jeff Davis,2018-2019,12.5
Jeff Davis,2019-2020,7.69
Jeff Davis,2012-2013,0
Jeff Davis,2011-2012,0
Jefferson,2017-2018,1.32
Jefferson,2016-2017,0.68
Jefferson,2018-2019,1.6
Jefferson,2019-2020,1.68
Jefferson,2013-2014,0.7
Jefferson,2015-2016,0.83
Jefferson,2011-2012,0.67
Jefferson,2014-2015,0.81
Jefferson,2012-2013,0.5
Jefferson,2010-2011,0.52
Jim Hogg,2013-2014,0
Jim Hogg,2019-2020,0
Jim Hogg,2015-2016,0
Jim Hogg,2014-2015,0.99
Jim Hogg,2016-2017,0
Jim Hogg,2018-2019,1.11
Jim Hogg,2017-2018,0
Jim Hogg,2012-2013,0
Jim Hogg,2010-2011,0
Jim Hogg,2011-2012,0
Jim Wells,2010-2011,0
Jim Wells,2018-2019,0.66
Jim Wells,2019-2020,1.98
Jim Wells,2013-2014,0
Jim Wells,2012-2013,0
Jim Wells,2017-2018,0.55
Jim Wells,2015-2016,0.33
Jim Wells,2016-2017,0.16
Jim Wells,2011-2012,0.14
Jim Wells,2014-2015,0
Johnson,2014-2015,1.6
Johnson,2016-2017,2.61
Johnson,2011-2012,1.02
Johnson,2012-2013,1.69
Johnson,2015-2016,2.32
Johnson,2010-2011,1.26
Johnson,2013-2014,1.59
Johnson,2019-2020,4.02
Johnson,2018-2019,3.87
Johnson,2017-2018,3.2
Jones,2016-2017,1.63
Jones,2019-2020,0.97
Jones,2017-2018,0
Jones,2010-2011,0
Jones,2014-2015,0.99
Jones,2012-2013,0
Jones,2011-2012,0.52
Jones,2015-2016,0.47
Jones,2018-2019,0.5
Jones,2013-2014,0
Karnes,2012-2013,0
Karnes,2013-2014,0.58
Karnes,2016-2017,0
Karnes,2019-2020,1
Karnes,2018-2019,0
Karnes,2014-2015,0.54
Karnes,2015-2016,0
Karnes,2017-2018,0.55
Karnes,2010-2011,0.56
Karnes,2011-2012,0.56
Kaufman,2019-2020,3.59
Kaufman,2016-2017,1.84
Kaufman,2017-2018,2.11
Kaufman,2011-2012,0.79
Kaufman,2014-2015,1.19
Kaufman,2018-2019,2.22
Kaufman,2010-2011,1.05
Kaufman,2015-2016,1.2
Kaufman,2012-2013,1.05
Kaufman,2013-2014,1.13
Kendall,2014-2015,3.31
Kendall,2019-2020,5.41
Kendall,2010-2011,9.92
Kendall,2015-2016,2.67
Kendall,2012-2013,5.27
Kendall,2016-2017,3.25
Kendall,2018-2019,5.71
Kendall,2017-2018,3.97
Kendall,2013-2014,3.45
Kendall,2011-2012,3.14
Kenedy,2016-2017,0
Kenedy,2012-2013,0
Kenedy,2013-2014,0
Kenedy,2014-2015,0
Kenedy,2010-2011,0
Kenedy,2011-2012,0
Kenedy,2019-2020,0
Kenedy,2018-2019,0
Kenedy,2015-2016,0
Kenedy,2017-2018,0
Kent,2017-2018,
Kent,2016-2017,0
Kent,2015-2016,10
Kent,2012-2013,0
Kent,2018-2019,
Kent,2019-2020,0
Kent,2013-2014,11.11
Kent,2010-2011,0
Kent,2014-2015,0
Kent,2011-2012,0
Kerr,2012-2013,1.56
Kerr,2015-2016,2.68
Kerr,2016-2017,1.93
Kerr,2010-2011,1.13
Kerr,2014-2015,2.32
Kerr,2017-2018,1.94
Kerr,2011-2012,1.51
Kerr,2018-2019,5.36
Kerr,2019-2020,4.39
Kerr,2013-2014,2.19
Kimble,2014-2015,0
Kimble,2011-2012,0
Kimble,2012-2013,0
Kimble,2016-2017,0
Kimble,2019-2020,2.08
Kimble,2018-2019,4.16
Kimble,2017-2018,2.7
Kimble,2015-2016,0
Kimble,2010-2011,2
Kimble,2013-2014,0
King,2013-2014,0
King,2011-2012,0
King,2018-2019,16.66
King,2015-2016,0
King,2014-2015,16.66
King,2012-2013,0
King,2019-2020,11.11
King,2010-2011,0
King,2016-2017,0
King,2017-2018,14.28
Kinney,2010-2011,0
Kinney,2011-2012,0
Kinney,2014-2015,2.7
Kinney,2019-2020,0
Kinney,2016-2017,0
Kinney,2017-2018,0
Kinney,2012-2013,4.76
Kinney,2013-2014,0
Kinney,2018-2019,2.63
Kinney,2015-2016,0
Kleberg,2015-2016,1.04
Kleberg,2012-2013,0.49
Kleberg,2017-2018,0.52
Kleberg,2010-2011,0.47
Kleberg,2013-2014,0.71
Kleberg,2011-2012,0.48
Kleberg,2018-2019,1.03
Kleberg,2016-2017,0
Kleberg,2019-2020,1.11
Kleberg,2014-2015,0
Knox,2017-2018,0
Knox,2010-2011,0
Knox,2019-2020,0
Knox,2014-2015,0
Knox,2016-2017,0
Knox,2018-2019,0
Knox,2013-2014,0
Knox,2012-2013,1.4
Knox,2015-2016,0
Knox,2011-2012,0
La Salle,2016-2017,0
La Salle,2018-2019,0
La Salle,2019-2020,0
La Salle,2011-2012,0
La Salle,2015-2016,0
La Salle,2017-2018,0
La Salle,2012-2013,0
La Salle,2014-2015,
La Salle,2010-2011,0
La Salle,2013-2014,0
Lamar,2011-2012,0.77
Lamar,2018-2019,2.46
Lamar,2012-2013,0.29
Lamar,2016-2017,1.38
Lamar,2015-2016,1.48
Lamar,2010-2011,0.44
Lamar,2019-2020,1.91
Lamar,2017-2018,1.3
Lamar,2014-2015,0.55
Lamar,2013-2014,0.85
Lamb,2016-2017,0
Lamb,2018-2019,0
Lamb,2017-2018,1.42
Lamb,2012-2013,0
Lamb,2010-2011,0
Lamb,2014-2015,0
Lamb,2019-2020,0
Lamb,2011-2012,0
Lamb,2013-2014,0
Lamb,2015-2016,0.4
Lampasas,2014-2015,2.97
Lampasas,2010-2011,1.35
Lampasas,2011-2012,1.58
Lampasas,2015-2016,2.23
Lampasas,2013-2014,8.96
Lampasas,2017-2018,3.66
Lampasas,2016-2017,2.77
Lampasas,2019-2020,4.31
Lampasas,2012-2013,1.45
Lampasas,2018-2019,5.71
Lavaca,2018-2019,2.8
Lavaca,2012-2013,0.35
Lavaca,2013-2014,0
Lavaca,2019-2020,1.73
Lavaca,2014-2015,1.63
Lavaca,2011-2012,0
Lavaca,2017-2018,1.24
Lavaca,2016-2017,1.35
Lavaca,2015-2016,0.65
Lavaca,2010-2011,0.3
Lee,2018-2019,1.31
Lee,2014-2015,1.14
Lee,2015-2016,1.22
Lee,2012-2013,0.41
Lee,2013-2014,0.77
Lee,2010-2011,1.76
Lee,2019-2020,0.81
Lee,2016-2017,0.94
Lee,2011-2012,1.66
Lee,2017-2018,2.13
Leon,2011-2012,0.43
Leon,2018-2019,0
Leon,2014-2015,0.41
Leon,2013-2014,0
Leon,2016-2017,2.55
Leon,2012-2013,0
Leon,2019-2020,1.42
Leon,2010-2011,0.39
Leon,2015-2016,0.43
Leon,2017-2018,1.64
Liberty,2011-2012,0.28
Liberty,2013-2014,0.45
Liberty,2015-2016,0.81
Liberty,2018-2019,1.17
Liberty,2010-2011,0.49
Liberty,2019-2020,1.4
Liberty,2014-2015,0.85
Liberty,2016-2017,0.86
Liberty,2017-2018,1.75
Liberty,2012-2013,0.52
Limestone,2018-2019,0.37
Limestone,2014-2015,0
Limestone,2013-2014,0
Limestone,2017-2018,1.04
Limestone,2019-2020,1.4
Limestone,2010-2011,0.33
Limestone,2016-2017,0
Limestone,2012-2013,0.29
Limestone,2015-2016,0.68
Limestone,2011-2012,0
Lipscomb,2016-2017,0
Lipscomb,2013-2014,0
Lipscomb,2017-2018,2.12
Lipscomb,2011-2012,0
Lipscomb,2012-2013,0
Lipscomb,2018-2019,3.5
Lipscomb,2015-2016,1.53
Lipscomb,2010-2011,0
Lipscomb,2014-2015,0
Lipscomb,2019-2020,0
Live Oak,2011-2012,0.84
Live Oak,2018-2019,0.81
Live Oak,2013-2014,0
Live Oak,2016-2017,0.78
Live Oak,2012-2013,0
Live Oak,2015-2016,0.76
Live Oak,2019-2020,0
Live Oak,2014-2015,1.31
Live Oak,2010-2011,0.83
Live Oak,2017-2018,1.49
Llano,2012-2013,1.49
Llano,2013-2014,1.93
Llano,2018-2019,1.73
Llano,2017-2018,1.69
Llano,2019-2020,3.75
Llano,2014-2015,2.85
Llano,2011-2012,0.74
Llano,2016-2017,1.78
Llano,2015-2016,3.03
Llano,2010-2011,0.66
Loving,2016-2017,
Loving,2019-2020,
Loving,2017-2018,
Loving,2011-2012,
Loving,2015-2016,
Loving,2012-2013,
Loving,2013-2014,
Loving,2018-2019,
Loving,2014-2015,
Loving,2010-2011,
Lubbock,2018-2019,1.76
Lubbock,2015-2016,1.35
Lubbock,2016-2017,1.56
Lubbock,2012-2013,1
Lubbock,2017-2018,1.79
Lubbock,2019-2020,2.04
Lubbock,2011-2012,1.31
Lubbock,2010-2011,0.83
Lubbock,2014-2015,1.29
Lubbock,2013-2014,1.14
Lynn,2014-2015,1.73
Lynn,2011-2012,0.84
Lynn,2015-2016,1.86
Lynn,2010-2011,1.05
Lynn,2016-2017,1.8
Lynn,2019-2020,1.61
Lynn,2018-2019,4.39
Lynn,2013-2014,0.86
Lynn,2017-2018,4.16
Lynn,2012-2013,2.18
Madison,2019-2020,0
Madison,2018-2019,0.52
Madison,2011-2012,1.15
Madison,2016-2017,0.53
Madison,2012-2013,0
Madison,2015-2016,0.5
Madison,2010-2011,0
Madison,2014-2015,0.46
Madison,2013-2014,0
Madison,2017-2018,0.56
Marion,2016-2017,1.2
Marion,2011-2012,0
Marion,2017-2018,0
Marion,2010-2011,0
Marion,2015-2016,0
Marion,2014-2015,0
Marion,2012-2013,0
Marion,2019-2020,0
Marion,2018-2019,2.12
Marion,2013-2014,1.05
Martin,2017-2018,3.88
Martin,2014-2015,11.76
Martin,2012-2013,1.16
Martin,2015-2016,1.92
Martin,2018-2019,4.08
Martin,2010-2011,1.17
Martin,2016-2017,1.08
Martin,2011-2012,2.85
Martin,2019-2020,3.41
Martin,2013-2014,2.83
Mason,2016-2017,6
Mason,2015-2016,2.85
Mason,2013-2014,1.63
Mason,2014-2015,0
Mason,2017-2018,6.34
Mason,2018-2019,2.04
Mason,2019-2020,3.17
Mason,2010-2011,1.85
Mason,2011-2012,0
Mason,2012-2013,2
Matagorda,2015-2016,1.44
Matagorda,2017-2018,1.33
Matagorda,2011-2012,1.42
Matagorda,2016-2017,1.1
Matagorda,2010-2011,3.53
Matagorda,2013-2014,0.5
Matagorda,2014-2015,0.18
Matagorda,2018-2019,1.17
Matagorda,2019-2020,1.78
Matagorda,2012-2013,0.92
Maverick,2012-2013,0.09
Maverick,2016-2017,0.2
Maverick,2011-2012,0
Maverick,2017-2018,0.19
Maverick,2014-2015,0.09
Maverick,2019-2020,0.19
Maverick,2013-2014,0.26
Maverick,2015-2016,0.19
Maverick,2018-2019,0.28
Maverick,2010-2011,0.09
McCulloch,2011-2012,2.97
McCulloch,2015-2016,1.7
McCulloch,2016-2017,2
McCulloch,2017-2018,2.91
McCulloch,2018-2019,2.97
McCulloch,2014-2015,2.72
McCulloch,2013-2014,0.81
McCulloch,2012-2013,1.43
McCulloch,2010-2011,0
McCulloch,2019-2020,1.19
McLennan,2012-2013,0.27
McLennan,2017-2018,1.03
McLennan,2011-2012,0.33
McLennan,2015-2016,0.48
McLennan,2010-2011,0.44
McLennan,2018-2019,2.03
McLennan,2013-2014,0.41
McLennan,2016-2017,0.99
McLennan,2014-2015,0.56
McLennan,2019-2020,2.35
McMullen,2019-2020,
McMullen,2018-2019,0
McMullen,2012-2013,0
McMullen,2017-2018,0
McMullen,2015-2016,0
McMullen,2013-2014,0
McMullen,2016-2017,5.26
McMullen,2010-2011,0
McMullen,2014-2015,5.55
McMullen,2011-2012,5.55
Medina,2017-2018,1.24
Medina,2015-2016,0.74
Medina,2016-2017,0.83
Medina,2014-2015,1.66
Medina,2019-2020,1.41
Medina,2012-2013,0.63
Medina,2018-2019,0.81
Medina,2013-2014,1.04
Medina,2010-2011,0.3
Medina,2011-2012,0.15
Menard,2012-2013,0
Menard,2018-2019,0
Menard,2015-2016,4.54
Menard,2013-2014,0
Menard,2019-2020,0
Menard,2016-2017,0
Menard,2014-2015,0
Menard,2010-2011,0
Menard,2011-2012,0
Menard,2017-2018,0
Midland,2019-2020,1.95
Midland,2011-2012,0.36
Midland,2016-2017,1.14
Midland,2017-2018,1.07
Midland,2012-2013,0.2
Midland,2015-2016,0.93
Midland,2018-2019,1.61
Midland,2013-2014,2.05
Midland,2010-2011,0.57
Midland,2014-2015,0.85
Milam,2016-2017,0.91
Milam,2013-2014,1.36
Milam,2014-2015,1.95
Milam,2012-2013,0
Milam,2019-2020,1.25
Milam,2018-2019,1.69
Milam,2011-2012,0.31
Milam,2010-2011,0.28
Milam,2017-2018,1
Milam,2015-2016,1.2
Mills,2019-2020,2
Mills,2013-2014,3.44
Mills,2017-2018,0
Mills,2015-2016,1.85
Mills,2016-2017,1.88
Mills,2010-2011,0
Mills,2018-2019,0
Mills,2014-2015,1.81
Mills,2011-2012,0
Mills,2012-2013,0
Mitchell,2016-2017,0
Mitchell,2018-2019,0
Mitchell,2019-2020,0
Mitchell,2013-2014,0.91
Mitchell,2015-2016,0
Mitchell,2017-2018,0
Mitchell,2012-2013,0
Mitchell,2014-2015,0.8
Mitchell,2011-2012,0
Mitchell,2010-2011,0
Montague,2017-2018,4.52
Montague,2016-2017,4.07
Montague,2012-2013,1.17
Montague,2015-2016,2.91
Montague,2013-2014,1.16
Montague,2014-2015,0
Montague,2018-2019,7.39
Montague,2019-2020,7.01
Montague,2010-2011,1.14
Montague,2011-2012,0.42
Montgomery,2016-2017,2.66
Montgomery,2019-2020,4.01
Montgomery,2014-2015,2.51
Montgomery,2018-2019,2.96
Montgomery,2010-2011,1.65
Montgomery,2017-2018,3.2
Montgomery,2011-2012,2.43
Montgomery,2012-2013,2.34
Montgomery,2013-2014,0.95
Montgomery,2015-2016,2.23
Moore,2016-2017,0
Moore,2013-2014,0.97
Moore,2014-2015,0.24
Moore,2018-2019,0.26
Moore,2011-2012,0.5
Moore,2019-2020,1.26
Moore,2015-2016,0.77
Moore,2012-2013,0.21
Moore,2017-2018,0.29
Moore,2010-2011,0.22
Morris,2013-2014,0
Morris,2014-2015,0
Morris,2011-2012,0
Morris,2010-2011,0
Morris,2018-2019,2.79
Morris,2015-2016,1.39
Morris,2012-2013,0
Morris,2019-2020,1.44
Morris,2016-2017,0
Morris,2017-2018,0.72
Motley,2014-2015,
Motley,2011-2012,0
Motley,2013-2014,0
Motley,2016-2017,10
Motley,2010-2011,0
Motley,2012-2013,0
Motley,2017-2018,0
Motley,2019-2020,0
Motley,2018-2019,11.11
Motley,2015-2016,0
Nacogdoches,2017-2018,1.2
Nacogdoches,2014-2015,0.12
Nacogdoches,2018-2019,1.91
Nacogdoches,2016-2017,1.63
Nacogdoches,2019-2020,1.16
Nacogdoches,2013-2014,1.16
Nacogdoches,2010-2011,0.22
Nacogdoches,2011-2012,1.13
Nacogdoches,2015-2016,0.89
Nacogdoches,2012-2013,1.1
Navarro,2018-2019,1.48
Navarro,2015-2016,0.28
Navarro,2019-2020,0.89
Navarro,2013-2014,0.43
Navarro,2016-2017,0.3
Navarro,2014-2015,0.27
Navarro,2012-2013,0.24
Navarro,2011-2012,0
Navarro,2010-2011,0.13
Navarro,2017-2018,0.61
Newton,2017-2018,2.96
Newton,2014-2015,3.07
Newton,2013-2014,0
Newton,2018-2019,0.72
Newton,2019-2020,5.64
Newton,2010-2011,1.32
Newton,2011-2012,1.73
Newton,2015-2016,0.78
Newton,2012-2013,0.67
Newton,2016-2017,1.3
Nolan,2012-2013,0
Nolan,2010-2011,0.37
Nolan,2013-2014,0.74
Nolan,2016-2017,0.96
Nolan,2017-2018,0.94
Nolan,2019-2020,0.82
Nolan,2018-2019,2.25
Nolan,2015-2016,1.51
Nolan,2011-2012,0.37
Nolan,2014-2015,0
Nueces,2017-2018,1.04
Nueces,2012-2013,0.79
Nueces,2016-2017,0.95
Nueces,2015-2016,0.76
Nueces,2011-2012,0.57
Nueces,2010-2011,0.39
Nueces,2014-2015,0.82
Nueces,2013-2014,0.88
Nueces,2019-2020,1.29
Nueces,2018-2019,1.38
Ochiltree,2018-2019,2.72
Ochiltree,2013-2014,0.51
Ochiltree,2010-2011,1.01
Ochiltree,2012-2013,1.11
Ochiltree,2019-2020,0
Ochiltree,2015-2016,0
Ochiltree,2017-2018,0
Ochiltree,2011-2012,0.57
Ochiltree,2016-2017,0.64
Ochiltree,2014-2015,0
Oldham,2018-2019,2.27
Oldham,2019-2020,1.78
Oldham,2011-2012,2.32
Oldham,2016-2017,2.27
Oldham,2012-2013,2.04
Oldham,2017-2018,4.87
Oldham,2013-2014,7.14
Oldham,2014-2015,5.88
Oldham,2015-2016,3.12
Oldham,2010-2011,0
Orange,2017-2018,2.62
Orange,2014-2015,1.68
Orange,2018-2019,3.95
Orange,2015-2016,1.49
Orange,2011-2012,0.62
Orange,2012-2013,2.38
Orange,2016-2017,2.28
Orange,2019-2020,3.97
Orange,2010-2011,0.57
Orange,2013-2014,0.73
Palo Pinto,2015-2016,0.85
Palo Pinto,2013-2014,1.58
Palo Pinto,2018-2019,2.57
Palo Pinto,2010-2011,0.82
Palo Pinto,2012-2013,0.51
Palo Pinto,2011-2012,1.51
Palo Pinto,2017-2018,2.4
Palo Pinto,2016-2017,2.03
Palo Pinto,2019-2020,4.07
Palo Pinto,2014-2015,0.59
Panola,2011-2012,0
Panola,2014-2015,0.39
Panola,2019-2020,1.53
Panola,2018-2019,1.45
Panola,2016-2017,1.79
Panola,2015-2016,0.36
Panola,2017-2018,2.64
Panola,2013-2014,1.06
Panola,2010-2011,0.27
Panola,2012-2013,0.34
Parker,2014-2015,3.14
Parker,2013-2014,1.83
Parker,2018-2019,4.92
Parker,2015-2016,2.22
Parker,2017-2018,3.3
Parker,2011-2012,1.01
Parker,2019-2020,4.9
Parker,2012-2013,1.58
Parker,2010-2011,0.52
Parker,2016-2017,2.85
Parmer,2011-2012,1.95
Parmer,2013-2014,1.88
Parmer,2019-2020,3.52
Parmer,2018-2019,1.12
Parmer,2015-2016,1.06
Parmer,2017-2018,0.69
Parmer,2010-2011,1.06
Parmer,2012-2013,0.55
Parmer,2014-2015,0.5
Parmer,2016-2017,1.09
Pecos,2012-2013,0.37
Pecos,2014-2015,0.69
Pecos,2013-2014,0.79
Pecos,2015-2016,0.41
Pecos,2016-2017,0.4
Pecos,2017-2018,0.49
Pecos,2018-2019,0.44
Pecos,2011-2012,0.88
Pecos,2010-2011,0
Pecos,2019-2020,1.26
Polk,2013-2014,0.19
Polk,2019-2020,0.79
Polk,2015-2016,1.54
Polk,2018-2019,1.8
Polk,2014-2015,1.49
Polk,2016-2017,1.7
Polk,2017-2018,1.73
Polk,2011-2012,0.54
Polk,2010-2011,0
Polk,2012-2013,0.51
Potter,2014-2015,1.19
Potter,2012-2013,2.09
Potter,2019-2020,1.84
Potter,2017-2018,1.5
Potter,2015-2016,1.17
Potter,2011-2012,1.36
Potter,2013-2014,1.25
Potter,2010-2011,1.35
Potter,2016-2017,1.53
Potter,2018-2019,1.64
Presidio,2011-2012,1.92
Presidio,2012-2013,0.84
Presidio,2010-2011,0.79
Presidio,2014-2015,0
Presidio,2015-2016,0
Presidio,2016-2017,0.86
Presidio,2017-2018,1.03
Presidio,2019-2020,2.04
Presidio,2018-2019,1.13
Presidio,2013-2014,0
Rains,2012-2013,2.34
Rains,2019-2020,8.33
Rains,2010-2011,0
Rains,2014-2015,1.86
Rains,2015-2016,1.61
Rains,2013-2014,1.68
Rains,2016-2017,4.76
Rains,2018-2019,3.84
Rains,2011-2012,0
Rains,2017-2018,
Randall,2017-2018,2.23
Randall,2010-2011,1.38
Randall,2011-2012,1.38
Randall,2018-2019,2.84
Randall,2019-2020,3.44
Randall,2014-2015,3.3
Randall,2016-2017,2.39
Randall,2013-2014,3.4
Randall,2012-2013,1.83
Randall,2015-2016,1.61
Reagan,2017-2018,0
Reagan,2018-2019,0
Reagan,2016-2017,0
Reagan,2011-2012,0
Reagan,2010-2011,0
Reagan,2013-2014,1.38
Reagan,2015-2016,0
Reagan,2012-2013,0
Reagan,2014-2015,0
Reagan,2019-2020,0
Real,2015-2016,4.16
Real,2012-2013,0
Real,2014-2015,0
Real,2016-2017,0
Real,2018-2019,0
Real,2017-2018,0
Real,2013-2014,0
Real,2019-2020,0
Real,2010-2011,7.4
Real,2011-2012,0
Red River,2016-2017,0.67
Red River,2015-2016,1.41
Red River,2012-2013,2.72
Red River,2017-2018,1.37
Red River,2018-2019,2.81
Red River,2019-2020,2.04
Red River,2014-2015,0.62
Red River,2011-2012,0
Red River,2010-2011,0.73
Red River,2013-2014,0.52
Reeves,2017-2018,0.5
Reeves,2018-2019,0
Reeves,2013-2014,0
Reeves,2012-2013,0.48
Reeves,2010-2011,0.65
Reeves,2011-2012,0
