CAMPUS,CPETBILC,CPETBILP,CPETGIFC,CPETGIFP,CPETSPEC,CPETSPEP,CPETVOCC,CPETVOCP
"001902001",1,0.5,27,13.1,37,18,144,69.9
"001902041",0,0,15,12.5,16,13.3,37,30.8
"001902103",0,0,18,7.2,23,9.2,0,0
"001903001",0,0,23,6.5,33,9.3,273,76.9
"001903002",0,0,0,0,1,100,0,0
"001903041",0,0,9,3,36,11.8,0,0
"001903101",10,3.3,3,1,29,9.6,0,0
"001903102",6,2.3,12,4.7,27,10.5,0,0
"001904001",1,0.4,18,8.1,28,12.6,213,95.5
"001904041",3,1.7,5,2.9,16,9.2,0,0
"001904102",15,3.7,23,5.7,34,8.4,0,0
"001906002",2,1.8,7,6.1,16,14,103,90.4
"001906102",1,0.4,17,6.6,25,9.8,15,5.9
"001907001",26,2.9,33,3.7,96,10.7,849,94.6
"001907041",20,4.2,18,3.8,44,9.3,247,52.3
"001907101",104,19.1,4,0.7,27,5,0,0
"001907102",54,28.7,0,0,18,9.6,0,0
"001907107",130,24.3,15,2.8,41,7.7,0,0
"001907110",136,19,33,4.6,66,9.2,0,0
"001908002",6,1.4,13,3,46,10.5,334,75.9
"001908041",12,5.1,4,1.7,23,9.7,0,0
"001908101",30,6.5,14,3,51,11,0,0
"001908102",38,8.3,2,0.4,28,6.1,0,0
"001909001",0,0,8,4,28,14.1,148,74.4
"001909101",0,0,8,4.2,20,10.5,0,0
"002901001",44,4.4,43,4.3,60,6,844,84.8
"002901002",0,0,0,0,1,2.6,23,59
"002901041",37,4,51,5.5,72,7.8,0,0
"002901101",138,21.4,6,0.9,35,5.4,0,0
"002901104",122,19.2,19,3,53,8.3,0,0
"002901105",185,24.1,0,0,35,4.6,0,0
"003801001",4,1.4,27,9.3,22,7.6,75,25.9
"003801103",37,7.1,33,6.3,27,5.2,0,0
"003902001",12,1.5,53,6.8,60,7.7,687,88.2
"003902004",0,0,0,0,1,7.1,7,50
"003902041",19,2.9,72,11.1,49,7.6,0,0
"003902101",80,10.8,3,0.4,41,5.5,0,0
"003902102",57,9,20,3.2,49,7.7,0,0
"003903001",227,10.5,270,12.5,297,13.8,1318,61.2
"003903004",4,10.8,0,0,9,24.3,4,10.8
"003903044",312,18.7,167,10,220,13.2,318,19.1
"003903120",46,15.2,1,0.3,42,13.9,0,0
"003903121",19,4.4,214,50,36,8.4,0,0
"003903122",43,13,1,0.3,49,14.8,0,0
"003903123",149,44.2,0,0,31,9.2,0,0
"003903124",21,5.4,223,57.3,20,5.1,0,0
"003903125",207,55.5,0,0,3,0.8,0,0
"003903126",81,33.1,0,0,1,0.4,0,0
"003903127",69,17.3,0,0,75,18.8,0,0
"003903128",55,15.5,0,0,18,5.1,0,0
"003903129",310,73.5,0,0,30,7.1,0,0
"003903130",30,7.5,0,0,20,5,0,0
"003903131",373,79.2,0,0,14,3,0,0
"003903141",0,0,0,0,5,83.3,0,0
"003903201",0,0,0,0,1,14.3,0,0
"003904001",3,0.5,45,8.1,58,10.5,443,79.8
"003904005",0,0,0,0,11,24.4,19,42.2
"003904041",2,0.5,24,6.4,30,8,75,20.1
"003904101",11,2,12,2.2,51,9.3,0,0
"003904102",1,0.4,10,4.3,19,8.2,0,0
"003905001",18,3.5,28,5.5,72,14.1,475,93.1
"003905004",0,0,0,0,0,0,0,0
"003905041",33,12,16,5.8,32,11.7,0,0
"003905101",161,28.7,7,1.2,56,10,0,0
"003905102",60,35.5,0,0,13,7.7,0,0
"003905103",81,19.8,24,5.9,40,9.8,0,0
"003906001",0,0,14,6.3,38,17,138,61.9
"003906101",0,0,6,3.2,19,10.1,0,0
"003907001",2,0.4,15,3.3,55,12,436,95.4
"003907004",0,0,0,0,0,0,1,10
"003907041",4,0.8,19,4,50,10.6,0,0
"003907102",46,7.2,24,3.8,57,8.9,0,0
"004901001",6,0.6,33,3.5,73,7.8,836,88.9
"004901041",29,4,41,5.6,68,9.3,46,6.3
"004901101",19,3.7,26,5.1,57,11.2,0,0
"004901102",22,7.1,0,0,18,5.8,0,0
"004901103",40,5.3,30,4,66,8.7,0,0
"005901001",2,0.9,25,10.7,25,10.7,137,58.8
"005901101",4,1.6,12,4.8,27,10.8,0,0
"005902001",0,0,22,8.6,24,9.3,211,82.1
"005902041",0,0,10,4.5,17,7.7,0,0
"005902101",3,0.7,16,3.8,40,9.5,0,0
"005904001",2,1.2,23,13.5,16,9.4,168,98.8
"005904041",5,4.9,9,8.7,7,6.8,30,29.1
"005904101",31,16.8,4,2.2,12,6.5,0,0
"006902001",1,0.5,9,4.5,28,14.1,92,46.5
"006902101",2,1.3,0,0,9,5.7,0,0
"007901001",6,4.4,4,2.9,18,13.1,123,89.8
"007901003",0,0,0,0,1,50,0,0
"007901041",7,4.6,3,2,16,10.5,0,0
"007901101",14,6.3,4,1.8,18,8.1,0,0
"007902001",5,1,35,7.2,38,7.8,465,95.3
"007902005",0,0,0,0,3,23.1,2,15.4
"007902006",0,0,0,0,0,0,1,100
"007902041",4,1.1,28,7.8,34,9.4,32,8.9
"007902101",26,3.4,20,2.6,58,7.5,0,0
"007904001",19,3.7,30,5.9,35,6.9,453,88.8
"007904002",1,12.5,0,0,0,0,0,0
"007904041",34,9.4,24,6.6,21,5.8,92,25.3
"007904101",51,9.8,21,4,32,6.1,0,0
"007904103",33,10.4,0,0,25,7.9,0,0
"007905001",20,2,57,5.7,74,7.4,884,88
"007905004",0,0,0,0,0,0,1,50
"007905005",0,0,0,0,1,12.5,0,0
"007905041",11,2,35,6.4,48,8.8,76,14
"007905103",30,3.8,26,3.3,54,6.9,0,0
"007905104",14,2.6,29,5.4,47,8.8,0,0
"007905105",34,4.9,2,0.3,32,4.7,0,0
"007906001",11,2.4,44,9.5,43,9.3,388,83.8
"007906041",12,3,23,5.8,37,9.3,90,22.6
"007906101",37,5.9,11,1.8,26,4.1,0,0
"007906102",10,4,15,6,28,11.1,0,0
"008901001",9,1.5,50,8.3,44,7.3,528,87.1
"008901041",34,6.2,82,15,44,8.1,18,3.3
"008901101",95,16.4,43,7.4,42,7.3,0,0
"008901102",23,8.2,31,11.1,28,10,0,0
"008901105",21,14.2,24,16.2,15,10.1,0,0
"008902001",41,4.8,71,8.3,76,8.9,670,78.5
"008902041",51,8.1,39,6.2,41,6.5,0,0
"008902102",203,21.8,23,2.5,75,8,0,0
"008902103",46,12.1,26,6.8,34,8.9,0,0
"008903001",7,2.8,6,2.4,10,4,230,91.3
"008903041",15,8.8,6,3.5,12,7.1,11,6.5
"008903102",70,18.2,12,3.1,18,4.7,0,0
"008903103",1,3.3,0,0,17,56.7,8,26.7
"009901001",27,7.6,20,5.6,36,10.2,300,84.7
"009901002",0,0,0,0,3,33.3,8,88.9
"009901041",30,10,9,3,36,12,0,0
"009901101",62,19.4,1,0.3,35,10.9,0,0
"009901103",157,35.7,0,0,43,9.8,0,0
"010901001",19,7.1,13,4.9,32,11.9,93,34.7
"010902001",3,0.4,66,9.7,48,7.1,586,86.4
"010902041",11,2.2,28,5.6,56,11.1,51,10.1
"010902101",48,8.4,15,2.6,66,11.6,0,0
"010902102",21,4,23,4.4,61,11.8,0,0
"011901001",56,4.5,145,11.6,134,10.7,808,64.5
"011901002",153,10.7,122,8.6,156,11,981,68.9
"011901005",4,6.9,6,10.3,1,1.7,58,100
"011901022",8,11.8,0,0,10,14.7,40,58.8
"011901033",3,5.6,0,0,13,24.1,14,25.9
"011901041",49,6.9,76,10.7,81,11.5,163,23.1
"011901101",24,4.2,18,3.2,69,12.2,0,0
"011901102",32,5.4,37,6.3,70,11.8,0,0
"011901103",426,57.8,17,2.3,57,7.7,0,0
"011901104",93,13.4,53,7.6,71,10.2,0,0
