CAMPUS,CPETBILC,CPETBILP,CPETG9XC,CPETGIFC,CPETGIFP,CPETSPEC,CPETSPEP,CPETVHSC,CPETVHSP,CPETVOCC,CPETVOCP,CPNTBILC,CPNTBILP,CPNTG9XC,CPNTGIFC,CPNTGIFP,CPNTSPEC,CPNTSPEP,CPNTVHSC,CPNTVHSP
"001902001",0,0,172,14,8.1,34,19.8,134,77.9,165,95.9,0,0,172,14,8.1,34,19.8,134,77.9
"001902041",1,0.8,0,17,13.6,17,13.6,0,0,0,0,1,0.8,0,17,13.6,17,13.6,0,.
"001902103",0,0,0,8,3.1,31,11.9,0,0,0,0,0,0,0,8,3.1,31,11.9,0,.
"001903001",0,0,378,10,2.6,44,11.6,138,36.5,341,90.2,0,0,378,10,2.6,44,11.6,138,36.5
"001903041",3,1.2,0,13,5,29,11.2,0,0,37,14.3,3,1.2,0,13,5,29,11.2,0,.
"001903101",12,3.6,0,4,1.2,48,14.4,0,0,0,0,12,3.6,0,4,1.2,49,14.7,0,.
"001903102",7,2.5,0,17,6.1,26,9.4,0,0,0,0,7,2.5,0,17,6.1,26,9.4,0,.
"001904001",3,1.3,228,40,17.5,19,8.3,207,90.8,207,90.8,3,1.3,228,40,17.5,19,8.3,207,90.8
"001904041",5,2.8,0,14,8,28,15.9,0,0,0,0,5,2.8,0,14,8,28,15.9,0,.
"001904102",14,3.7,0,17,4.5,44,11.5,0,0,0,0,14,3.7,0,17,4.5,45,11.8,0,.
"001906002",1,0.9,111,7,6.3,11,9.9,49,44.1,107,96.4,1,0.9,111,7,6.3,11,9.9,49,44.1
"001906102",6,2.5,0,16,6.6,14,5.8,0,0,53,22,6,2.5,0,16,6.6,15,6.2,0,.
"001907001",126,12.8,987,35,3.5,103,10.4,918,93,975,98.8,126,12.8,987,35,3.5,103,10.4,918,93
"001907041",85,16.4,0,18,3.5,70,13.5,0,0,133,25.7,85,16.4,0,18,3.5,70,13.5,0,.
"001907101",96,18.6,0,3,0.6,50,9.7,0,0,0,0,96,18.5,0,3,0.6,51,9.8,0,.
"001907102",20,7.6,0,0,0,22,8.4,0,0,0,0,20,7.6,0,0,0,23,8.7,0,.
"001907107",92,20.4,0,8,1.8,64,14.2,0,0,0,0,92,20.4,0,8,1.8,64,14.2,0,.
"001907110",135,19.3,0,23,3.3,90,12.9,0,0,0,0,135,19.3,0,23,3.3,90,12.9,0,.
"001908002",13,2.9,441,13,2.9,54,12.2,335,76,368,83.4,13,2.9,441,13,2.9,54,12.2,335,76
"001908041",15,7,0,12,5.6,32,15,0,0,39,18.3,15,7,0,12,5.6,32,15,0,.
"001908101",31,6.8,0,14,3.1,81,17.8,0,0,0,0,31,6.8,0,14,3.1,81,17.8,0,.
"001908102",25,6.2,0,3,0.7,45,11.1,0,0,0,0,25,6.2,0,3,0.7,45,11.1,0,.
"001909001",0,0,121,5,4.1,19,15.7,114,94.2,119,98.3,0,0,121,5,4.1,19,15.7,114,94.2
"001909101",1,0.4,0,10,3.8,32,12.3,0,0,41,15.8,1,0.4,0,10,3.8,33,12.6,0,.
"002901001",62,5.3,1163,90,7.7,115,9.9,198,17,1019,87.6,62,5.3,1163,90,7.7,115,9.9,198,17
"002901002",0,0,46,0,0,1,2.2,8,17.4,15,32.6,0,0,46,0,0,1,2.2,8,17.4
"002901041",74,7.4,0,83,8.3,107,10.7,0,0,0,0,74,7.4,0,83,8.3,107,10.7,0,.
"002901101",144,21.7,0,33,5,44,6.6,0,0,0,0,144,21.7,0,33,5,44,6.6,0,.
"002901104",131,20.2,0,52,8,55,8.5,0,0,0,0,131,20.2,0,52,8,55,8.5,0,.
"002901105",236,28.5,0,4,0.5,50,6,0,0,0,0,236,28.2,0,4,0.5,57,6.8,0,.
"003801001",8,3,271,46,17,28,10.3,51,18.8,170,62.7,8,3,271,46,17,28,10.3,51,18.8
"003801042",8,3.2,0,25,10,31,12.4,0,0,0,0,8,3.2,0,25,10,31,12.4,0,.
"003801103",30,5.8,0,26,5,36,6.9,0,0,0,0,30,5.8,0,26,5,36,6.9,0,.
"003902001",19,2.3,836,74,8.9,72,8.6,645,77.2,776,92.8,19,2.3,837,74,8.8,73,8.7,646,77.2
"003902004",0,0,8,0,0,1,12.5,5,62.5,5,62.5,0,0,8,0,0,1,12.5,5,62.5
"003902041",31,4.5,0,37,5.4,65,9.5,0,0,235,34.4,31,4.5,0,37,5.4,65,9.5,0,.
"003902101",71,9.4,0,12,1.6,58,7.7,0,0,0,0,71,9.3,0,12,1.6,60,7.9,0,.
"003902102",49,7.4,0,39,5.9,68,10.3,0,0,0,0,49,7.4,0,39,5.9,68,10.3,0,.
"003903001",393,18.5,2130,265,12.4,246,11.5,1532,71.9,1717,80.6,393,18.5,2130,265,12.4,246,11.5,1532,71.9
"003903004",2,4.9,41,0,0,9,22,30,73.2,31,75.6,2,4.9,41,0,0,9,22,30,73.2
"003903044",403,22.7,0,219,12.3,243,13.7,0,0,318,17.9,403,22.7,0,219,12.3,243,13.7,0,.
"003903120",29,12.4,0,0,0,54,23.1,0,0,0,0,29,12.4,0,0,0,54,23.1,0,.
"003903121",25,6.6,0,206,54.2,35,9.2,0,0,0,0,25,6.6,0,206,54.2,35,9.2,0,.
"003903122",33,12.1,0,0,0,46,16.9,0,0,0,0,33,12.1,0,0,0,46,16.9,0,.
"003903123",60,25.2,0,0,0,42,17.6,0,0,0,0,60,25.2,0,0,0,42,17.6,0,.
"003903124",18,4.2,0,219,51.3,27,6.3,0,0,0,0,18,4.2,0,219,51.3,27,6.3,0,.
"003903125",108,29.2,0,0,0,3,0.8,0,0,0,0,108,29.2,0,0,0,3,0.8,0,.
"003903126",47,24.2,0,0,0,2,1,0,0,0,0,47,24.2,0,0,0,2,1,0,.
"003903127",49,17.2,0,0,0,78,27.4,0,0,0,0,49,17.2,0,0,0,78,27.4,0,.
"003903128",29,11.4,0,0,0,22,8.7,0,0,0,0,29,10.2,0,0,0,23,8.1,0,.
"003903129",426,79.9,0,0,0,39,7.3,0,0,0,0,426,79.9,0,0,0,39,7.3,0,.
"003903130",24,8.8,0,0,0,36,13.2,0,0,0,0,24,8.8,0,0,0,36,13.2,0,.
"003903131",310,74.9,0,0,0,16,3.9,0,0,0,0,310,74.9,0,0,0,16,3.9,0,.
"003903141",0,0,0,0,0,6,85.7,0,0,0,0,0,0,0,0,0,6,85.7,0,.
"003903201",0,0,7,0,0,3,27.3,1,14.3,1,9.1,0,0,7,0,0,3,27.3,1,14.3
"003904001",4,0.8,480,27,5.6,65,13.5,368,76.7,447,93.1,4,0.8,480,27,5.6,65,13.5,368,76.7
"003904005",0,0,11,0,0,2,18.2,5,45.5,6,54.5,0,0,11,0,0,2,18.2,5,45.5
"003904041",6,1.5,0,27,6.8,58,14.5,0,0,79,19.8,6,1.5,0,27,6.8,58,14.5,0,.
"003904101",4,0.8,0,12,2.4,55,11.2,0,0,0,0,4,0.8,0,12,2.4,58,11.7,0,.
"003904102",6,2.7,0,8,3.5,45,19.9,0,0,0,0,6,2.7,0,8,3.5,45,19.9,0,.
"003905001",40,8.1,495,23,4.6,50,10.1,456,92.1,492,99.4,40,8.1,495,23,4.6,50,10.1,456,92.1
"003905004",1,12.5,8,0,0,2,25,0,0,1,12.5,1,12.5,8,0,0,2,25,0,0
"003905041",90,21.4,0,18,4.3,52,12.4,0,0,0,0,90,21.4,0,18,4.3,52,12.4,0,.
"003905101",63,17,0,4,1.1,40,10.8,0,0,0,0,63,17,0,4,1.1,40,10.8,0,.
"003905102",24,16.4,0,0,0,14,9.6,0,0,0,0,24,15.6,0,0,0,14,9.1,0,.
"003905103",74,20.8,0,20,5.6,45,12.7,0,0,0,0,74,20.8,0,20,5.6,45,12.7,0,.
"003906001",0,0,88,13,8.1,29,18.1,20,22.7,95,59.4,0,0,88,13,8.1,29,18.1,20,22.7
"003906004",0,0,1,0,0,0,0,1,100,1,100,0,0,1,0,0,0,0,1,100
"003906101",0,0,0,5,3.1,20,12.6,0,0,0,0,0,0,0,5,3.1,21,13.1,0,.
"003907001",6,1.5,393,20,5.1,55,14,387,98.5,387,98.5,6,1.5,393,20,5.1,55,14,387,98.5
"003907004",0,0,2,0,0,1,50,2,100,2,100,0,0,2,0,0,1,50,2,100
"003907041",14,3.1,0,26,5.8,66,14.8,0,0,115,25.8,14,3.1,0,26,5.8,66,14.8,0,.
"003907102",38,6.1,0,17,2.7,98,15.6,0,0,0,0,38,6.1,0,17,2.7,98,15.6,0,.
"004901001",29,3.3,875,37,4.2,84,9.6,289,33,645,73.7,29,3.3,875,37,4.2,84,9.6,289,33
"004901041",26,3.8,0,47,6.8,102,14.8,0,0,244,35.4,26,3.8,0,47,6.8,102,14.8,0,.
"004901101",37,5.5,0,49,7.3,101,15,0,0,0,0,37,5.5,0,49,7.3,101,15,0,.
"004901103",43,5.9,0,11,1.5,73,10,0,0,0,0,43,5.9,0,11,1.5,74,10.1,0,.
"005901001",1,0.4,159,22,9.4,38,16.3,117,73.6,231,99.1,1,0.4,159,22,9.4,38,16.3,117,73.6
"005901101",7,2.6,0,9,3.3,26,9.7,0,0,0,0,7,2.6,0,9,3.3,27,10,0,.
"005902001",0,0,323,36,11.1,24,7.4,184,57,299,92.6,0,0,323,36,11.1,24,7.4,184,57
"005902041",0,0,0,20,8.2,28,11.4,0,0,0,0,0,0,0,20,8.2,28,11.4,0,.
"005902101",2,0.4,0,24,5,58,12.1,0,0,0,0,2,0.4,0,24,5,61,12.6,0,.
"005904001",3,2.5,120,22,18.3,8,6.7,118,98.3,120,100,3,2.5,120,22,18.3,8,6.7,118,98.3
"005904041",6,6.3,0,13,13.7,8,8.4,0,0,64,67.4,6,6.3,0,13,13.7,8,8.4,0,.
"005904101",17,8.9,0,6,3.1,21,10.9,0,0,0,0,17,8.9,0,6,3.1,21,10.9,0,.
"006902001",3,0.9,92,16,4.8,36,10.9,75,81.5,122,36.9,3,0.9,92,16,4.8,36,10.9,75,81.5
"007901001",5,3.7,135,13,9.6,22,16.3,82,60.7,118,87.4,5,3.7,135,13,9.6,22,16.3,82,60.7
"007901041",8,8.2,0,4,4.1,18,18.4,0,0,46,46.9,8,8.2,0,4,4.1,18,18.4,0,.
"007901101",11,5,0,7,3.2,24,11,0,0,0,0,11,5,0,7,3.2,24,11,0,.
"007902001",9,2,441,23,5.2,57,12.9,296,67.1,399,90.5,9,2,441,23,5.2,57,12.9,296,67.1
"007902005",0,0,13,0,0,2,12.5,1,7.7,1,6.3,0,0,13,0,0,2,12.5,1,7.7
"007902006",0,0,4,0,0,1,20,1,25,3,60,0,0,4,0,0,1,20,1,25
"007902041",11,3,0,18,4.9,34,9.3,0,0,18,4.9,11,3,0,18,4.9,34,9.3,0,.
"007902101",28,3.6,0,20,2.6,106,13.6,0,0,0,0,28,3.5,0,20,2.5,114,14.4,0,.
"007904001",55,11.8,468,17,3.6,30,6.4,305,65.2,437,93.4,55,11.7,472,17,3.6,34,7.2,307,65
"007904002",0,0,1,0,0,3,75,1,100,3,75,0,0,1,0,0,3,75,1,100
"007904003",0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,.
"007904041",42,10.3,0,13,3.2,34,8.4,0,0,83,20.4,42,10.3,0,13,3.2,34,8.4,0,.
"007904101",71,13.7,0,19,3.7,50,9.7,0,0,0,0,71,13.7,0,19,3.7,50,9.7,0,.
"007904103",60,15.7,0,0,0,47,12.3,0,0,0,0,60,15.5,0,0,0,50,13,0,.
"007905001",21,2.1,1010,63,6.2,124,12.3,853,84.5,992,98.2,21,2.1,1010,63,6.2,124,12.3,853,84.5
"007905004",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"007905005",0,0,8,0,0,2,25,4,50,4,50,0,0,8,0,0,2,25,4,50
"007905041",32,4,0,34,4.2,108,13.4,0,0,35,4.3,32,4,0,34,4.2,108,13.4,0,.
"007905103",48,4.7,0,43,4.2,140,13.6,0,0,0,0,48,4.7,0,43,4.2,140,13.6,0,.
"007905105",29,4.1,0,3,0.4,77,10.9,0,0,0,0,29,4,0,3,0.4,89,12.4,0,.
"007906001",13,3,439,22,5,56,12.8,367,83.6,408,92.9,13,3,439,22,5,56,12.8,367,83.6
"007906041",21,5.4,0,30,7.7,42,10.8,0,0,145,37.3,21,5.4,0,30,7.7,42,10.8,0,.
"007906101",75,13.7,0,9,1.6,40,7.3,0,0,0,0,75,13.6,0,9,1.6,42,7.6,0,.
"007906102",35,13.4,0,12,4.6,22,8.4,0,0,0,0,35,13.4,0,12,4.6,22,8.4,0,.
"008901001",33,4.7,700,81,11.6,60,8.6,486,69.4,623,89,33,4.7,701,81,11.6,61,8.7,486,69.3
"008901041",36,7.1,0,77,15.2,74,14.6,0,0,174,34.3,36,7.1,0,77,15.2,74,14.6,0,.
"008901101",79,14.6,0,35,6.5,76,14.1,0,0,0,0,79,14.3,0,35,6.3,87,15.8,0,.
"008901102",39,12.9,0,23,7.6,45,14.9,0,0,0,0,39,12.9,0,23,7.6,45,14.9,0,.
"008901105",5,3.5,0,36,25,16,11.1,0,0,0,0,5,3.5,0,36,25,16,11.1,0,.
"008902001",86,10.7,804,54,6.7,77,9.6,391,48.6,695,86.4,86,10.7,805,54,6.7,78,9.7,391,48.6
"008902041",72,10.8,0,29,4.4,78,11.7,0,0,114,17.1,72,10.8,0,29,4.4,78,11.7,0,.
"008902102",123,19,0,30,4.6,89,13.8,0,0,0,0,123,18.7,0,30,4.6,99,15.1,0,.
"008902104",156,23,0,33,4.9,68,10,0,0,0,0,156,22.8,0,33,4.8,73,10.7,0,.
"008903001",31,12,259,11,4.2,19,7.3,114,44,240,92.7,31,12,259,11,4.2,19,7.3,114,44
"008903041",39,20.4,0,9,4.7,26,13.6,0,0,12,6.3,39,20.4,0,9,4.7,26,13.6,0,.
"008903102",64,19.2,0,17,5.1,40,12,0,0,0,0,64,19,0,17,5.1,42,12.5,0,.
"008903103",4,6.2,43,0,0,37,56.9,0,0,3,4.6,4,6.2,43,0,0,37,56.9,0,0
"009901001",32,9.2,347,17,4.9,54,15.6,318,91.6,341,98.3,32,9.2,347,17,4.9,54,15.6,318,91.6
"009901002",1,25,4,0,0,0,0,2,50,3,75,1,25,4,0,0,0,0,2,50
"009901041",69,20.8,0,8,2.4,42,12.7,0,0,21,6.3,69,20.8,0,8,2.4,42,12.7,0,.
"009901101",127,38,0,1,0.3,58,17.4,0,0,0,0,127,38,0,1,0.3,58,17.4,0,.
"009901103",158,41.3,0,0,0,40,10.4,0,0,0,0,159,41.2,0,0,0,43,11.1,0,.
"010901001",4,1.3,87,29,9.2,52,16.5,49,56.3,100,31.7,4,1.3,87,29,9.2,52,16.5,49,56.3
"010902001",16,2.5,647,40,6.2,84,13,294,45.4,596,92.1,16,2.5,647,40,6.2,84,13,294,45.4
"010902041",23,4.2,0,42,7.7,71,13,0,0,186,34.1,23,4.2,0,42,7.7,71,13,0,.
"010902101",41,6.8,0,19,3.2,66,11,0,0,0,0,41,6.8,0,19,3.2,68,11.3,0,.
"010902102",24,4.9,0,14,2.8,98,19.9,0,0,0,0,24,4.8,0,14,2.8,101,20.4,0,.
"011901001",188,13.1,1431,71,5,156,10.9,1143,79.9,1175,82.1,188,13,1441,71,4.9,166,11.5,1145,79.5
"011901002",421,25.4,1660,125,7.5,181,10.9,762,45.9,1246,75.1,423,25.3,1669,125,7.5,190,11.4,767,46
"011901005",9,4.1,218,16,7.3,6,2.8,0,0,101,46.3,9,4.1,218,16,7.3,6,2.8,0,0
"011901022",16,15.8,101,0,0,23,22.8,52,51.5,68,67.3,21,19.4,108,0,0,23,21.3,53,49.1
"011901041",164,19.2,0,76,8.9,97,11.4,0,0,277,32.5,164,19.2,0,76,8.9,97,11.4,0,.
"011901101",206,27.6,0,29,3.9,77,10.3,0,0,0,0,206,27.5,0,29,3.9,80,10.7,0,.
"011901102",19,3,0,48,7.6,95,15.1,0,0,0,0,19,3,0,48,7.6,98,15.5,0,.
"011901103",522,63.4,0,27,3.3,84,10.2,0,0,0,0,522,63.3,0,27,3.3,85,10.3,0,.
"011901104",189,22.3,0,95,11.2,101,11.9,0,0,0,0,189,22.3,0,95,11.2,103,12.1,0,.
"011901106",324,32.5,0,92,9.2,113,11.3,0,0,225,22.6,324,32.5,0,92,9.2,113,11.3,0,.
"011901107",339,51.3,0,32,4.8,77,11.6,0,0,0,0,340,51.2,0,32,4.8,80,12,0,.
"011901108",422,45.5,0,73,7.9,152,16.4,0,0,0,0,422,45.5,0,73,7.9,152,16.4,0,.
"011901109",273,34.6,0,46,5.8,83,10.5,0,0,0,0,273,34.1,0,46,5.7,94,11.7,0,.
"011901110",331,47.3,0,26,3.7,79,11.3,0,0,0,0,331,47.2,0,26,3.7,81,11.5,0,.
"011902001",215,16.5,1304,125,9.6,136,10.4,994,76.2,1150,88.2,217,16.6,1306,125,9.6,136,10.4,995,76.2
"011902003",0,0,1,0,0,0,0,1,100,1,50,0,0,1,0,0,0,0,1,100
"011902004",11,35.5,31,2,6.5,4,12.9,9,29,9,29,11,34.4,32,2,6.3,4,12.5,10,31.3
"011902041",422,39,0,118,10.9,120,11.1,0,0,359,33.2,422,39,0,118,10.9,120,11.1,0,.
"011902101",415,65.9,0,33,5.2,70,11.1,0,0,0,0,415,65.7,0,33,5.2,72,11.4,0,.
"011902102",383,45.1,0,39,4.6,79,9.3,0,0,0,0,383,44.4,0,39,4.5,89,10.3,0,.
"011902103",294,44.7,0,67,10.2,79,12,0,0,0,0,294,44.7,0,67,10.2,79,12,0,.
"011904002",25,4.5,558,50,9,81,14.5,367,65.8,436,78.1,25,4.5,558,50,9,81,14.5,367,65.8
"011904041",33,7.6,0,42,9.7,46,10.6,0,0,0,0,33,7.6,0,42,9.7,46,10.6,0,.
"011904101",36,9.5,0,31,8.2,47,12.4,0,0,0,0,36,9.5,0,31,8.2,47,12.4,0,.
"011904102",42,8.7,0,14,2.9,58,12.1,0,0,0,0,42,8.7,0,14,2.9,59,12.2,0,.
"011905001",33,27,71,17,13.9,16,13.1,34,47.9,85,69.7,33,27,71,17,13.9,16,13.1,34,47.9
"011905011",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"011905101",56,23.1,0,24,9.9,25,10.3,0,0,0,0,56,23,0,24,9.9,26,10.7,0,.
"012901001",1,0.6,160,11,6.9,17,10.6,159,99.4,159,99.4,1,0.6,160,11,6.9,17,10.6,159,99.4
"012901042",1,0.6,0,6,3.5,17,9.9,0,0,79,46.2,1,0.6,0,6,3.5,17,9.9,0,.
"012901101",1,0.4,0,2,0.8,36,14.7,0,0,0,0,1,0.4,0,2,0.8,38,15.3,0,.
"013801101",8,1.9,0,39,9.1,37,8.6,0,0,0,0,8,1.9,0,39,9.1,37,8.6,0,.
"013901001",12,1.3,954,56,5.9,92,9.6,683,71.6,884,92.7,12,1.2,962,56,5.8,93,9.7,688,71.5
"013901004",0,0,58,8,13.8,0,0,58,100,58,100,0,0,58,8,13.8,0,0,58,100
"013901041",28,4.1,0,13,1.9,85,12.4,0,0,154,22.5,28,4.1,0,13,1.9,85,12.4,0,.
"013901042",0,0,0,30,28,3,2.8,0,0,107,100,0,0,0,30,28,3,2.8,0,.
"013901101",12,2.4,0,16,3.2,69,13.9,0,0,0,0,12,2.4,0,16,3.2,69,13.9,0,.
"013901102",13,2.4,0,18,3.3,84,15.2,0,0,0,0,13,2.3,0,18,3.2,88,15.9,0,.
"013901105",6,1.6,0,0,0,49,13.3,0,0,0,0,6,1.5,0,0,0,72,18.4,0,.
"013902101",18,3.4,0,7,1.3,12,2.3,0,0,0,0,18,3.4,0,7,1.3,12,2.3,0,.
"013903001",0,0,116,11,5.3,23,11.1,67,57.8,156,75.4,0,0,118,11,5.3,23,11,67,56.8
"013903101",0,0,0,3,1.6,22,11.8,0,0,0,0,0,0,0,3,1.6,23,12.2,0,.
"013905001",2,0.8,266,17,6.4,34,12.8,219,82.3,260,97.7,2,0.8,266,17,6.4,34,12.8,219,82.3
"013905041",2,1,0,14,6.9,22,10.9,0,0,23,11.4,2,1,0,14,6.9,22,10.9,0,.
"013905101",13,3.6,0,29,8.1,43,12,0,0,0,0,13,3.5,0,29,7.9,52,14.1,0,.
"014801001",10,5.7,174,0,0,27,15.5,2,1.1,45,25.9,10,5.7,175,0,0,27,15.4,2,1.1
"014801002",34,7.6,447,0,0,55,12.3,98,21.9,184,41.2,34,7.6,448,0,0,55,12.3,98,21.9
"014801004",3,1.9,158,0,0,24,15.2,64,40.5,98,62,3,1.9,159,0,0,24,15.1,64,40.3
"014801005",17,9,188,0,0,6,3.2,15,8,121,64.4,17,9,188,0,0,6,3.2,15,8
"014801006",19,10.1,188,0,0,34,18.1,5,2.7,70,37.2,19,9.9,192,0,0,34,17.7,5,2.6
"014801007",1,0.4,249,0,0,23,9.2,13,5.2,124,49.8,1,0.4,250,0,0,23,9.2,13,5.2
"014801008",2,1.1,176,0,0,31,17.6,26,14.8,89,50.6,2,1.1,178,0,0,31,17.4,26,14.6
"014801009",27,16,169,0,0,24,14.2,1,0.6,94,55.6,27,16,169,0,0,24,14.2,1,0.6
"014801010",9,5.6,161,0,0,16,9.9,5,3.1,53,32.9,9,5.6,162,0,0,16,9.9,5,3.1
"014803002",2,2,0,0,0,11,11.2,0,0,4,4.1,2,2,0,0,0,11,11.2,0,.
"014803003",8,3.4,53,3,1.3,39,16.6,53,100,92,39.1,8,3.4,53,3,1.3,39,16.6,53,100
"014803004",8,4.8,24,3,1.8,17,10.2,19,79.2,54,32.5,8,4.8,24,3,1.8,17,10.2,19,79.2
"014803101",15,5.1,36,5,1.7,37,12.6,33,91.7,51,17.3,15,5.1,36,5,1.7,37,12.6,33,91.7
"014804002",0,0,18,0,0,42,66.7,0,0,0,0,0,0,18,0,0,42,66.7,0,0
"014804005",0,0,70,0,0,5,7.1,0,0,9,12.9,0,0,70,0,0,5,7.1,0,0
"014804006",14,1,348,0,0,82,5.9,31,8.9,202,14.4,14,1,348,0,0,82,5.9,31,8.9
"014804007",0,0,0,0,0,15,12,0,0,0,0,0,0,0,0,0,15,12,0,.
"014804008",3,1.7,13,0,0,45,26,0,0,0,0,3,1.7,13,0,0,45,26,0,0
"014901001",12,2.6,455,23,5.1,51,11.2,170,37.4,411,90.3,12,2.6,455,23,5.1,51,11.2,170,37.4
"014901041",18,4.4,0,64,15.7,35,8.6,0,0,0,0,18,4.4,0,64,15.7,36,8.8,0,.
"014901101",23,5.8,0,31,7.8,44,11.1,0,0,0,0,23,5.8,0,31,7.8,44,11.1,0,.
"014901102",28,6,0,6,1.3,36,7.8,0,0,0,0,28,6,0,6,1.3,37,8,0,.
"014902001",73,19.4,93,4,1.1,38,10.1,85,91.4,159,42.3,73,19.4,93,4,1.1,39,10.3,85,91.4
"014903001",154,5.1,3044,261,8.6,425,14,1914,62.9,2352,77.3,155,5.1,3048,261,8.6,425,13.9,1914,62.8
"014903005",1,0.2,512,109,21.3,21,4.1,290,56.6,440,85.9,1,0.2,512,109,21.3,21,4.1,290,56.6
"014903006",0,0,9,0,0,2,22.2,6,66.7,6,66.7,0,0,9,0,0,2,22.2,6,66.7
"014903043",44,4.9,0,73,8.1,128,14.1,0,0,0,0,44,4.9,0,73,8.1,129,14.2,0,.
"014903044",74,8.2,0,106,11.7,140,15.5,0,0,0,0,74,8.2,0,106,11.7,140,15.5,0,.
"014903045",24,2.2,0,133,12.1,142,12.9,0,0,0,0,24,2.2,0,133,12.1,142,12.9,0,.
"014903102",4,1.7,0,28,11.7,29,12.1,0,0,0,0,4,1.7,0,28,11.6,32,13.2,0,.
"014903103",15,4.7,0,21,6.6,78,24.6,0,0,0,0,15,4.7,0,21,6.6,78,24.6,0,.
"014903104",125,31.7,0,36,9.1,43,10.9,0,0,0,0,125,31.7,0,36,9.1,43,10.9,0,.
"014903108",6,0.8,0,84,11.8,82,11.5,0,0,0,0,6,0.8,0,84,11.8,82,11.5,0,.
"014903109",13,2.2,0,68,11.4,80,13.4,0,0,0,0,13,2.2,0,68,11.4,80,13.4,0,.
"014903111",18,2.6,0,66,9.7,87,12.8,0,0,0,0,18,2.6,0,66,9.7,89,13,0,.
"014903116",20,3.6,0,49,8.8,74,13.3,0,0,0,0,20,3.6,0,49,8.8,74,13.3,0,.
"014903117",9,1.5,0,48,7.8,93,15.1,0,0,0,0,9,1.5,0,48,7.8,93,15.1,0,.
"014903118",123,17.3,0,43,6.1,104,14.6,0,0,0,0,123,17.3,0,43,6.1,104,14.6,0,.
"014903119",57,12.2,0,0,0,75,16.1,0,0,0,0,57,11.6,0,0,0,101,20.5,0,.
"014903120",39,10,0,27,6.9,60,15.4,0,0,0,0,39,10,0,27,6.9,60,15.4,0,.
"014905001",3,1.4,214,26,12.1,21,9.8,205,95.8,211,98.6,3,1.4,214,26,12.1,21,9.8,205,95.8
"014905041",5,3.4,0,9,6,13,8.7,0,0,32,21.5,5,3.4,0,9,6,13,8.7,0,.
"014905101",7,2.3,0,13,4.2,23,7.4,0,0,0,0,7,2.3,0,13,4.2,23,7.4,0,.
"014906001",208,9.7,2152,67,3.1,358,16.6,925,43,1422,66.1,208,9.7,2152,67,3.1,358,16.6,925,43
"014906002",145,5.3,2723,92,3.4,393,14.4,1407,51.7,1915,70.3,145,5.3,2724,92,3.4,394,14.5,1407,51.7
"014906004",2,1.4,139,1,0.7,29,20.9,54,38.8,80,57.6,2,1.4,139,1,0.7,29,20.9,54,38.8
"014906006",19,7,272,0,0,23,8.5,56,20.6,97,35.7,19,7,272,0,0,23,8.5,56,20.6
"014906007",98,3.8,2568,143,5.6,325,12.7,1351,52.6,1773,69,98,3.8,2571,143,5.6,328,12.8,1351,52.5
"014906008",180,8.3,2163,45,2.1,365,16.9,1065,49.2,1504,69.5,180,8.3,2163,45,2.1,365,16.9,1065,49.2
"014906009",0,0,0,2,2.9,22,31.4,0,0,24,34.3,0,0,0,2,2.9,22,31.4,0,.
"014906013",34,3.1,1087,107,9.8,34,3.1,0,0,218,20.1,34,3.1,1087,107,9.8,34,3.1,0,0
"014906022",1,4,11,1,4,9,36,0,0,0,0,1,4,11,1,4,9,36,0,0
"014906026",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"014906042",171,21.4,0,15,1.9,144,18,0,0,119,14.9,171,21.4,0,15,1.9,144,18,0,.
"014906043",75,10.7,0,16,2.3,143,20.5,0,0,96,13.8,75,10.7,0,16,2.3,143,20.5,0,.
"014906044",83,11.5,0,26,3.6,146,20.2,0,0,97,13.5,83,11.5,0,26,3.6,146,20.2,0,.
"014906046",87,11.3,0,28,3.6,133,17.3,0,0,135,17.6,87,11.3,0,28,3.6,133,17.3,0,.
"014906048",88,12.3,0,20,2.8,117,16.4,0,0,124,17.4,88,12.3,0,20,2.8,117,16.4,0,.
"014906049",48,5,0,45,4.7,117,12.2,0,0,155,16.2,48,5,0,45,4.7,117,12.2,0,.
"014906050",37,5.9,0,8,1.3,100,16.1,0,0,90,14.5,37,5.9,0,8,1.3,100,16.1,0,.
"014906051",24,2.6,0,85,9.1,106,11.3,0,0,192,20.5,24,2.6,0,85,9.1,106,11.3,0,.
"014906052",26,3.3,0,39,4.9,106,13.3,0,0,112,14,26,3.3,0,39,4.9,106,13.3,0,.
"014906053",53,5,0,63,5.9,155,14.6,0,0,166,15.7,53,5,0,63,5.9,155,14.6,0,.
"014906054",94,6.4,0,103,7,149,10.2,0,0,217,14.8,94,6.4,0,103,7,149,10.2,0,.
"014906100",1,2.3,0,0,0,12,27.3,0,0,0,0,1,2.3,0,0,0,12,27.3,0,.
"014906102",49,8.6,0,11,1.9,70,12.3,0,0,0,0,49,8.6,0,11,1.9,70,12.3,0,.
