CAMPUS,CPETBILC,CPETBILP,CPETG9XC,CPETGIFC,CPETGIFP,CPETSPEC,CPETSPEP,CPETVHSC,CPETVHSP,CPETVOCC,CPETVOCP,CPNTBILC,CPNTBILP,CPNTG9XC,CPNTGIFC,CPNTGIFP,CPNTSPEC,CPNTSPEP,CPNTVHSC,CPNTVHSP
"220905242",2,12.5,14,0,0,2,12.5,0,0,0,0,2,12.5,14,0,0,2,12.5,0,0
"220905251",0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"220905252",0,0,0,0,0,2,15.4,0,0,0,0,0,0,0,0,0,2,15.4,0,.
"220906001",94,4.9,1917,590,30.8,145,7.6,180,9.4,1474,76.9,94,4.9,1918,590,30.8,146,7.6,180,9.4
"220906004",86,4.5,1932,478,24.7,154,8,200,10.4,1457,75.4,86,4.5,1932,478,24.7,154,8,200,10.4
"220906006",8,14.8,54,0,0,5,9.3,9,16.7,34,63,9,16.4,55,0,0,5,9.1,9,16.4
"220906007",0,0,566,2,0.2,4,0.4,3,0.5,406,42.7,0,0,566,2,0.2,4,0.4,3,0.5
"220906008",32,9.4,339,38,11.2,12,3.5,0,0,73,21.5,32,9.4,339,38,11.2,12,3.5,0,0
"220906041",88,11.8,0,166,22.3,91,12.2,0,0,260,35,88,11.8,0,166,22.3,91,12.2,0,.
"220906042",11,1.7,0,223,34.7,41,6.4,0,0,178,27.7,11,1.7,0,223,34.7,42,6.5,0,.
"220906043",38,5,0,180,23.5,71,9.3,0,0,138,18,38,5,0,180,23.5,71,9.3,0,.
"220906044",114,12.5,0,398,43.6,79,8.7,0,0,298,32.6,114,12.4,0,398,43.4,82,8.9,0,.
"220906101",148,25.9,0,81,14.2,72,12.6,0,0,0,0,148,25.7,0,81,14.1,76,13.2,0,.
"220906102",10,1.9,0,66,12.8,34,6.6,0,0,0,0,10,1.9,0,66,12.8,36,7,0,.
"220906103",19,4.9,0,30,7.7,52,13.4,0,0,0,0,19,4.9,0,30,7.7,54,13.8,0,.
"220906104",490,70.3,0,58,8.3,99,14.2,0,0,0,0,490,69.5,0,58,8.2,107,15.2,0,.
"220906105",21,4.2,0,100,20.1,69,13.9,0,0,0,0,21,4.1,0,100,19.7,76,15,0,.
"220906106",90,14.4,0,46,7.3,60,9.6,0,0,0,0,90,14.3,0,46,7.3,62,9.9,0,.
"220906107",54,9.1,0,65,11,36,6.1,0,0,0,0,54,9,0,65,10.9,42,7,0,.
"220906108",12,2.7,0,77,17.3,42,9.4,0,0,0,0,12,2.7,0,77,17.3,43,9.6,0,.
"220906109",31,5.6,0,76,13.7,70,12.6,0,0,0,0,31,5.5,0,76,13.5,76,13.5,0,.
"220906110",347,65.5,0,47,8.9,72,13.6,0,0,0,0,347,65.5,0,47,8.9,72,13.6,0,.
"220906111",21,4.3,0,199,40.3,38,7.7,0,0,0,0,21,4.2,0,199,39.6,46,9.2,0,.
"220907001",66,2.1,3149,551,17.5,190,6,2483,78.9,2854,90.6,67,2.1,3154,552,17.5,191,6.1,2486,78.8
"220907002",274,12,2287,160,7,211,9.2,1607,70.3,1965,85.9,274,12,2288,160,7,212,9.3,1608,70.3
"220907003",0,0,1,0,0,0,0,1,100,1,100,0,0,2,0,0,1,33.3,1,50
"220907004",130,5.1,2559,266,10.4,249,9.7,1745,68.2,2109,82.4,130,5.1,2560,266,10.4,249,9.7,1746,68.2
"220907005",199,6.2,3205,379,11.8,288,9,2319,72.4,2733,85.3,199,6.2,3211,379,11.8,288,9,2320,72.3
"220907039",4,4.9,81,1,1.2,12,14.8,25,30.9,41,50.6,4,4.9,82,1,1.2,12,14.6,25,30.5
"220907041",18,1.8,0,173,17.1,60,5.9,0,0,263,26,18,1.8,0,173,17.1,60,5.9,0,.
"220907042",134,16.2,0,51,6.2,110,13.3,0,0,108,13,134,16.2,0,51,6.2,110,13.3,0,.
"220907043",87,6.8,0,114,8.9,158,12.3,0,0,273,21.2,87,6.8,0,114,8.9,158,12.3,0,.
"220907044",30,3.2,0,173,18.2,131,13.8,0,0,122,12.8,30,3.2,0,173,18.2,131,13.8,0,.
"220907045",82,8.6,0,113,11.8,78,8.2,0,0,189,19.8,82,8.6,0,113,11.8,78,8.2,0,.
"220907046",42,3.6,0,168,14.4,148,12.7,0,0,104,8.9,42,3.6,0,168,14.4,148,12.7,0,.
"220907047",74,10.1,0,61,8.3,90,12.3,0,0,66,9,74,10.1,0,61,8.3,90,12.3,0,.
"220907101",20,4.5,0,25,5.6,36,8.1,0,0,0,0,20,4.5,0,25,5.6,36,8.1,0,.
"220907102",5,1,0,34,6.7,56,11.1,0,0,0,0,5,1,0,34,6.7,56,11.1,0,.
"220907103",123,22.3,0,9,1.6,89,16.1,0,0,0,0,123,22.3,0,9,1.6,89,16.1,0,.
"220907104",20,2.1,0,165,17.1,77,8,0,0,0,0,20,2.1,0,165,17.1,77,8,0,.
"220907105",95,21.7,0,11,2.5,39,8.9,0,0,0,0,95,21.7,0,11,2.5,39,8.9,0,.
"220907106",45,9.5,0,15,3.2,72,15.1,0,0,0,0,45,9.5,0,15,3.2,72,15.1,0,.
"220907107",184,20.2,0,43,4.7,128,14.1,0,0,0,0,184,20.2,0,43,4.7,128,14.1,0,.
"220907108",20,4.3,0,36,7.7,52,11.2,0,0,0,0,20,4.3,0,36,7.7,52,11.2,0,.
"220907109",25,4.5,0,22,3.9,71,12.7,0,0,0,0,25,4.5,0,22,3.9,71,12.7,0,.
"220907110",23,4,0,38,6.7,52,9.1,0,0,0,0,23,4,0,38,6.7,52,9.1,0,.
"220907111",118,28.3,0,8,1.9,78,18.7,0,0,0,0,118,28.3,0,8,1.9,78,18.7,0,.
"220907112",7,1.9,0,29,7.7,58,15.3,0,0,0,0,7,1.9,0,29,7.7,58,15.3,0,.
"220907113",88,11.2,0,40,5.1,95,12.1,0,0,0,0,88,11.2,0,40,5.1,95,12.1,0,.
"220907114",57,4.8,0,107,8.9,142,11.9,0,0,0,0,57,4.8,0,107,8.9,142,11.9,0,.
"220907116",62,11.8,0,11,2.1,45,8.5,0,0,0,0,62,11.8,0,11,2.1,45,8.5,0,.
"220907117",119,20.5,0,20,3.4,95,16.4,0,0,0,0,119,20.4,0,20,3.4,95,16.3,0,.
"220907118",30,5.1,0,29,4.9,61,10.3,0,0,0,0,30,5.1,0,29,4.9,61,10.3,0,.
"220907119",21,3.5,0,19,3.1,103,17,0,0,0,0,21,3.5,0,19,3.1,103,17,0,.
"220907120",13,2.9,0,35,7.8,50,11.1,0,0,0,0,13,2.9,0,35,7.8,50,11.1,0,.
"220907121",16,2.8,0,23,4,82,14.4,0,0,0,0,16,2.8,0,23,4,82,14.4,0,.
"220907122",61,11,0,11,2,74,13.4,0,0,0,0,61,11,0,11,2,74,13.4,0,.
"220907123",121,12.3,0,95,9.7,105,10.7,0,0,0,0,121,12.3,0,95,9.7,105,10.7,0,.
"220907124",36,6.1,0,30,5,84,14.1,0,0,0,0,36,6.1,0,30,5,84,14.1,0,.
"220907125",144,22.8,0,17,2.7,95,15.1,0,0,0,0,144,22.8,0,17,2.7,95,15.1,0,.
"220907126",138,36.2,0,6,1.6,53,13.9,0,0,0,0,138,36.2,0,6,1.6,53,13.9,0,.
"220907128",106,31.6,0,0,0,111,33.1,0,0,0,0,106,29.6,0,0,0,118,33,0,.
"220907129",64,9.4,0,38,5.6,47,6.9,0,0,0,0,64,9.4,0,38,5.6,47,6.9,0,.
"220907130",77,15.5,0,17,3.4,59,11.9,0,0,0,0,77,15.5,0,17,3.4,59,11.9,0,.
"220907131",112,36.7,0,0,0,92,30.2,0,0,0,0,112,30.8,0,0,0,149,40.9,0,.
"220908002",125,6.2,2029,134,6.6,231,11.4,506,24.9,1113,54.9,125,6.2,2029,134,6.6,231,11.4,506,24.9
"220908003",39,1.6,2439,256,10.5,172,7.1,701,28.7,1456,59.7,39,1.6,2444,256,10.5,177,7.2,701,28.7
"220908004",88,4.6,1894,108,5.7,176,9.3,672,35.5,1260,66.5,88,4.6,1895,108,5.7,177,9.3,672,35.5
"220908005",97,4.5,2178,176,8.1,222,10.2,774,35.5,1511,69.4,97,4.4,2180,176,8.1,224,10.3,774,35.5
"220908006",7,8,87,1,1.1,1,1.1,11,12.6,62,71.3,7,8,87,1,1.1,1,1.1,11,12.6
"220908007",77,2.8,2728,196,7.2,194,7.1,886,32.5,1681,61.6,77,2.8,2728,196,7.2,194,7.1,886,32.5
"220908008",1,0.7,146,11,7.5,2,1.4,146,100,146,100,1,0.7,146,11,7.5,2,1.4,146,100
"220908009",2,0.9,220,23,10.5,7,3.2,0,0,24,10.9,2,0.9,220,23,10.5,7,3.2,0,0
"220908041",75,8.3,0,84,9.3,76,8.4,0,0,317,35,75,8.3,0,84,9.3,76,8.4,0,.
"220908042",54,6.5,0,44,5.3,86,10.4,0,0,186,22.4,54,6.5,0,44,5.3,88,10.6,0,.
"220908043",37,3.4,0,227,20.6,102,9.3,0,0,301,27.4,37,3.4,0,227,20.6,102,9.3,0,.
"220908044",18,1.5,0,88,7.6,107,9.2,0,0,504,43.4,18,1.5,0,88,7.6,107,9.2,0,.
"220908045",42,4.6,0,49,5.3,92,10,0,0,329,35.8,42,4.6,0,49,5.3,92,10,0,.
"220908046",59,6.7,0,67,7.6,94,10.6,0,0,81,9.1,59,6.7,0,67,7.6,94,10.6,0,.
"220908101",272,42.2,0,18,2.8,79,12.2,0,0,0,0,272,42.1,0,18,2.8,80,12.4,0,.
"220908103",78,12.6,0,19,3.1,50,8.1,0,0,0,0,78,12.6,0,19,3.1,53,8.5,0,.
"220908105",22,4,0,36,6.6,70,12.8,0,0,0,0,22,4,0,36,6.5,75,13.5,0,.
"220908106",85,20.7,0,17,4.1,56,13.7,0,0,0,0,85,20.6,0,17,4.1,58,14.1,0,.
"220908107",120,25.8,0,5,1.1,66,14.2,0,0,0,0,120,25.6,0,5,1.1,68,14.5,0,.
"220908109",279,52.1,0,14,2.6,50,9.3,0,0,0,0,279,51.7,0,14,2.6,53,9.8,0,.
"220908110",64,11.3,0,36,6.4,51,9,0,0,0,0,64,11.2,0,36,6.3,56,9.8,0,.
"220908111",100,26.2,0,15,3.9,38,10,0,0,0,0,100,26.2,0,15,3.9,38,10,0,.
"220908112",95,25.6,0,7,1.9,49,13.2,0,0,0,0,95,25.6,0,7,1.9,49,13.2,0,.
"220908113",336,55.8,0,26,4.3,59,9.8,0,0,0,0,336,55.7,0,26,4.3,60,10,0,.
"220908114",53,8.5,0,11,1.8,64,10.2,0,0,0,0,53,8.5,0,11,1.8,65,10.4,0,.
"220908115",76,13.5,0,42,7.4,73,12.9,0,0,0,0,76,13.4,0,42,7.4,77,13.5,0,.
"220908116",61,11.4,0,22,4.1,58,10.9,0,0,0,0,61,11.1,0,22,4,75,13.6,0,.
"220908117",98,22.4,0,19,4.3,42,9.6,0,0,0,0,98,22.4,0,19,4.3,43,9.8,0,.
"220908118",56,12.3,0,13,2.9,68,14.9,0,0,0,0,56,12.2,0,13,2.8,70,15.3,0,.
"220908119",92,17.9,0,11,2.1,53,10.3,0,0,0,0,92,17.8,0,11,2.1,54,10.5,0,.
"220908120",69,9.3,0,42,5.7,63,8.5,0,0,0,0,69,9.2,0,42,5.6,69,9.2,0,.
"220908121",73,10.6,0,17,2.5,66,9.6,0,0,0,0,73,10.5,0,17,2.4,70,10.1,0,.
"220908122",114,20.1,0,24,4.2,61,10.8,0,0,0,0,114,19.9,0,24,4.2,67,11.7,0,.
"220908123",53,12.2,0,19,4.4,62,14.3,0,0,0,0,53,12.1,0,19,4.3,66,15.1,0,.
"220908124",107,20.5,0,17,3.3,59,11.3,0,0,0,0,107,20.3,0,17,3.2,62,11.8,0,.
"220908125",67,11.9,0,28,5,59,10.5,0,0,0,0,67,11.9,0,28,5,62,11,0,.
"220908126",36,8.1,0,38,8.6,58,13.1,0,0,0,0,36,8.1,0,38,8.6,59,13.3,0,.
"220908127",182,39,0,0,0,36,7.7,0,0,0,0,182,39,0,0,0,36,7.7,0,.
"220908201",71,7.6,0,90,9.7,106,11.4,0,0,0,0,71,7.6,0,90,9.7,106,11.4,0,.
"220908202",75,10.2,0,58,7.9,93,12.7,0,0,0,0,76,10.3,0,58,7.9,94,12.8,0,.
"220908204",173,18.3,0,100,10.6,104,11,0,0,0,0,173,18.3,0,100,10.6,104,11,0,.
"220908205",81,8.8,0,49,5.3,109,11.9,0,0,0,0,81,8.8,0,49,5.3,109,11.9,0,.
"220908206",32,2.9,0,101,9.3,99,9.1,0,0,0,0,32,2.9,0,101,9.3,99,9.1,0,.
"220908207",49,6.6,0,79,10.7,100,13.5,0,0,0,0,49,6.6,0,79,10.7,100,13.5,0,.
"220908304",0,0,2,0,0,0,0,0,0,1,33.3,0,0,2,0,0,0,0,0,0
"220910001",134,14.1,948,40,4.2,102,10.8,506,53.4,867,91.5,134,14.1,948,40,4.2,102,10.8,506,53.4
