CAMPUS,CAMPNAME,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLRTF,DISTNAME,DISTRICT
"003801042","DR TERRY ROBBINS MIDDLE"," ","N","N","Y","N","N","N","N","N","PINEYWOODS COMMUNITY ACADEMY","003801"
"003801103","SARAH STRINDEN EL"," ","N","N","Y","N","N","N","N","N","PINEYWOODS COMMUNITY ACADEMY","003801"
"003902001","HUDSON H S"," ","N","N","N","N","N","N","N","N","HUDSON ISD","003902"
"003902004","STUBBLEFIELD LRN CTR","AEC OF CHOICE - DRS","Y","Y","N","N","N","N","N","N","HUDSON ISD","003902"
"003902041","HUDSON MIDDLE"," ","N","N","N","N","N","N","N","N","HUDSON ISD","003902"
"003902101","W F PEAVY PRI"," ","N","N","N","N","N","N","N","N","HUDSON ISD","003902"
"003902102","W H BONNER EL"," ","N","N","N","N","N","N","N","N","HUDSON ISD","003902"
"003903001","LUFKIN H S"," ","N","N","N","N","N","N","N","N","LUFKIN ISD","003903"
"003903004","STUBBLEFIELD LRN CTR","AEC OF CHOICE - DRS","Y","Y","N","N","N","N","N","N","LUFKIN ISD","003903"
"003903044","LUFKIN MIDDLE"," ","N","N","N","N","N","N","N","N","LUFKIN ISD","003903"
"003903120","ANDERSON EL"," ","N","N","N","N","N","N","N","N","LUFKIN ISD","003903"
"003903121","BRANDON EL"," ","N","N","N","N","N","N","N","N","LUFKIN ISD","003903"
"003903122","BROOKHOLLOW EL"," ","N","N","N","N","N","N","N","N","LUFKIN ISD","003903"
"003903123","COSTON EL"," ","N","N","N","N","N","N","N","N","LUFKIN ISD","003903"
"003903124","DUNBAR PRI"," ","N","N","N","N","N","N","N","N","LUFKIN ISD","003903"
"003903125","GARRETT PRI"," ","N","N","N","N","Y","N","N","N","LUFKIN ISD","003903"
"003903126","HACKNEY PRI"," ","N","N","N","N","Y","N","N","N","LUFKIN ISD","003903"
"003903127","HERTY PRI"," ","N","N","N","N","N","N","N","N","LUFKIN ISD","003903"
"003903128","KURTH PRI"," ","N","N","N","N","N","N","N","N","LUFKIN ISD","003903"
"003903129","SLACK EL"," ","N","N","N","N","N","N","N","N","LUFKIN ISD","003903"
"003903130","TROUT PRI"," ","N","N","N","N","N","N","N","N","LUFKIN ISD","003903"
"003903131","BURLEY PRI"," ","N","N","N","N","N","N","N","N","LUFKIN ISD","003903"
"003903141","SPECIAL SERVICES"," ","N","N","N","N","Y","N","N","N","LUFKIN ISD","003903"
"003903201","JUVENILE DETENT CTR"," ","N","N","N","N","N","N","N","N","LUFKIN ISD","003903"
"003904001","HUNTINGTON H S"," ","N","N","N","N","N","N","N","N","HUNTINGTON ISD","003904"
"003904005","PRIDE ALTER SCH","AEC OF CHOICE - DRS","Y","Y","N","N","N","N","N","N","HUNTINGTON ISD","003904"
"003904041","HUNTINGTON MIDDLE"," ","N","N","N","N","N","N","N","N","HUNTINGTON ISD","003904"
"003904101","HUNTINGTON EL"," ","N","N","N","N","N","N","N","N","HUNTINGTON ISD","003904"
