CAMPUS,CAMPNAME,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLRTF,DISTNAME,DISTRICT
"057903111","THOMPSON EL"," ","N","N","N","N","N","N","N","N","CARROLLTON-FARMERS BRANCH ISD","057903"
"057903112","COUNTRY PLACE EL"," ","N","N","N","N","N","N","N","N","CARROLLTON-FARMERS BRANCH ISD","057903"
"057903113","DAVIS EL"," ","N","N","N","N","N","N","N","N","CARROLLTON-FARMERS BRANCH ISD","057903"
"057903114","MCCOY EL"," ","N","N","N","N","N","N","N","N","CARROLLTON-FARMERS BRANCH ISD","057903"
"057903116","FURNEAUX EL"," ","N","N","N","N","N","N","N","N","CARROLLTON-FARMERS BRANCH ISD","057903"
"057903117","HUIE SPECIAL EDUC CTR"," ","N","N","N","N","N","N","N","N","CARROLLTON-FARMERS BRANCH ISD","057903"
"057903118","ROSEMEADE EL"," ","N","N","N","N","N","N","N","N","CARROLLTON-FARMERS BRANCH ISD","057903"
"057903120","LAS COLINAS EL"," ","N","N","N","N","N","N","N","N","CARROLLTON-FARMERS BRANCH ISD","057903"
"057903121","LANDRY EL"," ","N","N","N","N","N","N","N","N","CARROLLTON-FARMERS BRANCH ISD","057903"
"057903122","KENT EL"," ","N","N","N","N","N","N","N","N","CARROLLTON-FARMERS BRANCH ISD","057903"
"057903123","RIVERCHASE ELE"," ","N","N","N","N","N","N","N","N","CARROLLTON-FARMERS BRANCH ISD","057903"
"057903124","MCKAMY EL"," ","N","N","N","N","N","N","N","N","CARROLLTON-FARMERS BRANCH ISD","057903"
"057903125","SHEFFIELD EL"," ","N","N","N","N","N","N","N","N","CARROLLTON-FARMERS BRANCH ISD","057903"
"057903126","RAINWATER EL"," ","N","N","N","N","N","N","N","N","CARROLLTON-FARMERS BRANCH ISD","057903"
"057903128","FREEMAN EL"," ","N","N","N","N","N","N","N","N","CARROLLTON-FARMERS BRANCH ISD","057903"
"057903129","MCWHORTER EL"," ","N","N","N","N","N","N","N","N","CARROLLTON-FARMERS BRANCH ISD","057903"
"057903131","BLAIR EL"," ","N","N","N","N","N","N","N","N","CARROLLTON-FARMERS BRANCH ISD","057903"
"057903132","LA VILLITA EL"," ","N","N","N","N","N","N","N","N","CARROLLTON-FARMERS BRANCH ISD","057903"
"057903135","MCLAUGHLIN STRICKLAND EL"," ","N","N","N","N","N","N","N","N","CARROLLTON-FARMERS BRANCH ISD","057903"
"057904001","CEDAR HILL H S"," ","N","N","N","N","N","N","N","N","CEDAR HILL ISD","057904"
"057904003","CEDAR HILL COLLEGIATE H S"," ","N","N","N","N","N","N","N","N","CEDAR HILL ISD","057904"
"057904007","JJAEP"," ","N","N","N","N","N","Y","Y","N","CEDAR HILL ISD","057904"
"057904041","W S PERMENTER MIDDLE"," ","N","N","N","N","N","N","N","N","CEDAR HILL ISD","057904"
"057904042","BESSIE COLEMAN MIDDLE"," ","N","N","N","N","N","N","N","N","CEDAR HILL ISD","057904"
"057904043","CEDAR HILL COLLEGIATE ACADEMY"," ","N","N","N","N","N","N","N","N","CEDAR HILL ISD","057904"
"057904101","BRAY EL"," ","N","N","N","N","N","N","N","N","CEDAR HILL ISD","057904"
"057904102","PLUMMER EL"," ","N","N","N","N","N","N","N","N","CEDAR HILL ISD","057904"
"057904104","HIGH POINTE EL"," ","N","N","N","N","N","N","N","N","CEDAR HILL ISD","057904"
"057904105","HIGHLANDS EL"," ","N","N","N","N","N","N","N","N","CEDAR HILL ISD","057904"
"057904107","WATERFORD OAKS EL"," ","N","N","N","N","N","N","N","N","CEDAR HILL ISD","057904"
"057904108","LAKERIDGE EL"," ","N","N","N","N","N","N","N","N","CEDAR HILL ISD","057904"
"057904110","CEDAR HILL COLLEGIATE PREP"," ","N","N","N","N","N","N","N","N","CEDAR HILL ISD","057904"
"057905001","BRYAN ADAMS H S"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905002","W H ADAMSON H S"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905003","NEW TECH H S AT B F DARRELL H S"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905005","MOISES E MOLINA H S"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905006","HILLCREST H S"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905007","THOMAS JEFFERSON H S"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905008","JUSTIN F KIMBALL H S"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905009","LINCOLN HUMANITIES/COMMUNICATIONS"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905011","BARBARA M MANNS MIDDLE DAEP"," ","N","N","N","Y","N","N","N","N","DALLAS ISD","057905"
"057905012","L G PINKSTON H S"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905013","FRANKLIN D ROOSEVELT H S"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905014","W W SAMUELL H S"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905015","SEAGOVILLE H S"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905016","SOUTH OAK CLIFF H S"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905017","H GRADY SPRUCE H S"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905018","SUNSET H S"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905021","W T WHITE H S"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905022","WOODROW WILSON H S"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905023","DAVID W CARTER H S"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905024","NORTH DALLAS H S"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905025","SKYLINE H S"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905026","SCHOOL OF SCIENCE AND ENGINEERING"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905028","EMMETT J CONRAD H S"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905029","BARBARA M MANNS H S DAEP"," ","N","N","N","Y","N","N","N","N","DALLAS ISD","057905"
"057905030","MAYA ANGELOU H S","AEC OF CHOICE","Y","Y","N","N","N","N","N","N","DALLAS ISD","057905"
"057905032","JAMES MADISON H S"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905033","SCHOOL OF BUSINESS AND MANAGEMENT"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905034","BOOKER T WASHINGTON SPVA MAGNET"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905035","IRMA RANGEL YOUNG WOMEN'S LEADERSH"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905036","SCHOOL OF HEALTH PROFESSIONS"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905037","ROSIE SORRELLS EDUCATION AND SOCIA"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905038","JUDGE BAREFOOT SANDERS LAW MAGNET"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905039","SCHOOL FOR THE TALENTED AND GIFTED"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905042","WILLIAM HAWLEY ATWELL LAW ACADEMY"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905043","T W BROWNE MIDDLE"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905044","EDWARD H CARY MIDDLE"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905045","E B COMSTOCK MIDDLE"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905046","YOUNG MEN'S LEADERSHIP ACADEMY AT"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905047","BENJAMIN FRANKLIN INTERNATIONAL EX"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905048","W H GASTON MIDDLE"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905049","W E GREINER EXPLORATORY ARTS ACADE"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905050","ROBERT T HILL MIDDLE"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905051","OLIVER WENDELL HOLMES HUMANITIES/C"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905052","PIEDMONT GLOBAL ACADEMY"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905053","J L LONG MIDDLE"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905054","THOMAS C MARSH MIDDLE"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905055","THOMAS J RUSK MIDDLE"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905056","EWELL D WALKER MIDDLE"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905058","ALEX W SPENCE TALENTED/GIFTED ACAD"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905059","L V STOCKARD MIDDLE"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905060","BOUDE STOREY MIDDLE"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905062","BILLY EARL DADE MIDDLE"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905068","RAUL QUINTANILLA SR MIDDLE"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905069","SEAGOVILLE MIDDLE"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905071","DALLAS ENVIRONMENTAL SCIENCE ACADE"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905072","SARAH ZUMWALT MIDDLE"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905073","HENRY W LONGFELLOW CAREER EXPLORAT"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905076","HAROLD WENDELL LANG SR MIDDLE"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905077","HECTOR P GARCIA MIDDLE"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905079","FRANCISCO MEDRANO MIDDLE"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905083","SAM TASBY MIDDLE"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905085","KATHLYN JOY GILLIAM COLLEGIATE ACA"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905088","TRINIDAD GARZA EARLY COLLEGE AT MT"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905090","DR WRIGHT L LASSITER JR EARLY COLL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905096","JUVENILE JUSTICE AEP"," ","N","N","N","N","N","Y","N","N","DALLAS ISD","057905"
"057905099","HOSPITAL/HOMEBOUND","RESIDENTIAL FACILITY","N","Y","N","N","N","N","N","Y","DALLAS ISD","057905"
"057905100","ZAN WESLEY HOLMES JR MIDDLE"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905101","JOHN Q ADAMS EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905102","PREK PARTNERSHIP CENTER"," ","N","N","N","N","Y","N","N","N","DALLAS ISD","057905"
"057905103","GABE P ALLEN CHARTER SCHOOL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905104","WILLIAM M ANDERSON EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905105","ARCADIA PARK EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905107","JOSE 'JOE' MAY EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905108","BAYLES EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905109","W A BLAIR EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905110","ANNIE WEBB BLANTON EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905112","JAMES BOWIE EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905114","JOHN NEELY BRYAN EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905115","HARRELL BUDD EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905116","DAVID G BURNET EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905117","RUFUS C BURLESON EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905118","W W BUSHMAN EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905119","CHAPEL HILL PREPARATORY-A PERSONAL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905120","F P CAILLET EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905121","JOHN W CARPENTER EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905122","C F CARR EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905125","CASA VIEW EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905126","CENTRAL EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905128","MARTIN LUTHER KING JR LEARNING CEN"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905129","S S CONNER EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905130","LEILA P COWART EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905131","IGNACIO ZARAGOZA EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905133","BARBARA JORDAN EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905134","GEORGE B DEALEY MONTESSORI ACADEMY"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905135","EVERETTE LEE DEGOLYER EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905136","L O DONALD EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905137","JULIUS DORSEY EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905139","PAUL L DUNBAR LEARNING CENTER"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905141","JILL STONE EL AT VICKERY MEADOW"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905142","J N ERVIN EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905144","TOM W FIELD EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905145","STEPHEN C FOSTER EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905147","CHARLES A GILL EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905148","TOM C GOOCH EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905149","LENORE KIRK HALL EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905152","MARGARET B HENDERSON EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905153","VICTOR H HEXTER EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905154","LARRY G SMITH EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905155","C A TATUM JR EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905156","NATHANIEL HAWTHORNE EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905157","JAMES S HOGG EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905158","LIDA HOOE EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905159","L L HOTCHKISS EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905160","PERSONALIZED LEARNING PREPARATORY"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905161","JOHN IRELAND EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905162","MOCKINGBIRD EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905163","CEDAR CREST EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905164","ANSON JONES EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905166","EDWIN J KIEST EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905167","KLEBERG EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905168","OBADIAH KNIGHT EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905169","ARTHUR KRAMER EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905170","RICHARD LAGOW EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905171","LAKEWOOD EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905172","JIMMIE TYLER BRASHEAR EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905173","SIDNEY LANIER EXPRESSIVE ARTS VANG"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905174","GENEVA HEIGHTS EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905175","UMPHREY LEE EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905176","JACK LOWE SR EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905177","WILLIAM LIPSCOMB EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905178","H I HOLLAND EL AT LISBON"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905180","B H MACON EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905181","MAPLE LAWN EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905182","HERBERT MARCUS EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905183","THOMAS L MARSALIS EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905184","BEN MILAM EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905185","WILLIAM B MILLER EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905186","ROGER Q MILLS EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905187","NANCY MOSELEY EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905188","MOUNT AUBURN STEAM ACADEMY"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905189","CLARA OLIVER EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905190","GEORGE PEABODY EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905191","ELISHA M PEASE EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905192","JOHN F PEELER EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905193","JOHN J PERSHING EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905194","K B POLK CENTER FOR ACADEMICALLY T"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905195","PRESTON HOLLOW EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905197","JOHN H REAGAN EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905198","MARTHA TURNER REILLY EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905199","REINHARDT EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905200","JOSEPH J RHOADS LEARNING CENTER"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905201","CHARLES RICE LEARNING CENTER"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905202","ORAN M ROBERTS EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905203","DAN D ROGERS EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905204","ROSEMONT EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905205","CLINTON P RUSSELL EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905206","ALEX SANGER PREPARATORY SCHOOL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905207","SAN JACINTO EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905208","SEAGOVILLE EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905209","ASCHER SILBERSTEIN EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905210","LESLIE A STEMMONS EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905211","STEVENS PARK EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905212","HARRY STONE MONTESSORI ACADEMY"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905213","T G TERRY EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905215","R L THORNTON EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905216","EDWARD TITCHE EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905217","WILLIAM B TRAVIS VANGUARD ACAD OF"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905218","GEORGE W TRUETT EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905219","ADELLE TURNER EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905220","MARK TWAIN LEADERSHIP VANGUARD"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905222","URBAN PARK EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905224","WALNUT HILL EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905225","DANIEL WEBSTER EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905226","MARTIN WEISS EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905229","WINNETKA EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905230","HARRY C WITHERS EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905232","EDNA ROWE EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905233","NATHAN ADAMS EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905234","HENRY B GONZALEZ EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905235","BIRDIE ALEXANDER EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905236","NANCY J COCHRAN EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905237","JOHN W RUNYON EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905239","ARTURO SALAZAR EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905240","FRANK GUZICK EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905241","ELEMENTARY' DISCIPLINARY ALTERNATI"," ","N","N","N","Y","N","N","N","N","DALLAS ISD","057905"
"057905244","SEAGOVILLE NORTH EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905247","ADELFA BOTELLO CALLEJO EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905250","WHITNEY M YOUNG JR EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905260","LORENZO DE ZAVALA EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905263","J P STARKS EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905264","RONALD E MCNAIR EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905265","ELADIO R MARTINEZ LEARNING CENTER"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905266","FREDERICK DOUGLASS EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905270","EDUARDO MATA EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905271","JULIAN T SALDIVAR EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905272","MARIA MORENO EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905273","PLEASANT GROVE EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905274","MARY MCLEOD BETHUNE EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905275","LOUISE WOLFF KAHN EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905276","GILBERT CUELLAR SR EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905277","THOMAS TOLBERT EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905278","LEONIDES GONZALEZ CIGARROA MD EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905279","JERRY R JUNKINS EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905280","ANNE FRANK EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905281","CESAR CHAVEZ LEARNING CENTER"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905283","ESPERANZA MEDRANO EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905284","HIGHLAND MEADOWS EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905285","N W HARLLEE EARLY CHILDHOOD CENTER"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905286","LEE A MCSHAN JR EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905287","CELESTINO MAURICIO SOTO JR EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905289","FELIX G BOTELLO EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905300","ARLINGTON PARK EARLY CHILDHOOD CEN"," ","N","N","N","N","Y","N","Y","N","DALLAS ISD","057905"
"057905301","WILMER-HUTCHINS EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905303","THELMA ELIZABETH PAGE RICHARDSON E"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905304","GEORGE HERBERT WALKER BUSH EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905305","EBBY HALLIDAY EL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905306","SOLAR PREPARATORY SCHOOL FOR GIRLS"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905352","YOUNG WOMEN'S STEAM ACADEMY AT BAL"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905353","ANN RICHARDS STEAM ACADEMY"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905354","KENNEDY-CURRY MIDDLE"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905359","ROSEMONT MIDDLE"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905360","D A HULCY STEAM MIDDLE"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905362","IGNITE MIDDLE"," ","N","N","N","N","N","N","Y","N","DALLAS ISD","057905"
"057905363","SCHOOL FOR THE TALENTED & GIFTED I"," ","N","N","N","N","N","N","Y","N","DALLAS ISD","057905"
"057905380","WILMER-HUTCHINS H S"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
"057905381","BARACK OBAMA MALE LEADERSHIP ACAD"," ","N","N","N","N","N","N","N","N","DALLAS ISD","057905"
