CAMPUS,CPETBILC,CPETBILP,CPETGIFC,CPETGIFP,CPETSPEC,CPETSPEP,CPETVOCC,CPETVOCP
"101917047",195,27,38,5.3,75,10.4,45,6.2
"101917048",258,30.1,58,6.8,94,11,0,0
"101917049",59,6.5,99,10.9,79,8.7,0,0
"101917051",122,13,99,10.5,78,8.3,158,16.8
"101917055",10,25.6,0,0,9,23.1,0,0
"101917101",307,47.3,25,3.9,76,11.7,0,0
"101917102",346,50.3,23,3.3,79,11.5,0,0
"101917103",190,38.2,15,3,52,10.4,0,0
"101917104",288,45.2,37,5.8,65,10.2,0,0
"101917105",390,59.1,30,4.5,68,10.3,0,0
"101917106",284,40.4,39,5.5,89,12.7,0,0
"101917107",189,40.1,20,4.2,66,14,0,0
"101917108",290,43.9,25,3.8,64,9.7,0,0
"101917109",309,48.4,17,2.7,50,7.8,0,0
"101917110",216,39.7,15,2.8,51,9.4,0,0
"101917111",120,21.1,6,1.1,55,9.7,0,0
"101917112",140,30.8,31,6.8,50,11,0,0
"101917113",588,67,32,3.6,86,9.8,0,0
"101917114",192,38.2,13,2.6,52,10.4,0,0
"101917115",390,58.5,24,3.6,54,8.1,0,0
"101917116",340,49.6,10,1.5,50,7.3,0,0
"101917117",332,42.5,19,2.4,76,9.7,0,0
"101917118",309,53.6,8,1.4,59,10.2,0,0
"101917119",321,47.7,23,3.4,79,11.7,0,0
"101917120",273,49.1,15,2.7,53,9.5,0,0
"101917122",153,35.7,30,7,55,12.8,0,0
"101917123",172,25.1,45,6.6,46,6.7,0,0
"101917124",136,30.3,8,1.8,47,10.5,0,0
"101917125",213,33.4,9,1.4,45,7.1,0,0
"101917126",150,34.8,22,5.1,52,12.1,0,0
"101917127",84,17.3,43,8.9,82,16.9,0,0
"101917128",172,24.4,20,2.8,78,11,0,0
"101917129",156,36.9,15,3.5,42,9.9,0,0
"101917130",320,53,19,3.1,52,8.6,0,0
"101917131",166,39.3,13,3.1,54,12.8,0,0
"101917132",0,0,19,3.2,69,11.6,0,0
"101917133",184,37.9,15,3.1,57,11.7,0,0
"101917134",317,50.6,23,3.7,62,9.9,0,0
"101917135",155,17.6,63,7.2,100,11.4,0,0
"101917136",222,32.3,51,7.4,68,9.9,0,0
"101917137",299,45.9,48,7.4,50,7.7,0,0
"101917138",19,3.1,36,5.9,75,12.4,0,0
"101917139",87,12.8,61,9,63,9.3,0,0
"101917140",41,5.7,74,10.3,93,13,0,0
"101917141",302,36.5,57,6.9,100,12.1,0,0
"101917142",251,33,35,4.6,69,9.1,0,0
"101917143",277,35.1,41,5.2,68,8.6,0,0
"101917144",165,23,55,7.7,81,11.3,0,0
"101917145",286,34.8,49,6,96,11.7,0,0
"101917146",198,33.3,35,5.9,55,9.3,0,0
"101917147",112,18.3,40,6.5,70,11.4,0,0
"101917148",148,33.9,16,3.7,28,6.4,0,0
"101919001",233,8.2,347,12.2,302,10.6,2489,87.6
"101919002",510,17.9,195,6.8,310,10.9,2505,87.7
"101919003",390,18.2,105,4.9,191,8.9,1882,87.9
"101919018",123,8.4,365,24.8,67,4.5,1470,99.8
"101919021",16,3.8,153,36.4,3,0.7,141,33.6
"101919022",3,4.3,1,1.4,10,14.3,8,11.4
"101919043",319,28.2,46,4.1,113,10,624,55.2
"101919044",203,16.8,79,6.5,135,11.2,471,39
"101919045",143,14.5,82,8.3,103,10.5,421,42.8
"101919046",207,22,16,1.7,94,10,439,46.8
