CAMPUS,CPETBILC,CPETBILP,CPETGIFC,CPETGIFP,CPETSPEC,CPETSPEP,CPETVOCC,CPETVOCP
"001902001",1,0.5,22,11.5,37,19.3,149,77.6
"001902041",0,0,17,13.7,18,14.5,31,25
"001902103",1,0.4,15,6.3,21,8.9,0,0
"001903001",0,0,23,6.4,29,8.1,207,57.5
"001903041",0,0,8,2.8,24,8.4,25,8.7
"001903101",10,3.4,7,2.4,30,10.3,0,0
"001903102",2,0.7,8,3,24,9,0,0
"001904001",1,0.4,16,7.2,30,13.5,219,98.2
"001904041",4,2.2,12,6.7,14,7.9,0,0
"001904102",10,2.8,12,3.3,30,8.3,0,0
"001906002",3,2.5,7,5.9,10,8.4,111,93.3
"001906040",0,0,0,0,0,0,0,0
"001906102",0,0,20,7.4,25,9.3,50,18.6
"001907001",18,2.2,36,4.5,78,9.7,728,90.9
"001907041",11,2.5,20,4.5,43,9.6,71,15.8
"001907101",116,20.4,5,0.9,32,5.6,0,0
"001907102",45,20.9,0,0,11,5.1,0,0
"001907107",134,26.1,20,3.9,38,7.4,0,0
"001907110",79,11,33,4.6,53,7.4,0,0
"001908002",5,1.2,19,4.5,45,10.6,330,77.8
"001908041",7,2.9,11,4.6,35,14.6,0,0
"001908101",31,6.2,16,3.2,44,8.7,0,0
"001908102",32,7.4,6,1.4,36,8.3,0,0
"001909001",1,0.5,8,3.9,28,13.5,164,79.2
"001909101",0,0,9,4.4,21,10.2,0,0
"002901001",29,3.1,46,4.9,78,8.2,605,63.8
"002901002",0,0,0,0,2,5,24,60
"002901041",34,4.2,44,5.4,45,5.5,0,0
"002901101",128,21.8,12,2,33,5.6,0,0
"002901104",132,21.4,17,2.8,57,9.2,0,0
"002901105",179,23.9,0,0,33,4.4,0,0
"003801001",1,0.4,0,0,22,9.1,39,16.1
"003801103",20,4.4,22,4.8,24,5.2,0,0
"003902001",6,0.8,53,6.7,47,6,673,85.6
"003902004",0,0,0,0,0,0,2,28.6
"003902041",29,4.5,69,10.7,50,7.8,0,0
"003902101",90,12.7,4,0.6,39,5.5,0,0
"003902102",57,9.1,37,5.9,36,5.8,0,0
"003903001",188,8.8,285,13.3,326,15.3,1297,60.7
"003903004",2,3,0,0,13,19.4,8,11.9
"003903044",280,16.5,165,9.7,216,12.7,309,18.2
"003903120",30,10.9,0,0,39,14.1,0,0
"003903121",21,5,216,51.3,34,8.1,0,0
"003903122",29,9.7,0,0,51,17.1,0,0
"003903123",159,50,0,0,22,6.9,0,0
"003903124",20,5.3,200,53.3,15,4,0,0
"003903125",224,57.3,0,0,5,1.3,0,0
"003903126",91,35,0,0,0,0,0,0
"003903127",65,15.8,0,0,83,20.1,0,0
"003903128",60,16,0,0,18,4.8,0,0
"003903129",308,72,0,0,25,5.8,0,0
"003903130",33,8.1,0,0,17,4.2,0,0
"003903131",403,77.9,0,0,15,2.9,0,0
"003903201",0,0,0,0,1,25,0,0
"003904001",2,0.4,49,9,61,11.2,446,81.5
"003904005",0,0,0,0,11,15.7,52,74.3
"003904041",2,0.5,31,7.8,36,9,89,22.3
"003904101",11,2.2,16,3.2,45,8.9,0,0
"003904102",1,0.4,6,2.5,22,9.2,0,0
"003905001",25,4.9,28,5.5,63,12.4,430,84.5
"003905004",0,0,0,0,3,33.3,2,22.2
"003905041",24,9.2,17,6.5,29,11.1,0,0
"003905101",171,29.3,15,2.6,44,7.5,0,0
"003905102",58,30.5,0,0,12,6.3,0,0
"003905103",79,18.5,25,5.8,35,8.2,0,0
"003906001",0,0,11,5,29,13.1,122,55
"003906101",0,0,8,4.3,17,9,0,0
"003907001",2,0.4,22,4.9,55,12.1,398,87.9
"003907004",0,0,0,0,0,0,0,0
"003907041",8,1.6,28,5.7,49,9.9,0,0
"003907102",37,5.8,18,2.8,53,8.2,0,0
"004901001",7,0.8,35,3.8,76,8.2,746,80.7
"004901041",24,3.2,34,4.5,66,8.8,93,12.4
"004901101",26,5.4,32,6.6,51,10.5,0,0
"004901102",22,6.9,0,0,26,8.2,0,0
"004901103",42,5.7,24,3.3,61,8.3,0,0
"005901001",2,0.8,20,8.4,26,10.9,152,63.9
"005901101",4,1.6,15,6,28,11.2,0,0
"005902001",0,0,11,4,24,8.8,224,81.8
"005902041",0,0,10,4.6,18,8.3,0,0
"005902101",1,0.3,12,3,47,11.8,0,0
"005904001",2,1.2,23,14,15,9.1,155,94.5
"005904041",2,1.8,8,7.1,9,8,16,14.2
"005904101",35,19,7,3.8,11,6,0,0
"006902001",0,0,10,5,30,15.1,102,51.3
"006902101",3,1.8,0,0,15,8.8,0,0
"007901001",6,4.3,0,0,16,11.3,118,83.7
"007901041",4,2.5,6,3.7,19,11.7,0,0
"007901101",15,6.5,7,3,14,6.1,0,0
"007902001",5,1.1,36,7.6,36,7.6,415,87.2
"007902004",0,0,0,0,0,0,0,0
"007902005",0,0,0,0,1,10,2,20
"007902006",0,0,0,0,1,25,2,50
"007902041",7,1.9,24,6.7,30,8.4,35,9.7
"007902101",23,3.3,28,4,60,8.5,0,0
"007904001",15,2.9,35,6.8,38,7.4,448,86.8
"007904002",3,33.3,1,11.1,1,11.1,0,0
"007904041",32,8.3,21,5.5,22,5.7,94,24.5
"007904101",49,9.4,27,5.2,28,5.4,0,0
"007904103",34,10.2,0,0,27,8.1,0,0
"007905001",23,2.4,58,6,82,8.5,839,86.9
"007905005",0,0,0,0,0,0,0,0
"007905007",0,0,0,0,0,0,6,54.5
"007905041",15,2.8,36,6.6,42,7.7,83,15.3
"007905103",33,4.1,34,4.2,58,7.2,0,0
"007905104",12,2.3,32,6.3,36,7,0,0
"007905105",29,4.3,1,0.1,24,3.6,0,0
"007906001",16,3.4,41,8.8,48,10.3,404,86.5
"007906041",8,2,27,6.7,40,10,231,57.6
"007906101",32,5,10,1.6,25,3.9,0,0
"007906102",9,3.7,11,4.5,17,6.9,0,0
"008901001",9,1.5,61,10.1,55,9.1,530,87.6
"008901041",32,6.4,72,14.5,39,7.8,28,5.6
"008901101",88,15.1,44,7.5,38,6.5,0,0
"008901102",25,8.9,36,12.9,26,9.3,0,0
"008901105",18,11.6,22,14.2,11,7.1,0,0
"008902001",32,4,73,9.2,80,10.1,558,70.5
"008902041",44,6.9,44,6.9,37,5.8,0,0
"008902102",200,21.8,17,1.9,75,8.2,0,0
"008902103",47,11.3,20,4.8,29,7,0,0
"008903001",7,2.9,4,1.7,16,6.7,206,86.6
"008903041",9,4.9,5,2.7,9,4.9,9,4.9
"008903102",79,19.8,10,2.5,18,4.5,0,0
"009901001",23,6.8,23,6.8,38,11.3,311,92.3
"009901002",1,7.1,0,0,2,14.3,12,85.7
"009901041",31,9.5,11,3.4,30,9.1,0,0
"009901101",56,17.2,5,1.5,34,10.5,0,0
"009901103",162,35.4,0,0,45,9.8,0,0
"010901001",4,3,10,7.5,19,14.3,76,57.1
"010901101",12,8.8,6,4.4,10,7.3,0,0
"010902001",3,0.4,74,10.2,68,9.4,583,80.4
"010902041",16,3.1,30,5.8,42,8.1,48,9.2
"010902101",52,8.9,17,2.9,58,9.9,0,0
"010902102",18,3.4,19,3.5,61,11.4,0,0
"011901001",46,3.8,189,15.7,131,10.9,649,54
"011901002",129,9.3,106,7.6,153,11,804,57.9
"011901022",6,7.5,0,0,13,16.3,34,42.5
"011901033",2,10.5,0,0,5,26.3,8,42.1
"011901041",44,6.3,86,12.3,79,11.3,0,0
"011901101",17,2.9,21,3.6,67,11.5,0,0
"011901102",28,5.4,27,5.3,46,8.9,0,0
"011901103",406,53.6,20,2.6,51,6.7,0,0
"011901104",67,10.2,52,7.9,90,13.7,0,0
"011901106",119,15.4,91,11.8,85,11,0,0
"011901107",296,44.4,19,2.8,72,10.8,0,0
"011901108",185,23.6,83,10.6,99,12.6,0,0
"011901109",244,32.6,29,3.9,65,8.7,0,0
"011901110",313,46.4,21,3.1,76,11.3,0,0
"011902001",68,5.5,85,6.9,109,8.9,894,72.7
"011902003",0,0,0,0,0,0,0,0
"011902004",4,8.5,1,2.1,7,14.9,2,4.3
"011902041",92,9.9,107,11.5,100,10.8,41,4.4
"011902101",200,31.9,41,6.5,43,6.9,0,0
"011902102",296,38.3,62,8,46,6,0,0
"011902103",118,20.7,65,11.4,53,9.3,0,0
"011904002",7,1.3,33,6.1,55,10.2,426,78.9
"011904041",12,2.9,44,10.8,39,9.6,0,0
"011904101",24,6.1,40,10.2,40,10.2,0,0
"011904102",30,6.5,10,2.2,26,5.6,0,0
"011905101",53,25.2,8,3.8,14,6.7,0,0
"012901001",0,0,12,7.7,11,7.1,155,100
"012901042",0,0,6,3.6,19,11.3,0,0
"012901101",0,0,3,1.2,32,13,0,0
"013801101",2,0.5,16,3.7,30,6.9,0,0
"013901001",7,0.7,81,8.6,78,8.3,811,86
"013901041",8,1.4,45,8.2,57,10.3,267,48.4
"013901101",22,4.8,21,4.6,31,6.8,0,0
"013901102",31,6,13,2.5,54,10.5,0,0
"013901104",15,3,36,7.1,62,12.3,0,0
"013901105",13,3.3,0,0,29,7.4,0,0
"013902101",1,0.6,7,4.3,15,9.1,0,0
"013903001",1,0.4,12,4.9,30,12.2,136,55.5
"013903101",2,1,7,3.6,26,13.5,0,0
"013905001",1,0.4,19,7.7,26,10.5,212,85.8
"013905041",3,1.5,16,7.8,18,8.8,27,13.2
"013905101",7,2.1,3,0.9,37,10.9,0,0
"014801001",1,0.8,0,0,23,17.4,37,28
"014802001",0,0,0,0,6,6.6,26,28.6
"014803001",0,0,0,0,16,10,0,0
"014803002",0,0,0,0,14,10,2,1.4
"014803003",0,0,0,0,8,7.5,0,0
"014803004",0,0,0,0,14,10.1,0,0
"014803101",0,0,0,0,38,11.2,21,6.2
"014804002",1,2.2,0,0,26,56.5,0,0
"014804003",1,3.4,0,0,10,34.5,0,0
"014804004",1,2,0,0,39,76.5,0,0
"014804005",0,0,0,0,6,9.2,2,3.1
"014804006",7,0.7,0,0,66,6.5,1,0.1
"014901001",1,0.3,36,9.8,32,8.7,284,77
"014901041",13,3.3,46,11.7,30,7.6,0,0
"014901101",41,8.1,18,3.6,28,5.5,0,0
"014902001",43,10.9,7,1.8,37,9.4,132,33.4
"014903001",94,3.6,247,9.5,271,10.4,1855,71.5
"014903005",3,0.9,43,13.6,17,5.4,267,84.5
"014903042",36,4.7,123,16,114,14.9,24,3.1
"014903043",13,1.6,93,11.1,91,10.9,27,3.2
"014903044",61,7.6,81,10,102,12.7,24,3
"014903102",4,1.2,31,9.5,36,11,0,0
"014903103",26,5.9,11,2.5,61,13.9,0,0
"014903104",148,30.3,22,4.5,27,5.5,0,0
"014903108",7,1.1,58,9.3,51,8.1,0,0
"014903109",58,8.2,59,8.3,47,6.6,0,0
"014903111",11,1.6,48,6.8,77,11,0,0
"014903114",213,37.6,18,3.2,76,13.4,0,0
"014903116",16,3,14,2.6,48,8.9,0,0
"014903117",7,1.2,24,4.1,64,10.9,0,0
"014905001",2,1,28,14.7,19,9.9,184,96.3
"014905041",3,1.8,10,6,9,5.4,0,0
"014905101",14,5.1,4,1.5,23,8.4,0,0
"014906001",87,4,155,7.1,284,12.9,1093,49.8
"014906002",66,2.6,171,6.8,339,13.4,1559,61.8
"014906004",2,2.5,0,0,11,13.8,46,57.5
"014906006",12,4.9,5,2.1,27,11.1,90,37
"014906007",50,2.2,190,8.3,215,9.4,1265,55.3
"014906008",78,3.6,75,3.4,291,13.3,1077,49.2
"014906009",2,3.8,0,0,11,21.2,0,0
"014906022",0,0,1,4.8,15,71.4,1,4.8
"014906025",0,0,0,0,4,12.9,0,0
"014906026",0,0,0,0,0,0,0,0
"014906042",88,13.2,11,1.7,100,15,119,17.9
"014906043",45,6.6,21,3.1,121,17.7,115,16.8
"014906044",55,7.6,29,4,122,16.9,125,17.3
"014906045",32,5.1,18,2.9,84,13.5,98,15.7
"014906046",40,5.3,56,7.4,103,13.7,134,17.8
"014906048",57,6.5,35,4,126,14.3,141,16
"014906049",20,2.3,51,5.8,103,11.8,150,17.2
"014906050",33,4.2,19,2.4,109,13.8,116,14.7
"014906051",22,2.5,70,7.9,77,8.6,154,17.3
"014906052",13,2.7,33,6.9,64,13.3,74,15.4
"014906053",38,3.5,59,5.4,103,9.4,182,16.6
"014906100",0,0,0,0,5,31.3,0,0
"014906102",184,37.6,11,2.2,46,9.4,0,0
"014906103",69,14.7,4,0.9,75,16,0,0
"014906104",35,9.7,2,0.6,41,11.4,0,0
"014906105",174,22.9,10,1.3,74,9.7,0,0
"014906108",23,3.2,24,3.3,68,9.3,0,0
"014906109",287,41.3,3,0.4,65,9.4,0,0
"014906110",180,23.3,6,0.8,73,9.5,0,0
"014906111",41,8.2,8,1.6,41,8.2,0,0
"014906112",86,17.4,4,0.8,67,13.6,0,0
"014906113",49,8,4,0.7,91,14.9,0,0
"014906115",36,5.2,44,6.4,76,11,0,0
"014906116",23,4,6,1,41,7.1,0,0
"014906117",35,5.9,9,1.5,32,5.4,0,0
"014906119",38,5.6,12,1.8,77,11.3,0,0
"014906120",65,6.7,5,0.5,72,7.4,0,0
"014906121",50,6.8,58,7.9,53,7.2,0,0
"014906122",87,9.7,26,2.9,97,10.9,0,0
"014906123",38,5.1,28,3.8,72,9.7,0,0
"014906124",48,6.5,14,1.9,56,7.5,0,0
"014906125",38,5.8,16,2.4,70,10.6,0,0
"014906126",35,6.6,12,2.3,85,16,0,0
"014906127",116,13.5,7,0.8,82,9.5,0,0
"014906128",27,4.7,6,1.1,79,13.9,0,0
"014906129",74,9.5,18,2.3,89,11.5,0,0
"014906130",49,6.3,21,2.7,72,9.2,0,0
"014906131",68,6.9,23,2.3,97,9.8,0,0
"014906132",90,14,5,0.8,69,10.7,0,0
"014906133",56,5.4,35,3.3,97,9.3,0,0
"014906135",77,6.5,29,2.5,119,10.1,0,0
"014906136",52,5.3,27,2.7,112,11.4,0,0
"014906137",62,10.7,29,5,76,13.1,0,0
"014906138",93,8.2,21,1.8,70,6.1,0,0
"014907001",2,0.7,34,11.1,28,9.1,267,87
"014907041",5,2.7,15,8.1,15,8.1,34,18.3
"014907102",24,6.5,17,4.6,19,5.1,0,0
"014908001",20,4.2,27,5.7,28,5.9,329,69
"014908005",0,0,0,0,0,0,0,0
"014908041",30,7,26,6,24,5.6,0,0
"014908042",13,5.8,14,6.2,17,7.5,45,19.9
"014908101",37,11.2,6,1.8,17,5.1,0,0
"014909002",56,2.9,258,13.5,194,10.2,1249,65.4
"014909005",3,5.6,0,0,6,11.1,16,29.6
"014909008",7,9.5,0,0,5,6.8,13,17.6
"014909041",20,3.2,59,9.4,48,7.7,109,17.4
"014909042",52,8,68,10.4,55,8.4,0,0
"014909044",53,10.2,50,9.6,61,11.7,99,19
"014909101",92,13.9,0,0,46,7,0,0
"014909102",19,4.8,20,5.1,31,7.8,0,0
"014909107",142,18.8,34,4.5,43,5.7,0,0
"014909110",15,3.1,31,6.4,58,12.1,0,0
"014909111",15,2.8,43,8.1,47,8.8,0,0
"014909114",8,1.7,17,3.6,52,11,0,0
"014909116",21,4.4,29,6.1,44,9.3,0,0
"014909117",8,1.5,81,15.3,41,7.8,0,0
"014909118",326,64.3,17,3.4,33,6.5,0,0
"014910001",4,1,39,9.6,31,7.6,327,80.1
"014910041",7,2,24,7,39,11.3,0,0
"014910101",20,4.8,16,3.8,40,9.5,0,0
"014910103",8,3.1,4,1.5,24,9.2,0,0
"015801001",1,0.5,0,0,31,16.3,88,46.3
"015801002",0,0,0,0,7,14.6,31,64.6
"015801003",0,0,0,0,14,21.5,37,56.9
"015802001",274,22.2,0,0,28,2.3,58,4.7
"015802004",2,2.5,0,0,12,15,0,0
"015803101",48,9.9,0,0,28,5.8,48,9.9
"015805041",14,6.1,0,0,22,9.6,0,0
"015805101",15,10.9,0,0,16,11.6,0,0
"015805102",33,13.3,0,0,16,6.5,0,0
"015806001",3,3.8,0,0,18,23.1,61,78.2
"015806003",5,6.2,0,0,2,2.5,61,75.3
"015806041",23,12.2,0,0,17,9,85,45.2
"015806101",95,22.8,0,0,12,2.9,0,0
"015806103",27,14.9,0,0,32,17.7,0,0
"015806105",12,4,0,0,8,2.7,0,0
"015806106",9,6.5,0,0,5,3.6,0,0
"015807001",6,3.9,11,7.2,25,16.4,89,58.6
"015807002",6,4.5,2,1.5,22,16.4,96,71.6
"015807004",10,5.4,12,6.5,23,12.5,134,72.8
"015807005",2,8.3,1,4.2,4,16.7,3,12.5
"015807101",29,21.8,0,0,6,4.5,0,0
"015808001",4,3,0,0,64,48.1,0,0
"015808003",4,5.1,0,0,16,20.3,0,0
"015808005",10,6,0,0,92,55.1,0,0
"015808006",6,9.7,0,0,17,27.4,0,0
"015808007",2,4.2,0,0,11,22.9,0,0
"015809101",95,18.8,0,0,58,11.5,0,0
"015814001",3,1.6,0,0,25,13.7,5,2.7
"015815001",24,21.1,0,0,5,4.4,0,0
"015815041",55,22.3,0,0,13,5.3,179,72.5
"015815101",2,8.7,0,0,6,26.1,0,0
"015815103",10,7.2,0,0,5,3.6,0,0
"015815104",5,15.2,0,0,6,18.2,0,0
"015816001",8,4.4,0,0,16,8.8,181,99.5
"015819002",3,2.4,0,0,21,16.5,63,49.6
"015819102",11,5.5,0,0,3,1.5,0,0
"015819105",1,0.8,0,0,12,9.8,43,35
