CAMPUS,CAMPNAME,CFLALTED,CFLCHART,DISTNAME,DISTRICT,GRDSPAN,GRDTYPE
"003903044","LUFKIN MIDDLE","N","N","LUFKIN ISD","003903","06 - 08","M"
"003903120","ANDERSON EL","N","N","LUFKIN ISD","003903","03 - 05","E"
"003903121","BRANDON EL","N","N","LUFKIN ISD","003903","03 - 05","E"
"003903122","BROOKHOLLOW EL","N","N","LUFKIN ISD","003903","03 - 05","E"
"003903123","COSTON EL","N","N","LUFKIN ISD","003903","03 - 05","E"
"003903124","DUNBAR PRI","N","N","LUFKIN ISD","003903","KG - 02","E"
"003903125","GARRETT PRI","N","N","LUFKIN ISD","003903","PK - PK","E"
"003903126","HACKNEY PRI","N","N","LUFKIN ISD","003903","PK - PK","E"
"003903127","HERTY PRI","N","N","LUFKIN ISD","003903","EE - 02","E"
"003903128","KURTH PRI","N","N","LUFKIN ISD","003903","KG - 02","E"
"003903129","SLACK EL","N","N","LUFKIN ISD","003903","02 - 05","E"
"003903130","TROUT PRI","N","N","LUFKIN ISD","003903","EE - 02","E"
"003903131","BURLEY PRI","N","N","LUFKIN ISD","003903","KG - 02","E"
"003903141","SPECIAL SERVICES","N","N","LUFKIN ISD","003903","EE - 06","E"
"003903201","JUVENILE DETENT CTR","Y","N","LUFKIN ISD","003903","06 - 12","B"
"003904001","HUNTINGTON H S","N","N","HUNTINGTON ISD","003904","09 - 12","S"
"003904005","PRIDE ALTER SCH","Y","N","HUNTINGTON ISD","003904","09 - 12","S"
"003904041","HUNTINGTON MIDDLE","N","N","HUNTINGTON ISD","003904","06 - 08","M"
"003904101","HUNTINGTON EL","N","N","HUNTINGTON ISD","003904","EE - 03","E"
"003904102","HUNTINGTON INT","N","N","HUNTINGTON ISD","003904","04 - 05","E"
"003905001","DIBOLL H S","N","N","DIBOLL ISD","003905","09 - 12","S"
"003905004","STUBBLEFIELD LRN CTR","Y","N","DIBOLL ISD","003905","10 - 12","S"
"003905041","DIBOLL J H","N","N","DIBOLL ISD","003905","06 - 08","M"
"003905101","H G TEMPLE EL","N","N","DIBOLL ISD","003905","KG - 02","E"
"003905102","DIBOLL PRI","N","N","DIBOLL ISD","003905","PK - PK","E"
"003905103","H G TEMPLE INT","N","N","DIBOLL ISD","003905","03 - 05","E"
"003906001","ZAVALLA H S","N","N","ZAVALLA ISD","003906","06 - 12","B"
