CAMPUS,CAMPNAME,CFLALTED,CFLCHART,DISTNAME,DISTRICT,GRDSPAN,GRDTYPE
"020908114","MAGNOLIA EL","N","N","PEARLAND ISD","020908","EE - 04","E"
"020908115","ALEXANDER MIDDLE","N","N","PEARLAND ISD","020908","05 - 06","M"
"020910101","DAMON EL","N","N","DAMON ISD","020910","PK - 08","E"
"021803001","BRAZOS SCHOOL FOR INQUIRY AND CREA","N","Y","BRAZOS SCHOOL FOR INQUIRY & CREATI","021803","PK - 08","E"
"021803102","BRAZOS SCHOOL FOR INQUIRY AND CREA","N","Y","BRAZOS SCHOOL FOR INQUIRY & CREATI","021803","PK - 06","E"
"021805041","ARROW ACADEMY - SAVE OUR STREETS C","N","Y","ARROW ACADEMY","021805","KG - 06","E"
"021805101","ARROW ACADEMY - LIBERATION ACADEMY","N","Y","ARROW ACADEMY","021805","KG - 06","E"
"021805102","ARROW ACADEMY - HARVEST PREPARATOR","N","Y","ARROW ACADEMY","021805","KG - 06","E"
"021805105","ARROW ACADEMY - CHAMPIONS ACADEMY","N","Y","ARROW ACADEMY","021805","KG - 06","E"
"021901001","A & M CONS H S","N","N","COLLEGE STATION ISD","021901","09 - 12","S"
"021901003","COLLEGE STATION H S","N","N","COLLEGE STATION ISD","021901","09 - 12","S"
"021901004","COLLEGE VIEW H S","N","N","COLLEGE STATION ISD","021901","09 - 12","S"
"021901015","COLLEGE STATION JJAEP","N","N","COLLEGE STATION ISD","021901","08 - 11","S"
"021901041","COLLEGE STATION MIDDLE","N","N","COLLEGE STATION ISD","021901","07 - 08","M"
"021901042","A & M CONSOLIDATED MIDDLE","N","N","COLLEGE STATION ISD","021901","07 - 08","M"
"021901043","WELLBORN MIDDLE","N","N","COLLEGE STATION ISD","021901","07 - 08","M"
"021901101","SOUTH KNOLL EL","N","N","COLLEGE STATION ISD","021901","EE - 04","E"
"021901102","COLLEGE HILLS EL","N","N","COLLEGE STATION ISD","021901","EE - 04","E"
"021901104","SOUTHWOOD VALLEY EL","N","N","COLLEGE STATION ISD","021901","EE - 04","E"
"021901105","ROCK PRAIRIE EL","N","N","COLLEGE STATION ISD","021901","EE - 04","E"
"021901107","PEBBLE CREEK EL","N","N","COLLEGE STATION ISD","021901","PK - 04","E"
"021901108","FOREST RIDGE","N","N","COLLEGE STATION ISD","021901","EE - 04","E"
"021901109","CREEK VIEW EL","N","N","COLLEGE STATION ISD","021901","EE - 04","E"
"021901110","GREENS PRAIRIE EL","N","N","COLLEGE STATION ISD","021901","EE - 04","E"
"021901111","SPRING CREEK EL","N","N","COLLEGE STATION ISD","021901","EE - 04","E"
"021901112","RIVER BEND EL","N","N","COLLEGE STATION ISD","021901","PK - 04","E"
"021901201","OAKWOOD INT","N","N","COLLEGE STATION ISD","021901","05 - 06","M"
"021901202","CYPRESS GROVE INT","N","N","COLLEGE STATION ISD","021901","05 - 06","M"
"021901203","PECAN TRAIL INT","N","N","COLLEGE STATION ISD","021901","05 - 06","M"
"021902001","TRAVIS B BRYAN H S","N","N","BRYAN ISD","021902","09 - 12","S"
"021902002","JAMES EARL RUDDER H S","N","N","BRYAN ISD","021902","09 - 12","S"
"021902003","BRYAN COLLEGIATE H S","N","N","BRYAN ISD","021902","09 - 12","S"
"021902012","DISCIPLINARY ALTERNATIVE EDUCATION","N","N","BRYAN ISD","021902","07 - 12","S"
"021902014","BRAZOS CO JUVENILE DETENTION CENTE","Y","N","BRYAN ISD","021902","04 - 12","B"
"021902015","BRAZOS COUNTY JJAEP","N","N","BRYAN ISD","021902","06 - 11","B"
"021902017","THE MARY CATHERINE HARRIS SCHOOL-S","Y","N","BRYAN ISD","021902","07 - 12","S"
"021902041","STEPHEN F AUSTIN","N","N","BRYAN ISD","021902","07 - 08","M"
"021902045","JANE LONG","N","N","BRYAN ISD","021902","05 - 06","M"
"021902046","SAM RAYBURN","N","N","BRYAN ISD","021902","05 - 06","M"
"021902047","ARTHUR L DAVILA MIDDLE","N","N","BRYAN ISD","021902","07 - 08","M"
"021902101","KEMP-CARVER EL","N","N","BRYAN ISD","021902","EE - 04","E"
"021902103","BONHAM EL","N","N","BRYAN ISD","021902","PK - 04","E"
"021902105","CROCKETT EL","N","N","BRYAN ISD","021902","EE - 04","E"
"021902106","FANNIN EL","N","N","BRYAN ISD","021902","PK - 04","E"
"021902107","HENDERSON EL","N","N","BRYAN ISD","021902","PK - 04","E"
"021902108","JOHNSON EL","N","N","BRYAN ISD","021902","PK - 04","E"
"021902110","SUL ROSS EL","N","N","BRYAN ISD","021902","PK - 04","E"
"021902112","SAM HOUSTON EL","N","N","BRYAN ISD","021902","PK - 04","E"
"021902113","NAVARRO EL","N","N","BRYAN ISD","021902","PK - 04","E"
"021902114","MARY BRANCH EL","N","N","BRYAN ISD","021902","PK - 04","E"
"021902115","ANSON JONES EL","N","N","BRYAN ISD","021902","EE - 04","E"
"021902117","ALTON BOWEN EL","N","N","BRYAN ISD","021902","PK - 04","E"
"021902118","NEAL EL","N","N","BRYAN ISD","021902","PK - 04","E"
"021902119","MITCHELL EL","N","N","BRYAN ISD","021902","PK - 04","E"
"022004001","BIG BEND H S","N","N","TERLINGUA CSD","022004","PK - 12","B"
"022901001","ALPINE H S","N","N","ALPINE ISD","022901","09 - 12","S"
"022901041","ALPINE MIDDLE","N","N","ALPINE ISD","022901","05 - 08","M"
"022901101","ALPINE EL","N","N","ALPINE ISD","022901","EE - 04","E"
"022902001","MARATHON INDEPENDENT SCHOOL DIST","N","N","MARATHON ISD","022902","EE - 12","B"
"022903101","SAN VICENTE EL","N","N","SAN VICENTE ISD","022903","PK - 08","E"
"023902001","SILVERTON SCHOOL","N","N","SILVERTON ISD","023902","PK - 12","B"
"024901001","FALFURRIAS H S","N","N","BROOKS COUNTY ISD","024901","09 - 12","S"
"024901041","FALFURRIAS J H","N","N","BROOKS COUNTY ISD","024901","06 - 08","M"
"024901101","FALFURRIAS EL","N","N","BROOKS COUNTY ISD","024901","03 - 05","E"
"024901103","LASATER EL","N","N","BROOKS COUNTY ISD","024901","PK - KG","E"
"024901105","FALFURRIAS INNOVATION ACADEMY","N","N","BROOKS COUNTY ISD","024901","01 - 02","E"
"025901001","BANGS H S","N","N","BANGS ISD","025901","09 - 12","S"
"025901041","BANGS MIDDLE","N","N","BANGS ISD","025901","05 - 08","M"
"025901101","J B STEPHENS EL","N","N","BANGS ISD","025901","EE - 04","E"
"025902001","BROWNWOOD H S","N","N","BROWNWOOD ISD","025902","09 - 12","S"
"025902003","BROWNWOOD ACCELERATED H S","Y","N","BROWNWOOD ISD","025902","09 - 12","S"
"025902041","BROWNWOOD MIDDLE","N","N","BROWNWOOD ISD","025902","07 - 08","M"
"025902101","COGGIN INT","N","N","BROWNWOOD ISD","025902","04 - 06","E"
"025902106","NORTHWEST EL","N","N","BROWNWOOD ISD","025902","EE - 03","E"
"025902107","WOODLAND HEIGHTS EL","N","N","BROWNWOOD ISD","025902","PK - 03","E"
"025902109","EAST EL","N","N","BROWNWOOD ISD","025902","PK - 03","E"
"025904001","BLANKET SCHOOL","N","N","BLANKET ISD","025904","EE - 12","B"
"025905001","MAY H S","N","N","MAY ISD","025905","07 - 12","S"
"025905101","MAY EL","N","N","MAY ISD","025905","PK - 06","E"
"025906001","ZEPHYR SCHOOL","N","N","ZEPHYR ISD","025906","PK - 12","B"
"025908001","BROOKESMITH SCHOOL","N","N","BROOKESMITH ISD","025908","PK - 12","B"
"025908003","GENESIS CAMPUS","Y","N","BROOKESMITH ISD","025908","06 - 12","B"
"025909001","EARLY H S","N","N","EARLY ISD","025909","09 - 12","S"
"025909041","EARLY MIDDLE","N","N","EARLY ISD","025909","06 - 08","M"
"025909101","EARLY EL","N","N","EARLY ISD","025909","03 - 05","E"
"025909102","EARLY PRI","N","N","EARLY ISD","025909","EE - 02","E"
"026901001","CALDWELL H S","N","N","CALDWELL ISD","026901","09 - 12","S"
"026901041","CALDWELL MIDDLE","N","N","CALDWELL ISD","026901","07 - 08","M"
"026901042","CALDWELL INT","N","N","CALDWELL ISD","026901","04 - 06","E"
"026901101","CALDWELL EL","N","N","CALDWELL ISD","026901","EE - 03","E"
"026902001","SOMERVILLE H S","N","N","SOMERVILLE ISD","026902","08 - 12","S"
"026902042","SOMERVILLE INT","N","N","SOMERVILLE ISD","026902","05 - 07","M"
"026902101","SOMERVILLE EL","N","N","SOMERVILLE ISD","026902","PK - 04","E"
"026903002","SNOOK SECONDARY","N","N","SNOOK ISD","026903","06 - 12","B"
"026903101","SNOOK EL","N","N","SNOOK ISD","026903","PK - 05","E"
"027903001","BURNET H S","N","N","BURNET CISD","027903","09 - 12","S"
"027903003","QUEST H S","Y","N","BURNET CISD","027903","09 - 12","S"
"027903041","BURNET MIDDLE","N","N","BURNET CISD","027903","06 - 08","M"
"027903101","SHADY GROVE EL","N","N","BURNET CISD","027903","EE - 02","E"
"027903102","BERTRAM EL","N","N","BURNET CISD","027903","PK - 05","E"
"027903104","RJ RICHEY EL","N","N","BURNET CISD","027903","03 - 05","E"
"027904001","MARBLE FALLS H S","N","N","MARBLE FALLS ISD","027904","09 - 12","S"
"027904002","FALLS CAREER H S","Y","N","MARBLE FALLS ISD","027904","10 - 12","S"
"027904041","MARBLE FALLS MIDDLE","N","N","MARBLE FALLS ISD","027904","06 - 08","M"
"027904101","MARBLE FALLS EL","N","N","MARBLE FALLS ISD","027904","PK - 05","E"
"027904102","COLT EL","N","N","MARBLE FALLS ISD","027904","EE - 05","E"
"027904103","HIGHLAND LAKES EL","N","N","MARBLE FALLS ISD","027904","PK - 05","E"
"027904104","SPICEWOOD EL","N","N","MARBLE FALLS ISD","027904","PK - 05","E"
"028902001","LOCKHART H S","N","N","LOCKHART ISD","028902","09 - 12","S"
"028902038","LOCKHART PRIDE H S","Y","N","LOCKHART ISD","028902","09 - 12","S"
"028902045","LOCKHART J H","N","N","LOCKHART ISD","028902","06 - 08","M"
"028902101","CLEAR FORK EL","N","N","LOCKHART ISD","028902","KG - 05","E"
"028902102","GEORGE W CARVER EARLY EDUCATION CE","N","N","LOCKHART ISD","028902","EE - PK","E"
"028902103","NAVARRO EL","N","N","LOCKHART ISD","028902","KG - 05","E"
"028902104","PLUM CREEK EL","N","N","LOCKHART ISD","028902","KG - 05","E"
"028902105","BLUEBONNET EL","N","N","LOCKHART ISD","028902","KG - 05","E"
"028902106","ALMA BREWER STRAWN EL","N","N","LOCKHART ISD","028902","KG - 05","E"
"028903001","LULING H S","N","N","LULING ISD","028903","09 - 12","S"
"028903041","GILBERT GERDES J H","N","N","LULING ISD","028903","06 - 08","M"
"028903101","LEONARD SHANKLIN EL","N","N","LULING ISD","028903","02 - 05","E"
"028903104","LULING PRI","N","N","LULING ISD","028903","PK - 01","E"
"028906001","PRAIRIE LEA SCHOOL","N","N","PRAIRIE LEA ISD","028906","EE - 12","B"
"029901001","CALHOUN H S","N","N","CALHOUN COUNTY ISD","029901","09 - 12","S"
"029901003","HOPE H S","Y","N","CALHOUN COUNTY ISD","029901","09 - 12","S"
"029901043","TRAVIS MIDDLE","N","N","CALHOUN COUNTY ISD","029901","06 - 08","M"
"029901101","HARRISON/JEFFERSON/MADISON COMPLEX","N","N","CALHOUN COUNTY ISD","029901","EE - 05","E"
"029901102","JACKSON/ROOSEVELT COMPLEX","N","N","CALHOUN COUNTY ISD","029901","PK - 05","E"
"029901105","PORT O CONNOR EL","N","N","CALHOUN COUNTY ISD","029901","PK - 05","E"
"029901107","SEADRIFT SCHOOL","N","N","CALHOUN COUNTY ISD","029901","PK - 08","E"
"030901001","CROSS PLAINS H S","N","N","CROSS PLAINS ISD","030901","07 - 12","S"
"030901101","CROSS PLAINS EL","N","N","CROSS PLAINS ISD","030901","EE - 06","E"
"030902001","CLYDE H S","N","N","CLYDE CISD","030902","09 - 12","S"
"030902041","CLYDE J H","N","N","CLYDE CISD","030902","06 - 08","M"
"030902101","CLYDE EL","N","N","CLYDE CISD","030902","EE - 02","E"
"030902103","CLYDE INT","N","N","CLYDE CISD","030902","03 - 05","E"
"030903001","BAIRD H S","N","N","BAIRD ISD","030903","09 - 12","S"
"030903041","BAIRD MIDDLE","N","N","BAIRD ISD","030903","06 - 08","M"
"030903101","BAIRD EL","N","N","BAIRD ISD","030903","EE - 05","E"
"030906001","EULA H S","N","N","EULA ISD","030906","09 - 12","S"
"030906041","EULA J H","N","N","EULA ISD","030906","07 - 08","M"
"030906101","EULA EL","N","N","EULA ISD","030906","PK - 06","E"
"031901001","HANNA EARLY COLLEGE H S","N","N","BROWNSVILLE ISD","031901","09 - 12","S"
"031901002","PORTER EARLY COLLEGE H S","N","N","BROWNSVILLE ISD","031901","09 - 12","S"
"031901003","PACE EARLY COLLEGE H S","N","N","BROWNSVILLE ISD","031901","09 - 12","S"
"031901004","RIVERA EARLY COLLEGE H S","N","N","BROWNSVILLE ISD","031901","09 - 12","S"
"031901007","LOPEZ EARLY COLLEGE H S","N","N","BROWNSVILLE ISD","031901","09 - 12","S"
"031901008","BROWNSVILLE EARLY COLLEGE H S","N","N","BROWNSVILLE ISD","031901","09 - 12","S"
"031901009","VETERANS MEMORIAL EARLY COLLEGE H","N","N","BROWNSVILLE ISD","031901","09 - 12","S"
"031901034","CAMERON CO J J A E P","N","N","BROWNSVILLE ISD","031901","04 - 12","B"
"031901043","FAULK MIDDLE","N","N","BROWNSVILLE ISD","031901","06 - 08","M"
"031901044","STELL MIDDLE","N","N","BROWNSVILLE ISD","031901","06 - 08","M"
"031901045","OLIVEIRA MIDDLE","N","N","BROWNSVILLE ISD","031901","06 - 08","M"
"031901046","PERKINS MIDDLE","N","N","BROWNSVILLE ISD","031901","06 - 08","M"
"031901047","VELA MIDDLE","N","N","BROWNSVILLE ISD","031901","06 - 08","M"
"031901048","BESTEIRO MIDDLE","N","N","BROWNSVILLE ISD","031901","06 - 08","M"
"031901051","LUCIO MIDDLE","N","N","BROWNSVILLE ISD","031901","06 - 08","M"
"031901053","GARCIA MIDDLE","N","N","BROWNSVILLE ISD","031901","06 - 08","M"
"031901054","STILLMAN MIDDLE","N","N","BROWNSVILLE ISD","031901","06 - 08","M"
"031901055","MANZANO MIDDLE","N","N","BROWNSVILLE ISD","031901","06 - 08","M"
"031901101","CANALES EL","N","N","BROWNSVILLE ISD","031901","EE - 05","E"
"031901102","CROMACK EL","N","N","BROWNSVILLE ISD","031901","PK - 05","E"
"031901104","MARTIN EL","N","N","BROWNSVILLE ISD","031901","EE - 05","E"
"031901105","EL JARDIN EL","N","N","BROWNSVILLE ISD","031901","PK - 05","E"
"031901106","GARDEN PARK EL","N","N","BROWNSVILLE ISD","031901","PK - 05","E"
"031901108","PUTEGNAT EL","N","N","BROWNSVILLE ISD","031901","PK - 05","E"
"031901110","RUSSELL EL","N","N","BROWNSVILLE ISD","031901","PK - 05","E"
"031901111","SHARP EL","N","N","BROWNSVILLE ISD","031901","EE - 05","E"
"031901112","SKINNER EL","N","N","BROWNSVILLE ISD","031901","PK - 05","E"
"031901115","CASTANEDA EL","N","N","BROWNSVILLE ISD","031901","PK - 05","E"
"031901117","VILLA NUEVA EL","N","N","BROWNSVILLE ISD","031901","EE - 05","E"
"031901120","DEL CASTILLO EL","N","N","BROWNSVILLE ISD","031901","PK - 05","E"
"031901121","PEREZ EL","N","N","BROWNSVILLE ISD","031901","EE - 05","E"
"031901122","PALM GROVE EL","N","N","BROWNSVILLE ISD","031901","PK - 05","E"
"031901123","EGLY EL","N","N","BROWNSVILLE ISD","031901","PK - 05","E"
"031901124","GARZA EL","N","N","BROWNSVILLE ISD","031901","PK - 05","E"
"031901126","VERMILLION ROAD EL","N","N","BROWNSVILLE ISD","031901","EE - 05","E"
"031901128","BURNS EL","N","N","BROWNSVILLE ISD","031901","EE - 05","E"
"031901129","MORNINGSIDE EL","N","N","BROWNSVILLE ISD","031901","PK - 05","E"
"031901130","GONZALEZ EL","N","N","BROWNSVILLE ISD","031901","PK - 05","E"
"031901131","SOUTHMOST EL","N","N","BROWNSVILLE ISD","031901","EE - 05","E"
"031901132","YTURRIA EL","N","N","BROWNSVILLE ISD","031901","EE - 05","E"
"031901133","AIKEN EL","N","N","BROWNSVILLE ISD","031901","PK - 05","E"
"031901134","HUDSON EL","N","N","BROWNSVILLE ISD","031901","EE - 05","E"
"031901135","BENAVIDES EL","N","N","BROWNSVILLE ISD","031901","EE - 05","E"
"031901136","CHAMPION EL","N","N","BROWNSVILLE ISD","031901","PK - 05","E"
"031901137","PAREDES EL","N","N","BROWNSVILLE ISD","031901","PK - 05","E"
"031901138","GALLEGOS EL","N","N","BROWNSVILLE ISD","031901","PK - 05","E"
"031901139","ORTIZ EL","N","N","BROWNSVILLE ISD","031901","EE - 05","E"
"031901140","BRITE EL","N","N","BROWNSVILLE ISD","031901","PK - 05","E"
"031901141","PENA EL","N","N","BROWNSVILLE ISD","031901","PK - 05","E"
"031901142","PULLAM EL","N","N","BROWNSVILLE ISD","031901","PK - 05","E"
"031901143","KELLER EL","N","N","BROWNSVILLE ISD","031901","EE - 05","E"
"031901144","BREEDEN EL","N","N","BROWNSVILLE ISD","031901","EE - 05","E"
"031903001","HARLINGEN H S","N","N","HARLINGEN CISD","031903","09 - 12","S"
"031903002","HARLINGEN H S - SOUTH","N","N","HARLINGEN CISD","031903","09 - 12","S"
"031903003","KEYS ACAD","Y","N","HARLINGEN CISD","031903","09 - 12","S"
"031903004","CAMERON CO J J A E P","N","N","HARLINGEN CISD","031903","09 - 12","S"
"031903005","EARLY COLLEGE H S","N","N","HARLINGEN CISD","031903","09 - 12","S"
"031903007","DR ABRAHAM P CANO FRESHMAN ACADEMY","N","N","HARLINGEN CISD","031903","09 - 09","S"
"031903008","HARLINGEN SCHOOL OF HEALTH PROFESS","N","N","HARLINGEN CISD","031903","08 - 12","S"
"031903041","COAKLEY MIDDLE","N","N","HARLINGEN CISD","031903","06 - 08","M"
"031903042","MEMORIAL MIDDLE","N","N","HARLINGEN CISD","031903","06 - 08","M"
"031903043","VERNON MIDDLE","N","N","HARLINGEN CISD","031903","06 - 08","M"
"031903044","GUTIERREZ MIDDLE","N","N","HARLINGEN CISD","031903","06 - 08","M"
"031903045","MOISES VELA MIDDLE","N","N","HARLINGEN CISD","031903","06 - 08","M"
"031903102","AUSTIN EL","N","N","HARLINGEN CISD","031903","PK - 05","E"
"031903103","BONHAM EL","N","N","HARLINGEN CISD","031903","EE - 05","E"
"031903104","BOWIE EL","N","N","HARLINGEN CISD","031903","PK - 05","E"
"031903105","CROCKETT EL","N","N","HARLINGEN CISD","031903","PK - 05","E"
"031903106","DISHMAN EL","N","N","HARLINGEN CISD","031903","EE - 05","E"
"031903107","HOUSTON EL","N","N","HARLINGEN CISD","031903","EE - 05","E"
"031903108","JEFFERSON EL","N","N","HARLINGEN CISD","031903","EE - 05","E"
"031903109","LAMAR EL","N","N","HARLINGEN CISD","031903","PK - 05","E"
"031903110","BEN MILAM EL","N","N","HARLINGEN CISD","031903","PK - 05","E"
"031903111","STUART PLACE EL","N","N","HARLINGEN CISD","031903","PK - 05","E"
"031903112","TRAVIS EL","N","N","HARLINGEN CISD","031903","PK - 05","E"
"031903114","ZAVALA EL","N","N","HARLINGEN CISD","031903","EE - 05","E"
"031903116","WILSON EL","N","N","HARLINGEN CISD","031903","EE - 05","E"
"031903117","TREASURE HILLS EL","N","N","HARLINGEN CISD","031903","EE - 05","E"
"031903118","SECONDARY ALTER CTR","N","N","HARLINGEN CISD","031903","06 - 12","B"
"031903120","LONG EL","N","N","HARLINGEN CISD","031903","PK - 05","E"
"031903122","DR HESIQUIO RODRIGUEZ EL","N","N","HARLINGEN CISD","031903","EE - 05","E"
"031903123","LEE H MEANS EL","N","N","HARLINGEN CISD","031903","EE - 05","E"
"031903204","EDNA TAMAYO HOUSE","Y","N","HARLINGEN CISD","031903","09 - 11","S"
"031905001","LA FERIA H S","N","N","LA FERIA ISD","031905","09 - 12","S"
"031905002","LA FERIA ACADEMY","Y","N","LA FERIA ISD","031905","09 - 12","S"
"031905041","W B GREEN J H","N","N","LA FERIA ISD","031905","07 - 08","M"
"031905101","SAM HOUSTON EL","N","N","LA FERIA ISD","031905","PK - 04","E"
"031905103","C E VAIL EL","N","N","LA FERIA ISD","031905","EE - 04","E"
"031905105","NOEMI DOMINGUEZ EL","N","N","LA FERIA ISD","031905","05 - 06","M"
"031905106","DAVID G SANCHEZ EL","N","N","LA FERIA ISD","031905","EE - 04","E"
"031906001","LOS FRESNOS H S","N","N","LOS FRESNOS CISD","031906","09 - 12","S"
"031906003","AMI KIDS RIO GRANDE VALLEY (FKA RG","Y","N","LOS FRESNOS CISD","031906","09 - 12","S"
"031906005","CAMERON CO J J A E P","N","N","LOS FRESNOS CISD","031906","08 - 12","S"
"031906041","LOS CUATES MIDDLE","N","N","LOS FRESNOS CISD","031906","06 - 08","M"
"031906042","LIBERTY MEMORIAL MIDDLE","N","N","LOS FRESNOS CISD","031906","06 - 08","M"
"031906101","LOS FRESNOS EL","N","N","LOS FRESNOS CISD","031906","PK - 05","E"
"031906102","VILLAREAL EL","N","N","LOS FRESNOS CISD","031906","EE - 05","E"
"031906103","LAS YESCAS EL","N","N","LOS FRESNOS CISD","031906","PK - 05","E"
"031906104","LOPEZ-RIGGINS EL","N","N","LOS FRESNOS CISD","031906","PK - 05","E"
"031906105","RESACA MIDDLE","N","N","LOS FRESNOS CISD","031906","06 - 08","M"
"031906106","PALMER-LAAKSO EL","N","N","LOS FRESNOS CISD","031906","EE - 05","E"
"031906107","LAURELES EL","N","N","LOS FRESNOS CISD","031906","EE - 05","E"
"031906108","OLMITO EL","N","N","LOS FRESNOS CISD","031906","EE - 05","E"
"031906109","RANCHO VERDE EL","N","N","LOS FRESNOS CISD","031906","PK - 05","E"
"031906110","DORA ROMERO EL","N","N","LOS FRESNOS CISD","031906","EE - 05","E"
"031909001","PORT ISABEL H S","N","N","POINT ISABEL ISD","031909","09 - 12","S"
"031909003","CAMERON CO J J A E P","N","N","POINT ISABEL ISD","031909","09 - 10","S"
"031909041","PORT ISABEL J H","N","N","POINT ISABEL ISD","031909","06 - 08","M"
"031909101","DERRY EL","N","N","POINT ISABEL ISD","031909","PK - 05","E"
"031909102","GARRIGA EL","N","N","POINT ISABEL ISD","031909","PK - 05","E"
"031911001","RIO HONDO H S","N","N","RIO HONDO ISD","031911","09 - 12","S"
"031911002","CAMERON CO J J A E P","N","N","RIO HONDO ISD","031911","08 - 12","S"
"031911041","RIO HONDO MIDDLE","N","N","RIO HONDO ISD","031911","05 - 08","M"
"031911102","RIO HONDO EL","N","N","RIO HONDO ISD","031911","EE - 04","E"
"031912001","SAN BENITO H S","N","N","SAN BENITO CISD","031912","10 - 12","S"
"031912003","CAMERON CO J J A E P","N","N","SAN BENITO CISD","031912","07 - 12","S"
"031912005","AMADOR R RODRIGUEZ JUVENILE BOOT C","Y","N","SAN BENITO CISD","031912","07 - 11","S"
"031912007","SAN BENITO VETERANS MEMORIAL ACADE","N","N","SAN BENITO CISD","031912","09 - 09","S"
"031912008","RGV YOUTH RECOVERY HOME","Y","N","SAN BENITO CISD","031912","08 - 12","S"
"031912009","GATEWAY TO GRADUATION ACADEMY","Y","N","SAN BENITO CISD","031912","09 - 12","S"
"031912041","BERTA CABAZA MIDDLE","N","N","SAN BENITO CISD","031912","06 - 08","M"
"031912042","MILLER JORDAN MIDDLE","N","N","SAN BENITO CISD","031912","06 - 08","M"
"031912043","SAN BENITO RIVERSIDE MIDDLE","N","N","SAN BENITO CISD","031912","06 - 08","M"
"031912101","FRED BOOTH","N","N","SAN BENITO CISD","031912","PK - 05","E"
"031912103","CASH EL","N","N","SAN BENITO CISD","031912","EE - 05","E"
"031912104","DOWNS FINE ARTS ACADEMY","N","N","SAN BENITO CISD","031912","EE - 05","E"
"031912108","RANGERVILLE EL","N","N","SAN BENITO CISD","031912","PK - 05","E"
"031912109","ROBERTS EL","N","N","SAN BENITO CISD","031912","PK - 05","E"
"031912110","SULLIVAN ENVIRONMENTAL SCIENCE ACA","N","N","SAN BENITO CISD","031912","PK - 05","E"
"031912112","LA ENCANTADA EL","N","N","SAN BENITO CISD","031912","EE - 05","E"
"031912114","LA PALOMA EL","N","N","SAN BENITO CISD","031912","PK - 05","E"
"031912115","RAUL GARZA JR STEAM ACADEMY","N","N","SAN BENITO CISD","031912","EE - 05","E"
"031912116","JUDGE OSCAR DE LA FUENTE EL","N","N","SAN BENITO CISD","031912","PK - 05","E"
"031912117","ANGELA GERUSA LEAL EL","N","N","SAN BENITO CISD","031912","PK - 05","E"
"031912201","HESTER JUVENILE DETENT","Y","N","SAN BENITO CISD","031912","05 - 12","B"
"031913001","SANTA MARIA H S","N","N","SANTA MARIA ISD","031913","09 - 12","S"
"031913005","SANTA MARIA DAEP","N","N","SANTA MARIA ISD","031913","10 - 12","S"
"031913007","SANTA MARIA ACADEMIC ACADEMY-OPTIO","Y","N","SANTA MARIA ISD","031913","08 - 12","S"
"031913042","SANTA MARIA MIDDLE","N","N","SANTA MARIA ISD","031913","06 - 08","M"
"031913101","TONY GONZALEZ EL","N","N","SANTA MARIA ISD","031913","PK - 05","E"
"031914001","SANTA ROSA H S","N","N","SANTA ROSA ISD","031914","09 - 12","S"
"031914041","JO NELSON MIDDLE","N","N","SANTA ROSA ISD","031914","06 - 08","M"
"031914101","ELMA E BARRERA EL","N","N","SANTA ROSA ISD","031914","EE - 05","E"
"031916001","SOUTH TEXAS ISD WORLD SCHOLARS","N","N","SOUTH TEXAS ISD","031916","09 - 12","S"
"031916003","SOUTH TEXAS ISD MEDICAL PROFESSION","N","N","SOUTH TEXAS ISD","031916","09 - 12","S"
"031916004","SOUTH TEXAS ISD HEALTH PROFESSIONS","N","N","SOUTH TEXAS ISD","031916","09 - 12","S"
"031916005","SOUTH TEXAS ISD SCIENCE ACADEMY","N","N","SOUTH TEXAS ISD","031916","09 - 12","S"
"031916041","SOUTH TEXAS ISD PREPARATORY ACADEM","N","N","SOUTH TEXAS ISD","031916","07 - 08","M"
"031916042","SOUTH TEXAS ISD RISING SCHOLARS AC","N","N","SOUTH TEXAS ISD","031916","07 - 08","M"
"032902002","PITTSBURG H S","N","N","PITTSBURG ISD","032902","09 - 12","S"
"032902041","PITTSBURG J H","N","N","PITTSBURG ISD","032902","07 - 08","M"
"032902103","PITTSBURG EL","N","N","PITTSBURG ISD","032902","02 - 04","E"
"032902104","PITTSBURG PRI","N","N","PITTSBURG ISD","032902","EE - 01","E"
"032902105","PITTSBURG INT","N","N","PITTSBURG ISD","032902","05 - 06","M"
"033901001","GROOM SCHOOL","N","N","GROOM ISD","033901","PK - 12","B"
"033902001","PANHANDLE H S","N","N","PANHANDLE ISD","033902","09 - 12","S"
"033902041","PANHANDLE J H","N","N","PANHANDLE ISD","033902","06 - 08","M"
"033902101","PANHANDLE EL","N","N","PANHANDLE ISD","033902","EE - 05","E"
"033904001","WHITE DEER H S","N","N","WHITE DEER ISD","033904","07 - 12","S"
"033904102","WHITE DEER EL","N","N","WHITE DEER ISD","033904","EE - 06","E"
"034901001","ATLANTA H S","N","N","ATLANTA ISD","034901","09 - 12","S"
"034901042","ATLANTA MIDDLE","N","N","ATLANTA ISD","034901","06 - 08","M"
"034901106","ATLANTA EL","N","N","ATLANTA ISD","034901","03 - 05","E"
"034901107","ATLANTA PRI","N","N","ATLANTA ISD","034901","EE - 02","E"
"034902001","AVINGER SCHOOL","N","N","AVINGER ISD","034902","PK - 12","B"
"034903001","HUGHES SPRINGS H S","N","N","HUGHES SPRINGS ISD","034903","09 - 12","S"
"034903041","HUGHES SPRINGS J H","N","N","HUGHES SPRINGS ISD","034903","06 - 08","M"
"034903101","HUGHES SPRINGS EL","N","N","HUGHES SPRINGS ISD","034903","EE - 05","E"
