CAMPUS,S504 Cnt,S504 Pct,ECO Cnt,ECO Pct,District Name,School Name
227901062,248,19.4,71,5.5,AUSTIN ISD,GORZYCKI MIDDLE
227901002,443,19.1,588,25.3,AUSTIN ISD,AUSTIN H S
227901045,218,18.3,263,22,AUSTIN ISD,LAMAR M S
227901047,147,17.8,239,28.9,AUSTIN ISD,O HENRY MIDDLE
227901005,309,17.5,364,20.6,AUSTIN ISD,MCCALLUM H S
227901052,230,16.3,321,22.8,AUSTIN ISD,MURCHISON MIDDLE
227901059,160,16,330,32.9,AUSTIN ISD,BAILEY M S
227901013,462,15.9,341,11.7,AUSTIN ISD,BOWIE H S
227901057,110,15.8,418,60.1,AUSTIN ISD,COVINGTON MIDDLE
227901060,191,15,347,27.2,AUSTIN ISD,SMALL M S
227901051,71,13.9,479,93.7,AUSTIN ISD,MARTIN MIDDLE
227901009,307,13.8,545,24.5,AUSTIN ISD,ANDERSON H S
227901119,86,13.2,45,6.9,AUSTIN ISD,HIGHLAND PARK EL
227901103,57,12.8,37,8.3,AUSTIN ISD,BARTON HILLS EL
227901180,144,12.8,43,3.8,AUSTIN ISD,KIKER EL
227901061,106,12.1,690,79,AUSTIN ISD,PAREDES M S
227901128,27,11.6,42,18.1,AUSTIN ISD,PEASE EL
227901181,97,11.4,59,6.9,AUSTIN ISD,MILLS EL
227901154,93,11.3,145,17.6,AUSTIN ISD,DOSS EL
227901146,56,10.7,94,17.9,AUSTIN ISD,ZILKER EL
227901054,89,10.7,703,84.2,AUSTIN ISD,BEDICHEK MIDDLE
227901184,88,10.7,19,2.3,AUSTIN ISD,CLAYTON EL
227901183,85,10.6,252,31.3,AUSTIN ISD,COWAN EL
227901064,43,10.5,389,94.6,AUSTIN ISD,GARCIA YMLA
227901170,53,10.3,225,43.7,AUSTIN ISD,BOONE EL
227901043,111,10.3,670,62.2,AUSTIN ISD,FULMORE M S
227901014,86,10.2,670,79.8,AUSTIN ISD,LBJ HIGH SCHOOL
