CAMPUS,CPETSAUC,CPETSAUP,CPETSBHC,CPETSBHP,CPETSIMC,CPETSINC,CPETSINP,CPETSNOC,CPETSNOP,CPETSPHC,CPETSPHP
"020905109",-3,-3,-1,-1,33,7,21.2,0,0,18,54.5
"020905110",-1,-1,-3,-3,64,24,37.5,0,0,24,37.5
"020905111",-1,-1,7,16.7,42,-3,-3,7,16.7,19,45.2
"020905113",-1,-1,5,10.2,49,10,20.4,-1,-1,30,61.2
"020905114",-1,-1,-1,-1,60,9,15,9,15,35,58.3
"020905115",6,11.1,20,37,54,21,38.9,0,0,7,13
"020905116",5,10.4,16,33.3,48,17,35.4,0,0,10,20.8
"020906002",-1,-1,-3,-3,50,37,74,0,0,0,0
"020906041",-1,-1,8,21.6,37,25,67.6,0,0,-1,-1
"020906104",-1,-1,18,29.5,61,21,34.4,-1,-1,16,26.2
"020907001",10,12.7,21,26.6,79,42,53.2,0,0,6,7.6
"020907005",0,0,0,0,0,0,0,0,0,0,0
"020907042",-1,-1,18,42.9,42,17,40.5,0,0,-1,-1
"020907102",7,9.3,14,18.7,75,21,28,6,8,27,36
"020907106",-1,-1,11,35.5,31,-3,-3,0,0,9,29
