CAMPUS,CPETSAUC,CPETSAUP,CPETSBHC,CPETSBHP,CPETSIMC,CPETSINC,CPETSINP,CPETSNOC,CPETSNOP,CPETSPHC,CPETSPHP
"020908115",7,7.4,16,17,94,62,66,0,0,9,9.6
"020910001",0,0,-1,-1,-1,-1,-1,0,0,0,0
"020910101",-1,-1,-1,-1,27,18,66.7,-1,-1,-1,-1
"021803001",0,0,-1,-1,14,-3,-3,0,0,5,35.7
"021803102",0,0,-1,-1,8,-1,-1,0,0,-1,-1
"021805041",0,0,-1,-1,8,-1,-1,0,0,-1,-1
"021805101",-1,-1,-1,-1,18,10,55.6,0,0,5,27.8
"021805102",0,0,-1,-1,9,5,55.6,0,0,-1,-1
"021805105",0,0,0,0,-1,-1,-1,0,0,0,0
"021901001",23,15.9,34,23.4,145,83,57.2,0,0,5,3.4
"021901003",27,18.1,51,34.2,149,59,39.6,0,0,12,8.1
"021901004",0,0,-1,-1,6,-1,-1,0,0,0,0
"021901015",0,0,0,0,-1,-1,-1,0,0,0,0
"021901041",16,23.2,14,20.3,69,32,46.4,0,0,7,10.1
"021901042",-1,-1,24,42.1,57,21,36.8,0,0,-3,-3
"021901043",0,0,18,26.9,67,38,56.7,0,0,11,16.4
"021901101",-1,-1,10,11.6,86,26,30.2,-1,-1,44,51.2
"021901102",22,21.6,-3,-3,102,24,23.5,-1,-1,43,42.2
"021901104",-1,-1,-3,-3,54,15,27.8,0,0,30,55.6
"021901105",-1,-1,12,15.4,78,19,24.4,-1,-1,39,50
"021901107",0,0,12,31.6,38,-3,-3,-1,-1,18,47.4
"021901108",-3,-3,8,11.4,70,12,17.1,-1,-1,39,55.7
"021901109",18,22.5,-3,-3,80,18,22.5,-1,-1,34,42.5
"021901110",5,5.4,18,19.6,92,19,20.7,5,5.4,45,48.9
"021901111",22,23.7,-3,-3,93,16,17.2,-1,-1,45,48.4
"021901201",-1,-1,26,36.1,72,29,40.3,0,0,-3,-3
"021901202",17,17.9,23,24.2,95,39,41.1,0,0,16,16.8
"021901203",8,9.2,23,26.4,87,40,46,0,0,16,18.4
"021902001",18,7.3,56,22.9,245,155,63.3,0,0,16,6.5
"021902002",-3,-3,47,24.5,192,118,61.5,0,0,-1,-1
"021902003",-1,-1,-1,-1,5,-1,-1,0,0,-1,-1
"021902012",0,0,6,54.5,11,5,45.5,0,0,0,0
"021902014",0,0,-3,-3,10,-1,-1,0,0,0,0
"021902015",0,0,-1,-1,5,-1,-1,0,0,0,0
"021902017",0,0,-1,-1,-1,-1,-1,0,0,0,0
"021902041",19,12.3,29,18.8,154,99,64.3,0,0,7,4.5
"021902045",27,18.5,21,14.4,146,87,59.6,0,0,11,7.5
"021902046",9,6.5,35,25.2,139,77,55.4,0,0,18,12.9
"021902047",13,9.4,32,23.2,138,83,60.1,0,0,10,7.2
"021902101",13,15.1,7,8.1,86,19,22.1,19,22.1,28,32.6
"021902103",-1,-1,13,40.6,32,-3,-3,0,0,10,31.3
"021902105",17,29.3,-1,-1,58,11,19,-3,-3,20,34.5
"021902106",7,16.7,-3,-3,42,12,28.6,-1,-1,14,33.3
"021902107",-1,-1,5,12.2,41,14,34.1,-1,-1,19,46.3
"021902108",0,0,-1,-1,17,-1,-1,0,0,13,76.5
"021902110",-3,-3,14,24.1,58,18,31,-1,-1,13,22.4
"021902112",8,27.6,-1,-1,29,7,24.1,-1,-1,11,37.9
"021902113",-1,-1,-1,-1,32,20,62.5,-1,-1,8,25
"021902114",-1,-1,13,28.9,45,-3,-3,0,0,17,37.8
"021902115",-3,-3,6,15,40,8,20,-1,-1,18,45
"021902117",5,14.7,5,14.7,34,7,20.6,0,0,17,50
"021902118",12,28.6,-1,-1,42,12,28.6,-1,-1,14,33.3
"021902119",7,24.1,-1,-1,29,13,44.8,0,0,-3,-3
"022004001",-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1
"022901001",-1,-1,-3,-3,27,14,51.9,0,0,0,0
"022901041",-1,-1,7,23.3,30,21,70,0,0,-1,-1
"022901101",0,0,5,20.8,24,-1,-1,-1,-1,12,50
"022902001",0,0,-1,-1,-1,-1,-1,-1,-1,0,0
"022903101",0,0,0,0,0,0,0,0,0,0,0
"023902001",-1,-1,5,33.3,15,6,40,0,0,-1,-1
"024901001",-1,-1,10,32.3,31,14,45.2,0,0,-3,-3
"024901041",-1,-1,11,25.6,43,18,41.9,0,0,-3,-3
"024901101",5,9.1,12,21.8,55,17,30.9,0,0,21,38.2
"024901103",6,13,-1,-1,46,-1,-1,0,0,32,69.6
"025901001",-1,-1,9,30,30,16,53.3,0,0,-1,-1
"025901041",-1,-1,5,25,20,12,60,0,0,-1,-1
"025901101",-3,-3,6,16.7,36,-1,-1,0,0,21,58.3
"025902001",-3,-3,21,23.9,88,54,61.4,0,0,-1,-1
"025902003",0,0,0,0,0,0,0,0,0,0,0
"025902041",-3,-3,17,32.7,52,23,44.2,0,0,-1,-1
"025902101",10,10,29,29,100,47,47,0,0,14,14
"025902106",-1,-1,-1,-1,58,-1,-1,9,15.5,40,69
"025902107",11,22.4,-1,-1,49,8,16.3,-1,-1,27,55.1
"025902109",5,18.5,-1,-1,27,-1,-1,0,0,16,59.3
"025904001",-1,-1,6,28.6,21,9,42.9,-1,-1,-1,-1
"025905001",0,0,0,0,13,-3,-3,0,0,-1,-1
"025905101",-1,-1,-1,-1,12,-1,-1,0,0,6,50
"025906001",-1,-1,-1,-1,19,10,52.6,0,0,-1,-1
"025908001",0,0,-1,-1,14,9,64.3,0,0,-1,-1
"025908003",0,0,-1,-1,-1,-1,-1,0,0,0,0
"025909001",-3,-3,6,18.8,32,17,53.1,0,0,-1,-1
"025909041",0,0,-3,-3,19,12,63.2,0,0,-1,-1
"025909101",5,20,5,20,25,6,24,0,0,9,36
"025909102",-1,-1,-1,-1,28,-1,-1,-1,-1,18,64.3
"026901001",-1,-1,12,23.5,51,34,66.7,0,0,-1,-1
"026901041",-1,-1,-1,-1,23,18,78.3,0,0,0,0
"026901042",-1,-1,12,32.4,37,14,37.8,0,0,-3,-3
"026901101",-1,-1,5,11.4,44,13,29.5,-1,-1,21,47.7
"026902001",0,0,-3,-3,29,17,58.6,0,0,-1,-1
"026902101",-1,-1,-1,-1,26,6,23.1,0,0,14,53.8
"026903002",-1,-1,12,30.8,39,22,56.4,0,0,-1,-1
"026903101",-3,-3,8,28.6,28,-1,-1,0,0,13,46.4
"027903001",-3,-3,21,20.2,104,69,66.3,0,0,-1,-1
"027903003",0,0,0,0,-1,-1,-1,0,0,0,0
"027903041",14,12.1,27,23.3,116,69,59.5,0,0,6,5.2
"027903101",5,7,5,7,71,12,16.9,9,12.7,40,56.3
"027903102",14,18.9,-3,-3,74,31,41.9,-1,-1,18,24.3
"027903104",8,9.5,17,20.2,84,48,57.1,0,0,11,13.1
"027904001",14,9.1,30,19.5,154,102,66.2,0,0,8,5.2
"027904002",0,0,-1,-1,8,-3,-3,0,0,0,0
"027904041",12,8.8,18,13.1,137,98,71.5,0,0,9,6.6
"027904101",-3,-3,15,21.7,69,19,27.5,-1,-1,27,39.1
"027904102",8,10,-3,-3,80,22,27.5,-1,-1,38,47.5
"027904103",9,13.2,6,8.8,68,20,29.4,0,0,33,48.5
"027904104",-1,-1,-1,-1,24,6,25,0,0,12,50
"028902001",-3,-3,49,29.2,168,104,61.9,0,0,-1,-1
"028902038",0,0,-1,-1,6,-1,-1,0,0,0,0
"028902045",19,11.3,34,20.2,168,99,58.9,0,0,16,9.5
"028902101",14,17.9,-3,-3,78,27,34.6,-1,-1,27,34.6
"028902102",6,16.7,-1,-1,36,-1,-1,8,22.2,20,55.6
"028902103",7,12.3,8,14,57,16,28.1,0,0,26,45.6
"028902104",-1,-1,-3,-3,64,16,25,0,0,39,60.9
"028902105",5,8.3,15,25,60,12,20,0,0,28,46.7
"028902106",-1,-1,-3,-3,44,9,20.5,0,0,25,56.8
"028903001",-1,-1,5,11.6,43,33,76.7,0,0,-1,-1
"028903041",-1,-1,7,19.4,36,21,58.3,0,0,-3,-3
"028903101",-1,-1,-3,-3,37,11,29.7,0,0,17,45.9
"028903104",-1,-1,-1,-1,25,0,0,-1,-1,19,76
"028906001",-1,-1,-1,-1,19,10,52.6,0,0,-1,-1
"029901001",-3,-3,17,15.5,110,82,74.5,0,0,-1,-1
"029901003",0,0,-1,-1,-1,0,0,0,0,0,0
"029901043",-1,-1,11,14.1,78,63,80.8,0,0,-1,-1
"029901101",8,12.7,6,9.5,63,28,44.4,16,25.4,5,7.9
"029901102",-1,-1,7,15.6,45,31,68.9,-1,-1,-1,-1
"029901105",0,0,0,0,7,-3,-3,0,0,-1,-1
"029901107",-1,-1,-1,-1,28,16,57.1,-1,-1,6,21.4
"030901001",-1,-1,0,0,14,12,85.7,0,0,-1,-1
"030901101",0,0,5,25,20,7,35,0,0,8,40
"030902001",7,14.6,-3,-3,48,30,62.5,0,0,-1,-1
"030902041",-3,-3,12,26.1,46,24,52.2,0,0,-1,-1
"030902101",-1,-1,-1,-1,41,18,43.9,-1,-1,16,39
"030902103",7,13,11,20.4,54,27,50,0,0,9,16.7
"030903001",0,0,-1,-1,12,6,50,0,0,-1,-1
"030903041",0,0,-1,-1,9,-3,-3,0,0,0,0
"030903101",-1,-1,-1,-1,17,7,41.2,0,0,-1,-1
"030906001",-1,-1,-1,-1,14,10,71.4,0,0,0,0
"030906041",-1,-1,-1,-1,10,6,60,0,0,-1,-1
"030906101",-1,-1,-1,-1,39,26,66.7,-1,-1,7,17.9
"031901001",54,17.6,36,11.8,306,200,65.4,0,0,16,5.2
"031901002",30,12,33,13.1,251,180,71.7,0,0,8,3.2
"031901003",-3,-3,53,22.9,231,140,60.6,0,0,-1,-1
"031901004",29,10.2,60,21.1,285,191,67,0,0,5,1.8
"031901006",0,0,0,0,0,0,0,0,0,0,0
"031901007",19,6.9,50,18.1,277,203,73.3,0,0,5,1.8
"031901008",0,0,0,0,0,0,0,0,0,0,0
"031901009",50,27.5,-3,-3,182,108,59.3,0,0,-1,-1
"031901034",0,0,-1,-1,5,-1,-1,0,0,0,0
"031901043",13,8.2,27,17.1,158,112,70.9,0,0,6,3.8
"031901044",5,3.3,37,24.7,150,103,68.7,0,0,5,3.3
"031901045",-3,-3,25,17.6,142,96,67.6,0,0,-1,-1
"031901046",-3,-3,18,15.9,113,76,67.3,0,0,-1,-1
"031901047",20,14.2,22,15.6,141,92,65.2,0,0,7,5
"031901048",8,7.4,23,21.3,108,77,71.3,0,0,0,0
"031901051",6,5.1,23,19.5,118,81,68.6,0,0,8,6.8
"031901053",-3,-3,30,25.6,117,69,59,0,0,-1,-1
"031901054",15,11.5,24,18.5,130,85,65.4,0,0,6,4.6
"031901055",33,27.3,29,24,121,54,44.6,0,0,5,4.1
"031901056",0,0,0,0,0,0,0,0,0,0,0
"031901101",0,0,7,13,54,34,63,0,0,13,24.1
"031901102",6,8.2,15,20.5,73,40,54.8,0,0,12,16.4
"031901103",7,12.5,10,17.9,56,26,46.4,0,0,13,23.2
"031901104",14,20.3,5,7.2,69,32,46.4,5,7.2,13,18.8
"031901105",-1,-1,10,16.9,59,40,67.8,0,0,-3,-3
"031901106",-1,-1,-3,-3,72,37,51.4,0,0,21,29.2
"031901108",6,12,9,18,50,22,44,5,10,8,16
"031901109",-1,-1,-1,-1,31,20,64.5,0,0,7,22.6
"031901110",-1,-1,38,53.5,71,23,32.4,0,0,-3,-3
"031901111",8,21.1,-3,-3,38,14,36.8,-1,-1,8,21.1
"031901112",10,21.3,9,19.1,47,19,40.4,0,0,9,19.1
"031901113",-1,-1,-1,-1,36,15,41.7,-1,-1,11,30.6
"031901115",8,9.6,8,9.6,83,47,56.6,0,0,20,24.1
"031901117",-1,-1,5,10.2,49,21,42.9,-1,-1,17,34.7
"031901120",-3,-3,6,12,50,25,50,-1,-1,10,20
"031901121",16,19.3,5,6,83,41,49.4,11,13.3,10,12
"031901122",-1,-1,-3,-3,38,18,47.4,0,0,10,26.3
"031901123",-3,-3,29,31.2,93,39,41.9,-1,-1,18,19.4
"031901124",-1,-1,6,9.7,62,41,66.1,-1,-1,8,12.9
"031901126",10,13,29,37.7,77,27,35.1,5,6.5,6,7.8
"031901127",0,0,-1,-1,-1,-1,-1,0,0,0,0
"031901128",9,10.8,-1,-1,83,44,53,-1,-1,23,27.7
"031901129",5,7.7,12,18.5,65,27,41.5,8,12.3,13,20
"031901130",13,14.8,-3,-3,88,40,45.5,-1,-1,24,27.3
"031901131",9,14.8,10,16.4,61,30,49.2,5,8.2,7,11.5
"031901132",7,10,9,12.9,70,24,34.3,8,11.4,22,31.4
"031901133",-1,-1,29,33,88,38,43.2,0,0,-3,-3
"031901134",13,14.4,17,18.9,90,36,40,6,6.7,18,20
"031901135",11,12.6,11,12.6,87,32,36.8,10,11.5,23,26.4
"031901136",-3,-3,26,23.4,111,42,37.8,-1,-1,26,23.4
"031901137",-3,-3,22,27.8,79,24,30.4,-1,-1,24,30.4
"031901138",12,14,10,11.6,86,47,54.7,5,5.8,12,14
"031901139",8,9.8,24,29.3,82,26,31.7,6,7.3,18,22
"031901140",-1,-1,33,39.8,83,22,26.5,-1,-1,23,27.7
"031901141",-3,-3,13,24.1,54,22,40.7,-1,-1,10,18.5
"031901142",12,18.2,18,27.3,66,22,33.3,0,0,14,21.2
"031901143",13,25,8,15.4,52,15,28.8,6,11.5,10,19.2
"031901144",20,22.5,21,23.6,89,23,25.8,6,6.7,19,21.3
"031903001",-3,-3,59,21,281,190,67.6,0,0,-1,-1
"031903002",22,10.8,35,17.2,204,140,68.6,0,0,7,3.4
"031903003",0,0,-1,-1,-1,-1,-1,0,0,0,0
"031903004",0,0,-1,-1,-1,-1,-1,0,0,0,0
"031903005",0,0,0,0,-1,-1,-1,0,0,-1,-1
"031903007",-1,-1,35,29.2,120,76,63.3,0,0,-3,-3
"031903008",-1,-1,0,0,6,-3,-3,0,0,0,0
"031903041",-3,-3,17,23.6,72,41,56.9,0,0,-1,-1
"031903042",10,9,37,33.3,111,59,53.2,0,0,5,4.5
"031903043",-3,-3,26,26.8,97,60,61.9,0,0,-1,-1
"031903044",13,11.4,30,26.3,114,64,56.1,0,0,7,6.1
"031903045",5,6.4,20,25.6,78,53,67.9,0,0,0,0
"031903102",11,30.6,7,19.4,36,10,27.8,-1,-1,-3,-3
"031903103",20,32.3,-3,-3,62,22,35.5,-1,-1,12,19.4
"031903104",-1,-1,5,20.8,24,9,37.5,-1,-1,6,25
"031903105",-1,-1,8,24.2,33,15,45.5,0,0,-3,-3
"031903106",6,18.2,7,21.2,33,11,33.3,0,0,9,27.3
"031903107",13,23.6,-1,-1,55,29,52.7,0,0,-3,-3
"031903108",11,26.2,6,14.3,42,10,23.8,9,21.4,6,14.3
"031903109",12,21.8,9,16.4,55,20,36.4,0,0,14,25.5
"031903110",5,14.3,5,14.3,35,13,37.1,0,0,12,34.3
"031903111",-1,-1,8,29.6,27,-3,-3,0,0,9,33.3
"031903112",-1,-1,11,26.8,41,18,43.9,0,0,-3,-3
"031903114",-1,-1,8,22.9,35,10,28.6,-1,-1,12,34.3
"031903116",-1,-1,11,32.4,34,16,47.1,0,0,-1,-1
"031903117",31,38.3,12,14.8,81,17,21,0,0,21,25.9
"031903118",0,0,6,40,15,9,60,0,0,0,0
"031903120",11,17.2,5,7.8,64,35,54.7,0,0,13,20.3
"031903122",-3,-3,12,19.7,61,27,44.3,-1,-1,12,19.7
"031903123",15,28.8,9,17.3,52,14,26.9,6,11.5,8,15.4
"031903204",0,0,-1,-1,-1,0,0,0,0,0,0
"031905001",-3,-3,19,22.6,84,52,61.9,0,0,-1,-1
"031905002",0,0,0,0,-1,-1,-1,0,0,0,0
"031905041",-3,-3,17,33.3,51,24,47.1,0,0,-1,-1
"031905101",7,12.5,-3,-3,56,18,32.1,-1,-1,22,39.3
"031905103",-1,-1,10,20.4,49,17,34.7,-1,-1,18,36.7
"031905105",15,20.8,-3,-3,72,38,52.8,0,0,-1,-1
"031905106",-3,-3,-1,-1,38,9,23.7,0,0,19,50
"031906001",40,12.6,54,17,317,205,64.7,0,0,18,5.7
"031906003",0,0,0,0,0,0,0,0,0,0,0
"031906005",0,0,-1,-1,-1,-1,-1,0,0,0,0
"031906041",13,14.8,11,12.5,88,58,65.9,0,0,6,6.8
"031906042",9,9,15,15,100,65,65,0,0,11,11
"031906101",9,13.8,11,16.9,65,27,41.5,0,0,18,27.7
"031906102",-1,-1,-1,-1,32,18,56.3,0,0,9,28.1
"031906103",-1,-1,-1,-1,23,16,69.6,0,0,-1,-1
"031906104",9,13,8,11.6,69,23,33.3,0,0,29,42
"031906105",19,21.8,29,33.3,87,33,37.9,0,0,6,6.9
"031906106",18,16.8,13,12.1,107,42,39.3,11,10.3,23,21.5
"031906107",13,14.9,12,13.8,87,24,27.6,13,14.9,25,28.7
"031906108",13,17.3,7,9.3,75,22,29.3,19,25.3,14,18.7
"031906109",-3,-3,14,20.6,68,21,30.9,-1,-1,19,27.9
"031906110",17,29.3,7,12.1,58,16,27.6,0,0,18,31
"031909001",-3,-3,16,24.2,66,42,63.6,0,0,-1,-1
"031909003",0,0,-1,-1,-1,0,0,0,0,0,0
"031909041",-1,-1,10,30.3,33,18,54.5,0,0,-1,-1
"031909101",-1,-1,-3,-3,65,18,27.7,0,0,36,55.4
"031909102",-1,-1,7,12.5,56,10,17.9,-3,-3,29,51.8
"031911001",-1,-1,14,25,56,38,67.9,0,0,-1,-1
"031911002",0,0,0,0,0,0,0,0,0,0,0
"031911041",-3,-3,12,16.4,73,52,71.2,0,0,-1,-1
"031911102",8,22.9,-1,-1,35,7,20,-3,-3,13,37.1
"031911103",-1,-1,-1,-1,15,9,60,0,0,-1,-1
"031912001",30,16,31,16.6,187,119,63.6,0,0,7,3.7
"031912003",0,0,0,0,0,0,0,0,0,0,0
"031912004",0,0,0,0,0,0,0,0,0,0,0
"031912005",0,0,-1,-1,7,-1,-1,0,0,0,0
"031912007",-3,-3,14,17.5,80,54,67.5,0,0,-1,-1
"031912008",0,0,-1,-1,-1,-1,-1,0,0,0,0
"031912009",0,0,0,0,-1,-1,-1,0,0,0,0
"031912041",8,10.5,16,21.1,76,46,60.5,0,0,6,7.9
"031912042",13,14,19,20.4,93,50,53.8,0,0,11,11.8
"031912043",6,12,-1,-1,50,39,78,0,0,-1,-1
"031912101",9,18,7,14,50,19,38,0,0,15,30
"031912103",14,16.3,9,10.5,86,19,22.1,6,7,38,44.2
"031912104",-3,-3,-1,-1,53,14,26.4,8,15.1,19,35.8
"031912108",0,0,-1,-1,26,-3,-3,0,0,17,65.4
"031912109",-1,-1,-1,-1,29,9,31,-1,-1,14,48.3
"031912110",12,26.7,-1,-1,45,-3,-3,0,0,24,53.3
"031912112",-1,-1,-1,-1,20,9,45,-1,-1,6,30
"031912114",6,12.5,6,12.5,48,15,31.3,5,10.4,16,33.3
"031912115",10,20.8,-1,-1,48,13,27.1,-1,-1,21,43.8
"031912116",-1,-1,7,35,20,-3,-3,0,0,7,35
"031912117",-1,-1,-1,-1,32,13,40.6,0,0,13,40.6
"031912201",0,0,-1,-1,6,-1,-1,0,0,0,0
"031913001",0,0,5,45.5,11,6,54.5,0,0,0,0
"031913007",0,0,0,0,0,0,0,0,0,0,0
"031913041",-1,-1,-1,-1,7,5,71.4,0,0,0,0
"031913042",-1,-1,-1,-1,-1,0,0,0,0,-1,-1
"031913101",-1,-1,-1,-1,18,6,33.3,0,0,8,44.4
"031914001",-1,-1,8,25,32,21,65.6,0,0,-1,-1
"031914002",0,0,0,0,0,0,0,0,0,0,0
"031914003",0,0,0,0,0,0,0,0,0,0,0
"031914041",0,0,-3,-3,39,32,82.1,0,0,-1,-1
"031914101",-1,-1,7,12.3,57,31,54.4,-1,-1,13,22.8
"031916001",11,33.3,-1,-1,33,13,39.4,0,0,-3,-3
"031916003",-1,-1,-3,-3,22,13,59.1,0,0,0,0
"031916004",-1,-1,-1,-1,12,5,41.7,0,0,-1,-1
"031916005",-1,-1,-1,-1,17,11,64.7,0,0,-1,-1
"031916041",-1,-1,-1,-1,11,-1,-1,0,0,-1,-1
"031916042",5,27.8,-1,-1,18,10,55.6,0,0,-1,-1
"032902002",-3,-3,20,33.3,60,33,55,0,0,-1,-1
"032902041",-1,-1,13,38.2,34,16,47.1,0,0,-1,-1
"032902103",-1,-1,-3,-3,53,16,30.2,0,0,18,34
"032902104",-1,-1,5,11.6,43,-1,-1,5,11.6,30,69.8
"032902105",-1,-1,10,27,37,16,43.2,0,0,-3,-3
"033901001",-1,-1,6,30,20,10,50,0,0,-1,-1
"033902001",-1,-1,11,33.3,33,17,51.5,0,0,-1,-1
"033902041",0,0,-3,-3,19,13,68.4,0,0,-1,-1
"033902101",-1,-1,12,33.3,36,7,19.4,-1,-1,12,33.3
"033904001",0,0,-1,-1,19,-3,-3,0,0,0,0
"033904102",-1,-1,-1,-1,18,12,66.7,0,0,-1,-1
"034901001",-1,-1,12,24,50,33,66,0,0,-1,-1
"034901042",5,9.3,11,20.4,54,31,57.4,0,0,7,13
"034901106",-1,-1,-3,-3,51,30,58.8,0,0,12,23.5
"034901107",6,8.8,-1,-1,68,9,13.2,-1,-1,47,69.1
"034902001",0,0,-1,-1,12,9,75,0,0,-1,-1
"034903001",-3,-3,-1,-1,25,14,56,0,0,0,0
"034903041",-1,-1,5,17.9,28,17,60.7,0,0,-1,-1
"034903101",10,14.7,-1,-1,68,19,27.9,-1,-1,35,51.5
"034905002",0,0,-1,-1,21,-3,-3,0,0,0,0
"034905041",-1,-1,-1,-1,15,11,73.3,0,0,0,0
"034905102",-1,-1,-1,-1,33,11,33.3,-1,-1,12,36.4
"034906001",-1,-1,-1,-1,12,5,41.7,0,0,-1,-1
"034906041",0,0,5,50,10,-1,-1,0,0,-1,-1
"034906101",-1,-1,-3,-3,23,6,26.1,0,0,11,47.8
"034907001",-1,-1,10,30.3,33,16,48.5,0,0,-1,-1
"034907041",-1,-1,5,13.9,36,26,72.2,0,0,-1,-1
"034907101",-1,-1,-3,-3,58,23,39.7,13,22.4,13,22.4
"034909001",-1,-1,-3,-3,12,6,50,0,0,0,0
"034909101",0,0,-1,-1,7,-1,-1,0,0,-1,-1
"035901001",-1,-1,7,25,28,18,64.3,0,0,-1,-1
"035901041",0,0,7,46.7,15,-3,-3,0,0,-1,-1
"035901102",-1,-1,10,20.4,49,11,22.4,-1,-1,24,49
"035902001",-1,-1,-1,-1,20,8,40,0,0,8,40
"035903001",0,0,6,54.5,11,-1,-1,0,0,-1,-1
"036901001",8,26.7,6,20,30,16,53.3,0,0,0,0
"036901006",0,0,-1,-1,-1,0,0,0,0,0,0
"036901041",-3,-3,7,21.9,32,18,56.3,0,0,-1,-1
"036901101",-3,-3,11,19.3,57,10,17.5,-1,-1,25,43.9
"036902001",-3,-3,25,28.1,89,46,51.7,0,0,-1,-1
"036902005",-1,-1,-1,-1,-1,0,0,0,0,0,0
"036902006",0,0,0,0,0,0,0,0,0,0,0
"036902042",12,17.1,14,20,70,28,40,0,0,16,22.9
"036902043",5,9.3,13,24.1,54,31,57.4,0,0,5,9.3
"036902102",12,37.5,-3,-3,32,-1,-1,0,0,12,37.5
"036902104",11,13.9,14,17.7,79,24,30.4,0,0,30,38
"036902105",12,16.9,13,18.3,71,15,21.1,0,0,31,43.7
"036902301",8,16,-3,-3,50,-1,-1,7,14,26,52
"036903001",-1,-1,-1,-1,38,31,81.6,0,0,0,0
"036903041",-3,-3,9,24.3,37,22,59.5,0,0,-1,-1
"036903101",-1,-1,9,28.1,32,15,46.9,0,0,-1,-1
"036903103",-1,-1,5,17.9,28,-1,-1,-1,-1,14,50
"037901001",0,0,9,26.5,34,25,73.5,0,0,0,0
"037901041",-1,-1,7,21.9,32,22,68.8,0,0,-1,-1
"037901101",-1,-1,-1,-1,23,5,21.7,0,0,12,52.2
"037904002",14,11.9,19,16.1,118,80,67.8,0,0,5,4.2
"037904004",0,0,0,0,-1,-1,-1,0,0,0,0
"037904042",7,14,11,22,50,27,54,0,0,5,10
"037904043",13,16.9,16,20.8,77,39,50.6,0,0,9,11.7
"037904102",8,11.8,6,8.8,68,13,19.1,5,7.4,36,52.9
"037904103",5,9.1,5,9.1,55,18,32.7,5,9.1,22,40
"037904104",-1,-1,-1,-1,24,6,25,0,0,14,58.3
"037904105",-3,-3,-1,-1,60,12,20,11,18.3,25,41.7
"037907002",-1,-1,15,25.4,59,41,69.5,0,0,-1,-1
"037907041",-1,-1,19,32.2,59,36,61,0,0,-1,-1
"037907100",-1,-1,11,24.4,45,23,51.1,0,0,-3,-3
"037907102",-1,-1,-3,-3,44,11,25,0,0,21,47.7
"037907103",5,11.6,0,0,43,-1,-1,-1,-1,35,81.4
"037908001",-1,-1,-1,-1,36,16,44.4,0,0,12,33.3
"037909001",0,0,-3,-3,19,13,68.4,0,0,-1,-1
"037909101",-1,-1,-1,-1,16,10,62.5,0,0,-1,-1
"038901001",-1,-1,8,20.5,39,25,64.1,0,0,-1,-1
"038901041",-1,-1,-3,-3,20,10,50,0,0,0,0
"038901102",-1,-1,10,13.9,72,24,33.3,-3,-3,29,40.3
"039902001",-1,-1,-1,-1,29,23,79.3,0,0,-1,-1
"039902041",-1,-1,10,47.6,21,7,33.3,0,0,-1,-1
"039902101",-3,-3,12,18.5,65,15,23.1,-1,-1,31,47.7
"039903001",-1,-1,7,25.9,27,15,55.6,0,0,-1,-1
"039903101",-1,-1,-1,-1,25,10,40,0,0,12,48
"039904001",0,0,-1,-1,12,7,58.3,0,0,-1,-1
"039905001",0,0,10,38.5,26,5,19.2,0,0,11,42.3
"040901001",-1,-1,-1,-1,40,27,67.5,0,0,11,27.5
"040901002",0,0,0,0,-1,-1,-1,0,0,0,0
"040902001",-1,-1,-1,-1,29,18,62.1,0,0,7,24.1
"041901001",0,0,11,45.8,24,7,29.2,0,0,6,25
"041902001",-1,-1,-1,-1,14,11,78.6,0,0,0,0
"041902002",0,0,0,0,0,0,0,0,0,0,0
"041902005",0,0,0,0,0,0,0,0,0,0,0
"041902101",0,0,0,0,15,10,66.7,0,0,5,33.3
"041902102",0,0,0,0,-1,0,0,-1,-1,0,0
"041902180",0,0,-1,-1,-1,-1,-1,0,0,0,0
"041902195",0,0,0,0,-1,-1,-1,0,0,0,0
"042901001",-1,-1,-1,-1,30,21,70,0,0,-1,-1
"042901041",-1,-1,-1,-1,20,12,60,0,0,-1,-1
"042901102",-1,-1,-1,-1,40,12,30,-1,-1,21,52.5
"042903001",-1,-1,7,63.6,11,-1,-1,0,0,-1,-1
"042903101",0,0,-1,-1,11,-1,-1,0,0,8,72.7
"042905001",0,0,-1,-1,14,9,64.3,0,0,-1,-1
"043801001",-1,-1,-3,-3,73,17,23.3,0,0,38,52.1
"043802101",-1,-1,-1,-1,11,-1,-1,0,0,-1,-1
"043901001",86,18.3,132,28.1,470,223,47.4,0,0,29,6.2
"043901002",20,12.7,40,25.5,157,91,58,0,0,6,3.8
"043901042",9,10.8,23,27.7,83,46,55.4,0,0,5,6
"043901043",16,11.9,40,29.9,134,61,45.5,0,0,17,12.7
"043901044",25,20.3,38,30.9,123,50,40.7,0,0,10,8.1
"043901101",45,29.6,20,13.2,152,19,12.5,9,5.9,59,38.8
"043901102",8,8.6,15,16.1,93,30,32.3,0,0,40,43
"043901104",-3,-3,16,18.6,86,23,26.7,-1,-1,33,38.4
"043901105",11,14.9,13,17.6,74,15,20.3,0,0,35,47.3
"043901106",9,14.5,10,16.1,62,17,27.4,0,0,26,41.9
"043901107",13,15.9,23,28,82,15,18.3,0,0,31,37.8
"043901108",6,10.2,13,22,59,17,28.8,0,0,23,39
"043901109",6,10.3,11,19,58,20,34.5,0,0,21,36.2
"043901110",9,11.1,24,29.6,81,12,14.8,0,0,36,44.4
