DISTRICT,DPETBILC,DPETBILP,DPETGIFC,DPETGIFP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP
"020902",1194,17.5,298,4.4,673,9.9,1547,22.7
"020904",30,3.9,55,7.2,50,6.6,293,38.5
"020905",1516,12.3,1056,8.6,989,8,3922,31.8
"020906",59,3,90,4.6,151,7.7,788,40.2
"020907",148,4.7,124,4,280,8.9,819,26.2
"020908",2051,9.5,1949,9,1915,8.9,5294,24.6
"020910",34,16.3,14,6.7,34,16.3,41,19.6
"021803",92,23.4,0,0,25,6.3,0,0
"021805",75,12.1,5,0.8,40,6.4,0,0
"021901",1559,11.5,1689,12.5,1220,9,3273,24.2
"021902",3936,24.4,1968,12.2,1536,9.5,3869,23.9
"022004",51,44.3,7,6.1,11,9.6,26,22.6
"022901",82,7.6,69,6.4,81,7.5,272,25.2
"022902",0,0,5,7.9,4,6.3,28,44.4
"022903",0,0,1,8.3,0,0,0,0
"023902",8,3.9,15,7.2,17,8.2,63,30.4
"024901",37,2.3,51,3.2,162,10.3,431,27.3
"025901",12,1.3,45,4.7,91,9.5,333,34.7
"025902",113,3.1,247,6.7,343,9.3,1210,32.8
"025904",2,1.1,7,3.8,27,14.8,70,38.3
"025905",9,3,21,7.1,28,9.5,102,34.5
"025906",0,0,14,6.5,19,8.8,94,43.3
"025908",0,0,2,1.6,10,8.1,39,31.5
"025909",12,1,85,7.2,91,7.7,336,28.3
"026901",185,10.3,89,4.9,134,7.4,500,27.8
"026902",33,6.6,18,3.6,52,10.4,124,24.8
"026903",33,6.6,39,7.8,55,11,139,27.9
"027903",241,7.5,85,2.7,396,12.4,863,27
"027904",689,16.3,283,6.7,496,11.7,1211,28.7
"028902",1230,20.8,302,5.1,672,11.4,1768,30
"028903",193,13.5,47,3.3,129,9,370,25.9
"028906",14,7,20,10.1,18,9,50,25.1
"029901",425,10.9,287,7.4,330,8.5,1368,35.1
"030901",7,1.9,25,6.8,40,10.9,127,34.5
"030902",7,0.5,73,5.1,167,11.7,450,31.4
"030903",0,0,9,3,41,13.4,110,36.1
"030906",0,0,19,4.6,62,15,123,29.7
"031901",14526,31.9,5719,12.6,5091,11.2,14671,32.2
"031903",2846,15.5,1249,6.8,1797,9.8,5454,29.7
