DISTRICT,DPETBILC,DPETBILP,DPETGIFC,DPETGIFP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP
"101853",1143,59.7,12,0.6,167,8.7,0,0
"101855",0,0,0,0,14,5.7,0,0
"101856",568,87,1,0.2,12,1.8,0,0
"101858",1051,21,706,14.1,314,6.3,584,11.7
"101859",228,48.1,0,0,33,7,0,0
"101861",28,2.4,31,2.6,90,7.6,0,0
"101862",546,15.9,630,18.4,201,5.9,879,25.6
"101864",0,0,0,0,23,9.9,0,0
"101868",0,0,0,0,62,15.4,220,54.6
"101870",103,18.8,0,0,27,4.9,0,0
"101871",4,2.6,2,1.3,17,11,0,0
"101902",22659,33.7,2940,4.4,5106,7.6,19830,29.5
"101903",20330,44,2048,4.4,3364,7.3,10519,22.8
"101905",2915,30.2,303,3.1,885,9.2,3206,33.2
"101906",725,11.8,263,4.3,522,8.5,1380,22.5
"101907",16206,14,6804,5.9,9261,8,34852,30
"101908",1720,13.3,833,6.5,1347,10.4,2863,22.2
"101910",7067,31.3,1286,5.7,1940,8.6,6607,29.3
"101911",3536,14.9,1961,8.3,2378,10,6510,27.5
"101912",69271,32.4,33667,15.8,15133,7.1,42652,20
"101913",3817,9,3001,7.1,3244,7.7,11727,27.7
"101914",13125,17,6066,7.8,7629,9.9,15523,20.1
"101915",7739,14.6,2180,4.1,4679,8.8,13705,25.9
"101916",749,9.9,658,8.7,825,10.9,2127,28.2
"101917",14868,27.3,2847,5.2,5368,9.8,11565,21.2
"101919",8480,23.5,2305,6.4,2975,8.2,12734,35.3
"101920",12041,34.4,3100,8.9,2678,7.7,6485,18.5
"101921",1586,10,1423,9,1233,7.8,4543,28.6
"101924",2862,31.5,480,5.3,637,7,2861,31.5
"101925",209,5.9,248,7.1,331,9.4,963,27.4
"102901",4,2.7,3,2,3,2,0,0
"102902",941,17.3,742,13.7,361,6.6,1586,29.2
"102903",89,9.7,46,5,78,8.5,305,33.2
"102904",204,4,382,7.5,416,8.2,1588,31.3
"102905",7,1,59,8,77,10.5,214,29.2
"102906",8,0.9,50,5.7,114,12.9,251,28.4
"103901",12,6.6,5,2.8,21,11.6,68,37.6
"103902",80,33.5,1,0.4,14,5.9,84,35.1
"104901",12,2.2,9,1.6,59,10.7,173,31.3
"104903",6,4.2,8,5.6,16,11.3,47,33.1
"104907",0,0,3,2.3,6,4.5,43,32.6
"105801",0,0,0,0,14,8.9,125,79.6
"105802",0,0,0,0,28,11.3,0,0
"105803",2,1.1,1,0.6,96,55.2,73,42
"105902",799,9.8,836,10.2,950,11.6,2274,27.8
"105904",289,4.5,428,6.7,635,9.9,1453,22.6
"105905",145,5.9,197,8.1,211,8.7,756,31
"105906",3021,15.3,1439,7.3,2145,10.8,4139,20.9
"106901",113,12.2,42,4.5,68,7.3,298,32
"107901",673,21.6,138,4.4,226,7.3,911,29.3
"107902",118,4.4,131,4.8,292,10.8,696,25.7
"107904",7,1.3,20,3.7,54,9.9,158,29
"107905",25,1.6,56,3.6,227,14.7,368,23.8
"107906",59,4.2,60,4.3,125,9,382,27.5
"107907",8,4.6,7,4,17,9.8,60,34.7
"107908",8,4.8,10,6,15,9,0,0
"107910",5,1.1,11,2.4,41,9.1,100,22.1
"108802",456,36.9,51,4.1,49,4,0,0
"108804",53,14.4,0,0,34,9.3,71,19.3
"108807",11428,32.1,0,0,1844,5.2,1545,4.3
"108808",1177,35.9,0,0,131,4,602,18.3
"108809",149,64.5,0,0,20,8.7,36,15.6
"108902",7410,50.1,1254,8.5,1232,8.3,3639,24.6
"108903",1304,25.2,605,11.7,427,8.2,1435,27.7
"108904",10685,31.3,2163,6.3,2022,5.9,8711,25.5
"108905",1831,57,324,10.1,198,6.2,1019,31.7
"108906",7828,33.1,2261,9.6,2243,9.5,6857,29
"108907",1394,25.3,707,12.8,379,6.9,1780,32.3
"108908",4926,31,1744,11,1145,7.2,5023,31.6
"108909",14845,45.4,2255,6.9,2322,7.1,8393,25.7
"108910",1011,53.2,200,10.5,132,6.9,502,26.4
"108911",2835,27.9,1138,11.2,648,6.4,3236,31.8
"108912",14991,52.1,2616,9.1,2229,7.8,8298,28.9
"108913",4400,25.7,954,5.6,1422,8.3,4911,28.7
"108914",102,17.6,50,8.6,35,6,162,28
"108915",313,30.6,32,3.1,66,6.4,248,24.2
"108916",2757,61.6,315,7,284,6.3,1452,32.4
"109901",5,1.7,2,0.7,32,11.1,134,46.4
"109902",5,2.8,3,1.7,25,14,68,38
"109903",4,1.3,12,4,39,13.1,133,44.6
"109904",262,13,94,4.7,206,10.2,587,29.1
"109905",4,1,31,7.8,47,11.8,141,35.5
"109907",74,10.7,46,6.6,66,9.5,184,26.6
"109908",47,29.7,8,5.1,22,13.9,0,0
"109910",16,8.1,11,5.6,25,12.6,42,21.2
"109911",78,5.2,91,6,192,12.7,365,24.1
"109912",13,4,33,10.2,34,10.6,85,26.4
"109913",4,1.1,17,4.8,45,12.8,102,29
"109914",12,5.1,4,1.7,49,20.7,88,37.1
"110901",12,5.1,7,3,26,11.1,98,41.7
"110902",213,7.1,165,5.5,413,13.8,1119,37.5
"110905",8,1.9,5,1.2,31,7.2,128,29.8
"110906",5,1.2,26,6,56,13,184,42.7
"110907",25,4.1,63,10.4,43,7.1,177,29.3
"110908",2,1.1,11,6,18,9.8,80,43.5
"111901",579,8.1,588,8.3,749,10.5,2066,29
"111902",12,3.1,18,4.6,31,7.9,110,28.2
"111903",6,0.8,27,3.4,50,6.4,266,33.8
"112901",548,12.7,200,4.6,438,10.1,1193,27.6
"112905",11,2.8,28,7.1,53,13.5,173,44.1
"112906",50,9.7,36,6.9,53,10.2,168,32.4
"112907",25,7.6,1,0.3,30,9.1,107,32.5
"112908",189,25.4,38,5.1,70,9.4,234,31.5
"112909",21,8.5,1,0.4,28,11.4,76,30.9
"112910",8,3.7,12,5.5,29,13.3,67,30.7
"113901",230,17.3,59,4.4,129,9.7,329,24.7
"113902",9,1.8,23,4.5,74,14.6,223,43.9
"113903",17,3.1,28,5.1,59,10.8,211,38.6
"113905",7,1.4,37,7.6,47,9.7,164,33.8
"113906",2,0.7,16,5.8,31,11.2,108,38.8
"114901",129,3.3,145,3.7,357,9,1095,27.7
"114902",15,1.5,86,8.6,80,8,295,29.5
"114904",13,1.7,48,6.1,51,6.5,190,24.3
"115901",277,67.7,17,4.2,26,6.4,100,24.4
"115902",8,7,2,1.8,11,9.6,48,42.1
"115903",18,28.1,3,4.7,8,12.5,36,56.3
"116901",47,2.7,56,3.2,163,9.4,580,33.4
"116902",13,2.7,23,4.7,61,12.5,167,34.2
"116903",148,9.8,98,6.5,168,11.1,528,35
"116905",1060,19.4,504,9.2,605,11.1,1323,24.2
"116906",13,1.2,89,8.5,154,14.8,311,29.8
"116908",278,10.6,108,4.1,297,11.3,865,32.9
"116909",30,4.5,39,5.8,65,9.6,192,28.5
"116910",18,5.5,46,14.1,42,12.8,112,34.3
"116915",94,13.8,45,6.6,73,10.7,294,43
"116916",9,1.7,39,7.2,64,11.8,152,28
"117901",238,8.7,151,5.5,312,11.4,671,24.6
"117903",0,0,37,5,103,14,204,27.7
"117904",6,0.9,38,5.5,63,9.2,149,21.7
"117907",1,1,15,14.7,2,2,0,0
"118902",1,0.4,17,6.1,16,5.8,82,29.6
"119901",6,2.3,11,4.2,23,8.8,93,35.6
"119902",147,14.1,31,3,101,9.7,278,26.7
"119903",8,2.4,21,6.2,37,10.9,117,34.4
"120901",137,8.7,112,7.1,148,9.4,470,29.9
"120902",77,10.1,49,6.4,66,8.6,243,31.7
"120905",44,3.8,68,5.8,112,9.6,287,24.5
"121902",0,0,3,0.7,47,11.6,99,24.4
"121903",10,0.7,101,6.6,164,10.8,565,37.1
"121904",202,8.1,140,5.6,278,11.2,695,28
"121905",38,2.5,77,5.1,110,7.3,487,32.4
"121906",8,1.6,1,0.2,51,10.5,189,38.8
"122901",34,15,37,16.4,26,11.5,49,21.7
"122902",8,24.2,0,0,3,9.1,9,27.3
"123803",0,0,0,0,15,3.7,46,11.3
"123805",193,49.9,18,4.7,17,4.4,0,0
"123807",439,45,0,0,43,4.4,345,35.3
"123905",411,7.7,187,3.5,560,10.4,1328,24.7
"123907",1794,22.2,332,4.1,606,7.5,2034,25.1
"123908",271,5.3,471,9.2,483,9.4,1378,26.9
"123910",1970,10.5,1445,7.7,1424,7.6,4943,26.3
"123913",2,0.5,13,3.5,8,2.2,136,36.7
"123914",84,4.4,133,6.9,146,7.6,810,42
"124901",72,6.3,103,9,88,7.7,285,24.8
"125901",119,2.3,185,3.7,406,8,1482,29.2
"125902",28,5.1,36,6.5,39,7,253,45.7
"125903",31,1.7,125,6.7,186,9.9,667,35.6
"125905",30,5.2,28,4.8,52,8.9,141,24.2
"125906",0,0,5,3.8,4,3.1,0,0
"126801",3,3.3,0,0,11,12.1,10,11
"126901",586,15.8,267,7.2,249,6.7,1032,27.7
"126902",629,5.2,932,7.7,1010,8.3,3176,26.1
"126903",1319,19.7,607,9.1,649,9.7,2200,32.9
"126904",44,3.6,91,7.5,91,7.5,356,29.3
"126905",514,9.3,187,3.4,406,7.4,1379,25
"126906",208,19.8,42,4,73,7,273,26
"126907",40,5.5,69,9.4,70,9.6,200,27.4
"126908",475,22.2,139,6.5,179,8.4,497,23.3
"126911",195,9.7,73,3.6,214,10.7,589,29.4
"127901",12,1.6,48,6.2,98,12.7,253,32.8
"127903",22,5.5,12,3,50,12.6,115,29
"127904",2,0.3,95,12.9,57,7.7,266,36.1
"127905",0,0,1,0.9,20,18.9,36,34
"127906",22,3.3,16,2.4,58,8.7,267,39.9
"128901",52,4.6,125,11.1,123,10.9,298,26.4
"128902",47,5.7,57,6.9,112,13.6,254,30.8
"128903",1,0.4,23,8.3,30,10.8,144,51.8
"128904",6,1.7,33,9.3,29,8.2,147,41.6
"129901",406,10,227,5.6,357,8.8,1043,25.8
"129902",950,9.3,296,2.9,909,8.9,3580,35.2
"129903",671,17,214,5.4,343,8.7,1248,31.6
"129904",149,9.2,79,4.9,187,11.6,682,42.3
"129905",129,3.7,280,8,376,10.7,1192,34
"129906",906,19.6,265,5.7,388,8.4,1630,35.3
"129910",41,4,65,6.3,106,10.3,327,31.8
"130801",0,0,0,0,71,51.8,22,16.1
"130901",637,7.4,549,6.3,773,8.9,2765,32
"130902",99,9,35,3.2,137,12.5,356,32.4
"131001",2,2.6,9,11.5,14,17.9,0,0
"132902",0,0,0,0,21,13.8,43,28.3
"133901",107,18.6,23,4,58,10.1,187,32.5
"133902",38,19.8,8,4.2,17,8.9,0,0
"133903",379,7.6,285,5.7,405,8.1,1204,24
"133904",150,13.6,59,5.3,88,7.9,371,33.5
"133905",1,5.9,0,0,3,17.6,0,0
"134901",14,2.3,46,7.5,69,11.2,215,35
"135001",1,1,11,11.1,3,3,37,37.4
"136901",30,5.2,50,8.6,60,10.3,162,27.8
"137901",108,3.2,130,3.8,411,12.1,988,29.2
"137902",14,2,32,4.7,49,7.1,0,0
"137903",19,4.5,17,4,32,7.6,208,49.4
"137904",3,0.4,132,17.5,15,2,259,34.4
"138902",25,9,4,1.4,34,12.2,81,29.1
"138903",17,4.6,15,4.1,53,14.4,77,20.9
"138904",2,1.8,11,10,10,9.1,30,27.3
"139905",44,4.6,28,2.9,93,9.8,252,26.4
"139908",7,4.4,10,6.3,26,16.5,57,36.1
"139909",377,9.9,409,10.7,468,12.3,856,22.4
"139911",64,2.5,245,9.6,356,14,708,27.8
"139912",24,2.1,86,7.5,100,8.7,334,29.1
"140901",57,34.5,2,1.2,16,9.7,54,32.7
"140904",86,6.4,43,3.2,150,11.2,377,28.2
"140905",94,15.3,45,7.3,51,8.3,208,33.9
"140907",60,16.4,22,6,53,14.5,108,29.5
"140908",33,7,26,5.5,42,9,153,32.6
"141901",107,3.2,299,9,395,11.8,912,27.4
"141902",37,13.1,8,2.8,36,12.8,96,34
"142901",87,6.3,131,9.5,168,12.2,439,31.9
"143901",21,1.9,73,6.5,102,9.1,402,35.9
"143902",25,8.9,7,2.5,34,12.1,73,26.1
"143903",13,2,12,1.8,74,11.4,201,31
"143904",3,2.5,6,5,7,5.8,0,0
"143905",0,0,16,10.3,7,4.5,0,0
"143906",0,0,1,1,5,4.9,0,0
"144901",205,10.8,69,3.6,194,10.3,469,24.8
"144902",16,1.6,52,5.1,95,9.3,324,31.8
"144903",21,12.7,9,5.4,28,16.9,62,37.3
"145901",147,15.6,57,6,74,7.8,259,27.4
"145902",18,2.6,16,2.3,49,7.2,232,34
"145906",25,4.1,45,7.4,46,7.6,242,39.7
"145907",1,0.5,8,4,16,8,79,39.5
"145911",114,15,70,9.2,66,8.7,221,29.1
"146901",2038,36.6,166,3,402,7.2,1686,30.3
"146902",930,17.3,194,3.6,503,9.3,1379,25.6
"146903",27,15.4,15,8.6,11,6.3,0,0
"146904",28,2,39,2.8,97,6.9,325,23.1
"146905",14,2.9,23,4.8,44,9.2,155,32.5
"146906",304,14.4,193,9.2,219,10.4,578,27.5
"146907",52,2.9,88,4.8,187,10.3,507,27.8
"147901",43,13.9,3,1,46,14.9,85,27.5
"147902",89,4.7,33,1.8,204,10.9,496,26.5
"147903",314,17.5,55,3.1,197,11,513,28.6
"148901",109,28,17,4.4,36,9.3,88,22.6
"148902",16,11,2,1.4,12,8.2,30,20.5
"148903",7,5.7,3,2.5,18,14.8,28,23
"148905",3,2.6,3,2.6,11,9.5,38,32.8
"149901",28,2.6,106,9.7,104,9.5,349,32
"149902",33,4.9,54,8,69,10.2,253,37.4
"150901",105,5.9,94,5.3,194,10.9,598,33.4
"152802",0,0,0,0,42,13.7,0,0
"152803",2,1,0,0,24,12.1,140,70.7
"152901",1444,5.2,1469,5.3,2937,10.6,8422,30.3
"152902",18,2.4,41,5.5,51,6.8,235,31.3
"152903",50,3.9,99,7.8,164,12.9,513,40.4
"152906",186,2.9,255,4,527,8.3,1296,20.5
"152907",371,3.8,804,8.3,836,8.6,2725,28.2
"152908",31,2.8,31,2.8,119,10.9,367,33.7
"152909",42,2.6,118,7.2,119,7.2,442,26.9
"152910",17,1.7,53,5.3,84,8.4,277,27.7
"153903",18,5.6,26,8.1,37,11.5,88,27.3
"153904",15,2.4,53,8.5,41,6.6,196,31.6
"153905",14,3.1,0,0,29,6.5,84,18.8
"153907",15,11.7,8,6.3,15,11.7,51,39.8
"154901",356,15.1,32,1.4,186,7.9,692,29.4
"154903",9,2.6,19,5.4,23,6.6,147,41.9
"155901",13,1,104,8.2,134,10.5,433,34
"156902",68,6.7,60,5.9,74,7.3,246,24.4
"156905",9,3.6,17,6.7,14,5.6,46,18.3
"157901",50,6.9,109,15,52,7.2,197,27.2
"158901",438,12.3,82,2.3,290,8.1,925,26
"158902",82,8.8,70,7.5,62,6.6,413,44.2
"158904",12,7.6,6,3.8,11,7,0,0
"158905",213,15,77,5.4,146,10.3,493,34.6
"158906",18,1.7,84,8,95,9,339,32.1
"159901",4645,32,1006,6.9,1333,9.2,3694,25.4
"160901",46,3.9,38,3.2,155,13.2,304,25.8
"160904",0,0,5,2.7,30,16.2,48,25.9
"160905",1,0.9,1,0.9,12,11.2,28,26.2
"161801",47,21.9,6,2.8,13,6,0,0
"161802",61,7.5,0,0,63,7.7,173,21.1
"161807",2392,24.8,992,10.3,711,7.4,2801,29
"161901",3,0.6,23,4.2,49,9,170,31.2
"161903",265,3.3,994,12.3,645,8,2605,32.3
"161906",647,20.9,67,2.2,232,7.5,842,27.2
"161907",31,1.8,182,10.4,147,8.4,531,30.2
"161908",22,4.2,39,7.5,72,13.9,163,31.4
"161909",165,11.3,106,7.3,102,7,373,25.6
"161910",50,7.2,25,3.6,66,9.5,195,28.1
"161912",4,0.6,80,12.4,64,9.9,267,41.4
"161914",2672,18.1,1407,9.5,1109,7.5,3730,25.2
"161916",39,2.9,64,4.8,107,8.1,607,45.8
"161918",10,1.2,35,4.4,119,14.8,256,31.9
"161919",21,3,77,11.2,78,11.3,217,31.5
"161920",40,1.5,275,10,270,9.8,753,27.4
"161921",243,10.4,121,5.2,175,7.5,633,27.1
"161922",41,1.7,95,4,210,8.9,810,34.5
"161923",22,3.1,71,10,80,11.3,213,30
"161924",8,4.7,9,5.2,14,8.1,0,0
"161925",6,2.4,4,1.6,23,9,88,34.5
"162904",2,0.8,19,7.4,14,5.4,91,35.4
"163901",76,3.8,115,5.7,236,11.8,629,31.3
"163902",2,0.5,42,11.1,41,10.8,124,32.6
"163903",71,6.4,66,6,107,9.7,334,30.3
"163904",56,2.8,154,7.7,185,9.3,569,28.5
"163908",262,5.2,274,5.4,500,9.9,1579,31.2
"164901",18,5.8,9,2.9,29,9.3,79,25.2
"165802",18,4.4,20,4.8,13,3.1,18,4.4
"165901",2931,11.4,1207,4.7,1736,6.8,6454,25.1
"165902",212,7.9,130,4.9,158,5.9,768,28.7
"166901",177,9.6,74,4,165,8.9,480,25.9
"166902",20,10.9,12,6.5,17,9.2,0,0
"166903",27,6,30,6.6,42,9.3,246,54.3
"166904",94,6.2,76,5,142,9.3,399,26.1
"166905",42,7.4,44,7.8,41,7.2,305,53.9
"166907",3,2.1,12,8.3,18,12.4,55,37.9
"167901",25,4.4,40,7,57,10,218,38.1
"167902",10,3,3,0.9,94,28.2,82,24.6
"167904",0,0,5,4.5,15,13.5,50,45
"168901",35,3.6,47,4.8,96,9.8,232,23.7
"168902",2,1.3,1,0.6,16,10.1,73,45.9
"168903",0,0,21,8.4,30,12,94,37.5
"169901",94,5.6,113,6.7,183,10.8,742,43.9
"169902",92,11.8,36,4.6,98,12.6,225,28.8
"169906",5,4.6,8,7.3,9,8.3,39,35.8
"169908",0,0,3,1.9,11,6.9,0,0
"169909",0,0,10,6.6,21,13.9,49,32.5
"169910",0,0,0,0,30,16,72,38.3
"169911",1,0.4,19,6.7,35,12.4,119,42.2
"170801",111,22.1,0,0,26,5.2,0,0
"170902",8224,13.4,4622,7.5,4806,7.8,14611,23.8
"170903",336,3.8,616,7.1,589,6.7,2523,28.9
"170904",1024,14.1,359,4.9,607,8.4,1496,20.6
"170906",1591,12.3,653,5,1105,8.5,3774,29.1
"170907",597,14.9,204,5.1,374,9.3,1018,25.4
"170908",5094,33.9,1153,7.7,1260,8.4,4572,30.4
"171901",1254,29.1,209,4.9,392,9.1,919,21.3
"171902",89,16.1,35,6.3,50,9.1,196,35.5
"172902",103,10.1,31,3,162,15.9,281,27.5
"172905",57,6.4,23,2.6,119,13.4,284,32
"173901",1,0.6,20,11.6,16,9.3,57,33.1
"174801",7,2.7,0,0,13,5.1,0,0
"174901",34,8.6,28,7.1,45,11.4,100,25.4
"174902",25,4.5,23,4.1,58,10.4,166,29.8
"174903",16,2.2,34,4.7,62,8.5,236,32.4
"174904",1924,30.5,377,6,564,8.9,1319,20.9
"174906",54,7.2,40,5.4,51,6.8,232,31.1
"174908",54,4.8,70,6.2,76,6.7,302,26.7
"174909",21,5.3,29,7.3,45,11.3,142,35.6
"174910",0,0,9,6.1,26,17.6,0,0
"174911",23,4.8,25,5.2,44,9.2,237,49.6
"175902",98,10.4,69,7.3,77,8.2,280,29.7
"175903",1451,24.6,460,7.8,568,9.6,1770,30
"175904",28,5.8,50,10.3,46,9.5,129,26.5
"175905",59,14.3,35,8.5,30,7.3,123,29.9
"175907",27,4.6,37,6.3,59,10,282,47.6
"175910",23,3.1,57,7.7,54,7.3,308,41.7
"175911",178,19.9,50,5.6,54,6,238,26.7
"176901",1,0.4,9,3.5,25,9.7,74,28.8
"176902",0,0,70,6.9,132,12.9,326,31.9
"176903",0,0,26,4.5,86,14.9,212,36.8
"177901",51,8.2,27,4.4,34,5.5,261,42.2
"177902",46,2.1,109,5.1,314,14.6,513,23.8
"177903",2,1.3,15,9.6,14,8.9,73,46.5
"177905",0,0,19,8.2,16,6.9,78,33.6
"178801",34,19.9,0,0,3,1.8,18,10.5
"178807",4,2.8,0,0,12,8.3,0,0
"178808",9,1.8,45,9.2,40,8.2,12,2.5
"178901",3,0.9,2,0.6,23,6.8,121,36
"178902",62,4.2,90,6.1,187,12.7,488,33.2
"178903",133,3.3,292,7.2,438,10.8,1087,26.8
"178904",2168,5.7,1108,2.9,3285,8.7,7729,20.4
"178905",6,1.9,31,9.7,24,7.5,0,0
"178906",9,0.9,135,12.9,55,5.3,290,27.8
"178908",2,0.5,28,6.4,31,7.1,106,24.4
"178909",92,3.3,244,8.7,288,10.3,858,30.8
"178912",213,5.5,221,5.7,351,9.1,1003,25.9
"178913",23,2.5,70,7.5,100,10.8,255,27.4
"178914",162,2.9,643,11.4,575,10.2,1622,28.7
"178915",119,5.7,109,5.2,234,11.1,742,35.3
"179901",629,28.3,44,2,159,7.2,647,29.1
"180901",2,0.7,16,5.3,53,17.6,150,49.8
"180902",10,2.7,17,4.6,22,6,127,34.4
"180903",4,3.3,8,6.7,12,10,73,60.8
"180904",0,0,1,0.7,9,6.2,35,24
"181901",132,4.4,90,3,203,6.8,828,27.8
"181905",31,1.7,69,3.9,153,8.6,466,26.2
"181906",167,6.9,88,3.7,253,10.5,616,25.6
"181907",65,1.4,198,4.4,542,11.9,1537,33.8
"181908",60,1.9,108,3.4,384,12.2,926,29.5
"182901",0,0,3,1.7,14,7.7,76,42
"182902",15,4.3,46,13.1,23,6.5,92,26.1
"182903",304,9.3,164,5,291,8.9,971,29.6
"182904",16,3.5,49,10.8,33,7.3,160,35.2
"182905",21,11.9,11,6.3,17,9.7,50,28.4
"182906",4,3.6,4,3.6,7,6.3,0,0
"183801",0,0,23,15.6,3,2,126,85.7
"183901",17,2.6,8,1.2,68,10.3,228,34.4
"183902",244,9.1,149,5.6,311,11.6,848,31.6
"183904",15,3.2,23,4.9,51,10.8,138,29.3
"184801",0,0,0,0,10,9.2,108,99.1
"184901",38,7.3,34,6.6,59,11.4,155,29.9
"184902",190,5.3,155,4.3,293,8.2,1021,28.6
"184903",615,7.6,680,8.4,741,9.2,2624,32.5
"184904",23,2.3,48,4.8,95,9.6,307,30.9
"184907",152,2.7,386,6.8,423,7.4,1316,23.1
"184908",37,3.2,81,6.9,93,8,343,29.4
"184909",23,1.7,91,6.6,93,6.8,484,35.3
"184911",9,4.6,26,13.3,19,9.7,17,8.7
"185901",123,25.1,16,3.3,34,6.9,113,23.1
"185902",82,15.2,33,6.1,56,10.4,151,28
"185903",269,24.2,52,4.7,99,8.9,262,23.6
"185904",29,14.4,8,4,20,10,41,20.4
"186901",21,8.6,10,4.1,10,4.1,102,41.8
"186902",208,8.4,66,2.7,151,6.1,786,31.8
"186903",51,10.1,18,3.6,54,10.7,139,27.6
"187901",0,0,56,11,52,10.3,230,45.4
"187903",43,17.8,2,0.8,19,7.9,98,40.7
"187904",114,12.8,50,5.6,82,9.2,275,30.9
"187906",7,3.9,11,6.1,17,9.5,72,40.2
"187907",315,7.8,160,3.9,403,9.9,1178,29
"187910",9,0.8,42,3.8,127,11.4,338,30.5
"188901",5096,15.6,1909,5.8,3454,10.5,8867,27.1
"188902",30,2.3,50,3.9,143,11.2,419,32.8
"188903",64,7.2,25,2.8,110,12.3,318,35.6
"188904",9,0.6,117,8.1,166,11.4,629,43.3
"189901",55,16.4,8,2.4,24,7.1,65,19.3
"189902",663,53.4,105,8.5,84,6.8,354,28.5
"190903",107,6.3,130,7.7,197,11.6,428,25.2
"191901",161,1.6,333,3.3,1114,11.2,2436,24.5
"192901",112,13.1,31,3.6,52,6.1,186,21.8
"193801",4,1.7,1,0.4,99,42.5,80,34.3
"193902",17,5.5,20,6.5,41,13.3,68,22
"194902",12,3.4,24,6.7,40,11.2,104,29.1
"194903",33,4.8,80,11.5,66,9.5,196,28.3
"194904",52,9.6,53,9.8,51,9.4,136,25.1
"194905",2,0.4,35,6.7,53,10.2,179,34.3
"195901",278,10.6,133,5.1,263,10,972,37
"195902",13,7.4,1,0.6,17,9.7,67,38.1
"196901",3,2.2,14,10.4,26,19.4,45,33.6
"196902",0,0,56,12.5,56,12.5,157,35
"196903",30,4.3,17,2.4,63,9,178,25.5
"197902",1,0.5,24,11,10,4.6,57,26
"198901",19,3.7,38,7.5,54,10.7,173,34.1
"198902",1,0.6,9,5.5,24,14.6,67,40.9
"198903",37,3,87,6.9,133,10.6,405,32.3
"198905",144,16.7,25,2.9,130,15.1,211,24.5
"198906",77,12.5,83,13.5,51,8.3,97,15.7
"199901",1176,7.3,1115,6.9,1548,9.6,4317,26.7
"199902",580,10.1,528,9.2,585,10.2,1701,29.7
"200901",10,1.1,62,6.9,82,9.1,246,27.3
"200902",28,6.3,23,5.2,28,6.3,132,29.7
"200904",19,3.5,69,12.7,52,9.6,179,33
"200906",4,3.9,4,3.9,8,7.8,13,12.7
"201902",437,12.7,175,5.1,290,8.4,888,25.9
"201903",17,9.3,10,5.5,18,9.9,59,32.4
"201904",59,22.8,4,1.5,26,10,59,22.8
"201907",18,4.4,38,9.2,50,12.1,116,28.2
"201908",4,0.8,56,10.7,52,9.9,125,23.9
"201910",178,11,140,8.7,125,7.7,693,43
"201913",120,18.8,34,5.3,52,8.2,152,23.9
"201914",122,11.3,59,5.5,108,10,332,30.8
"202903",14,1.6,59,6.6,93,10.4,270,30.1
"202905",3,0.5,57,8.6,66,9.9,195,29.3
"203901",71,9.3,26,3.4,94,12.3,283,37.1
"203902",17,4.2,34,8.3,44,10.8,113,27.6
"204901",17,1.1,86,5.6,154,10.1,499,32.7
"204904",311,15.4,79,3.9,154,7.6,643,31.9
"205901",123,8.4,69,4.7,133,9,366,24.8
"205902",196,4.2,278,5.9,397,8.4,870,18.5
"205903",146,6.5,57,2.6,191,8.5,619,27.7
"205904",29,1.8,57,3.5,151,9.3,318,19.6
"205905",32,3.2,68,6.9,55,5.6,236,23.9
"205906",28,1.3,130,5.9,237,10.8,519,23.6
"205907",23,2.1,50,4.5,122,11,309,27.9
"206901",124,16.9,58,7.9,95,12.9,163,22.2
"206902",3,2.3,4,3.1,25,19.2,56,43.1
"206903",1,0.9,3,2.6,15,13.2,42,36.8
"207901",48,8.7,23,4.2,33,6,151,27.3
"208901",15,6,19,7.6,17,6.8,60,23.9
"208902",257,9.5,146,5.4,275,10.2,947,35.1
"208903",8,3.1,9,3.5,18,7,106,41.4
"209901",10,2,15,3,42,8.3,178,35.1
"209902",0,0,2,1.6,18,14.1,70,54.7
"210901",782,29.4,110,4.1,291,10.9,727,27.3
"210902",57,8,30,4.2,90,12.6,211,29.5
"210903",39,5,24,3.1,86,11,243,31.2
"210904",111,19.2,27,4.7,86,14.9,208,35.9
"210905",28,4.5,16,2.6,71,11.3,183,29.2
"210906",4,4.2,0,0,20,21.1,12,12.6
"211901",49,37.4,1,0.8,14,10.7,0,0
"211902",97,16.4,13,2.2,44,7.5,144,24.4
"212801",126,7.1,0,0,128,7.2,461,26
"212804",12,1.7,83,11.9,44,6.3,328,46.9
"212901",27,3,65,7.2,79,8.8,249,27.7
"212902",69,2.7,136,5.3,272,10.6,754,29.5
"212903",152,3.7,362,8.9,407,10,1198,29.4
"212904",49,4.5,53,4.9,71,6.6,298,27.6
"212905",4011,22.3,1734,9.6,1314,7.3,5461,30.4
"212906",166,3.5,387,8.2,437,9.2,1371,29
"212909",754,21.2,205,5.8,351,9.9,1276,35.9
"212910",114,10.6,44,4.1,123,11.5,323,30.1
"213801",0,0,0,0,25,10.6,96,40.7
"213901",170,9.4,127,7,118,6.5,585,32.4
"214901",7316,70.1,1954,18.7,999,9.6,2851,27.3
"214902",42,17.6,19,8,26,10.9,75,31.5
"214903",4441,69.9,641,10.1,411,6.5,1890,29.7
"215901",115,7.7,76,5.1,142,9.5,421,28.1
"216901",18,5.9,9,3,35,11.5,119,39
"217901",9,4,10,4.4,18,7.9,83,36.6
"218901",96,11.8,10,1.2,78,9.6,251,30.8
"219901",14,5.3,3,1.1,20,7.6,72,27.5
