CAMPUS,CPETBILC,CPETBILP,CPETGIFC,CPETGIFP,CPETSPEC,CPETSPEP,CPETVOCC,CPETVOCP
"008902103",55,12.4,21,4.7,43,9.7,0,0
"008903001",16,7.2,3,1.4,16,7.2,210,94.6
"008903041",26,13.3,14,7.2,13,6.7,13,6.7
"008903102",76,22.5,8,2.4,32,9.5,0,0
"008903103",2,4,0,0,30,60,6,12
"009901001",21,5.8,12,3.3,45,12.4,347,95.9
"009901002",0,0,0,0,1,6.7,14,93.3
"009901041",31,9.6,10,3.1,48,14.9,41,12.7
"009901101",84,25.1,1,0.3,50,15,0,0
"009901103",143,35,1,0.2,49,12,0,0
"010901001",4,1.2,24,7.5,27,8.4,109,33.9
"010902001",6,0.9,37,5.6,63,9.6,590,90.1
"010902041",21,4.1,47,9.1,61,11.8,172,33.3
"010902101",45,7.6,10,1.7,75,12.7,0,0
"010902102",23,4.5,15,2.9,62,12,0,0
"011901001",116,8.3,114,8.1,145,10.4,944,67.4
"011901002",211,13.5,142,9.1,171,10.9,1111,70.9
"011901005",3,1.4,19,8.8,2,0.9,122,56.7
"011901022",15,15.6,0,0,15,15.6,16,16.7
"011901033",3,14.3,0,0,4,19,14,66.7
"011901041",119,15.4,49,6.4,88,11.4,198,25.7
"011901101",157,20.6,18,2.4,92,12.1,0,0
"011901102",22,3.6,39,6.4,71,11.7,0,0
"011901103",485,60,23,2.8,72,8.9,0,0
"011901104",140,18,74,9.5,95,12.2,0,0
"011901106",242,28.8,64,7.6,83,9.9,212,25.2
"011901107",317,49.6,22,3.4,66,10.3,0,0
"011901108",288,30.1,96,10,110,11.5,0,0
"011901109",273,35.4,33,4.3,71,9.2,0,0
"011901110",300,47.7,22,3.5,73,11.6,0,0
"011902001",126,10.1,123,9.9,103,8.3,1120,89.7
"011902003",0,0,0,0,0,0,0,0
"011902004",5,10.6,0,0,6,12.8,13,27.7
"011902041",226,24.2,89,9.5,119,12.7,256,27.4
"011902101",369,59.5,42,6.8,48,7.7,0,0
"011902102",354,44.5,37,4.6,75,9.4,0,0
"011902103",268,40.7,59,9,66,10,0,0
"011904002",18,3.3,48,8.9,69,12.8,437,80.8
"011904041",30,7.3,46,11.2,45,11,0,0
"011904101",36,8.9,33,8.2,30,7.4,0,0
"011904102",40,9.4,8,1.9,34,8,0,0
"011905001",9,8.6,15,14.3,16,15.2,47,44.8
"011905101",50,22.8,10,4.6,16,7.3,0,0
"012901001",2,1.2,6,3.7,19,11.7,162,100
"012901042",0,0,8,4.5,17,9.7,0,0
"012901101",1,0.4,2,0.8,29,12.1,0,0
"013801101",5,1.1,24,5.3,32,7,0,0
"013901001",6,0.6,54,5.2,110,10.7,787,76.3
"013901041",5,1.1,7,1.5,43,9.3,0,0
"013901042",0,0,20,25.6,0,0,78,100
"013901101",16,3.8,12,2.9,41,9.7,0,0
"013901102",12,2.6,17,3.6,50,10.6,0,0
"013901104",13,2.9,18,4,48,10.7,0,0
"013901105",6,1.6,0,0,42,11.1,0,0
"013902101",5,1.7,5,1.7,17,5.7,0,0
"013903001",0,0,10,4.3,24,10.3,199,85
"013903101",3,1.5,4,2.1,23,11.8,0,0
"013905001",2,0.7,23,8.2,33,11.8,259,92.8
"013905041",2,0.9,13,6.1,21,9.9,25,11.8
"013905101",9,2.6,21,6.1,35,10.2,0,0
"014801001",12,4.7,0,0,44,17.3,210,82.4
"014801002",24,5.4,0,0,36,8.1,244,55
"014801004",0,0,0,0,20,10.6,93,49.5
"014801005",26,14.3,0,0,16,8.8,82,45.1
"014801006",19,9.8,0,0,22,11.4,87,45.1
"014801007",2,0.5,0,0,40,10.6,189,50
"014801008",2,1,0,0,33,16.1,99,48.3
"014801009",18,9.1,0,0,13,6.6,111,56.3
"014801010",2,1.1,0,0,16,8.8,85,47
"014803002",1,1.2,0,0,6,7.4,0,0
"014803003",7,2.4,0,0,27,9.1,67,22.6
"014803004",6,2.7,0,0,30,13.3,73,32.3
"014803101",18,5,0,0,45,12.6,61,17.1
"014804002",0,0,0,0,34,51.5,0,0
"014804005",0,0,0,0,9,8.8,0,0
"014804006",12,1,0,0,70,5.6,0,0
"014804007",0,0,0,0,11,13.1,0,0
"014804008",0,0,0,0,26,17.2,0,0
"014901001",3,0.7,41,9.1,49,10.8,397,87.6
"014901041",18,5.2,34,9.9,24,7,0,0
"014901101",22,5.9,39,10.4,22,5.9,0,0
"014901102",24,6.3,8,2.1,27,7,0,0
"014902001",41,12,1,0.3,30,8.8,96,28.1
"014903001",142,5,261,9.2,371,13.1,2170,76.4
"014903005",4,0.8,104,19.7,28,5.3,436,82.7
"014903043",37,4.4,71,8.5,103,12.3,0,0
"014903044",91,10.9,98,11.7,94,11.2,0,0
"014903045",18,1.9,112,11.7,120,12.5,0,0
"014903102",5,1.8,24,8.7,30,10.9,0,0
"014903103",16,4.9,22,6.7,39,11.9,0,0
"014903104",122,32,13,3.4,35,9.2,0,0
"014903108",4,0.6,70,10.3,83,12.3,0,0
"014903109",107,17.9,45,7.5,58,9.7,0,0
"014903111",15,2,50,6.6,84,11.1,0,0
"014903116",20,3.4,41,7,71,12.1,0,0
"014903117",7,1,26,3.6,87,12.2,0,0
"014903118",112,14.6,40,5.2,94,12.3,0,0
"014903119",48,12,0,0,46,11.5,0,0
"014905001",1,0.5,21,9.8,11,5.1,211,98.6
"014905041",2,1.4,9,6.3,17,11.9,45,31.5
"014905101",9,2.9,8,2.6,17,5.5,0,0
"014906001",199,8.4,81,3.4,394,16.7,1495,63.3
"014906002",119,4.6,87,3.4,351,13.6,1900,73.6
"014906004",5,6,0,0,22,26.2,46,54.8
"014906006",23,6.5,1,0.3,22,6.2,108,30.3
"014906007",94,3.7,122,4.8,288,11.3,1672,65.7
"014906008",175,8,42,1.9,321,14.6,1508,68.6
"014906009",1,2.5,0,0,8,20,0,0
"014906013",18,2.1,82,9.8,25,3,0,0
"014906022",1,4.3,0,0,6,26.1,2,8.7
"014906026",0,0,0,0,2,66.7,0,0
"014906042",168,22.2,7,0.9,152,20.1,124,16.4
"014906043",58,8.8,10,1.5,125,19,97,14.8
"014906044",82,12.8,14,2.2,123,19.2,103,16.1
"014906046",70,9.3,39,5.2,114,15.1,150,19.9
"014906048",64,9.8,18,2.8,118,18.1,88,13.5
"014906049",32,3.8,47,5.5,96,11.3,134,15.8
"014906050",50,7.8,8,1.3,88,13.8,105,16.4
"014906051",28,3,78,8.5,90,9.8,159,17.2
"014906052",35,4.6,56,7.3,99,13,118,15.5
"014906053",55,5.5,47,4.7,114,11.4,160,16
"014906054",87,7.2,85,7,125,10.3,129,10.7
"014906100",1,2.6,0,0,9,23.7,0,0
"014906102",62,11.2,16,2.9,57,10.3,0,0
"014906103",58,11.7,3,0.6,94,19,0,0
"014906105",197,27.3,4,0.6,60,8.3,0,0
"014906108",34,4,31,3.6,61,7.2,0,0
"014906109",376,45.5,9,1.1,70,8.5,0,0
"014906110",234,38.6,8,1.3,69,11.4,0,0
"014906111",31,6.9,6,1.3,41,9.2,0,0
"014906112",81,16.1,0,0,63,12.5,0,0
"014906113",44,8,5,0.9,66,12,0,0
"014906115",40,6.1,24,3.7,116,17.8,0,0
"014906116",39,6.6,2,0.3,54,9.1,0,0
"014906119",33,4.9,3,0.4,92,13.6,0,0
"014906120",72,7.7,20,2.1,82,8.8,0,0
"014906121",65,6.9,35,3.7,84,8.9,0,0
"014906122",86,9.6,14,1.6,92,10.3,0,0
"014906123",42,5.8,30,4.2,54,7.5,0,0
"014906124",72,10.2,12,1.7,50,7.1,0,0
"014906125",38,5.8,12,1.8,76,11.6,0,0
"014906126",53,9,19,3.2,50,8.5,0,0
"014906127",413,50.6,2,0.2,117,14.3,0,0
"014906128",27,4.5,16,2.6,63,10.4,0,0
"014906129",63,8.6,12,1.6,86,11.8,0,0
"014906130",48,6.7,17,2.4,62,8.7,0,0
"014906131",49,5.4,24,2.6,96,10.5,0,0
"014906132",55,7.6,9,1.2,54,7.4,0,0
"014906133",53,4.8,28,2.5,80,7.2,0,0
"014906135",69,7.6,40,4.4,116,12.8,0,0
"014906136",59,5,44,3.8,116,9.9,0,0
"014906137",64,9.7,10,1.5,87,13.2,0,0
"014906138",70,6.7,11,1,86,8.2,0,0
"014906139",74,6.5,41,3.6,96,8.4,0,0
"014906140",56,6.5,26,3,91,10.5,0,0
"014907001",5,1.7,35,12.1,23,8,237,82
"014907041",6,2.8,20,9.3,17,7.9,36,16.7
"014907043",0,0,0,0,0,0,0,0
"014907102",30,7.7,21,5.4,28,7.2,0,0
"014908001",16,2.8,54,9.6,28,5,408,72.5
"014908041",26,4.5,42,7.3,32,5.6,0,0
"014908042",11,4.1,20,7.4,18,6.7,47,17.4
"014908101",44,9.6,3,0.7,28,6.1,0,0
"014909002",136,6.3,187,8.7,249,11.6,1872,87.3
"014909005",2,5.1,1,2.6,10,25.6,11,28.2
"014909008",5,4.6,0,0,11,10.2,58,53.7
